(0, -3, 6), [0, 1, 2], 3.11.ad_r_aco 
(0, -3, 7), [0, 1, 3], 3.11.ad_s_aco 
(-4, 1, 11), [0, 1, 3], 3.11.ad_s_aw 
(0, -3, 8), [0, 1, 0], 3.11.ad_t_aco 
(0, -3, 9), [0, 1, 1], 3.11.ad_u_aco 
(0, -3, 10), [0, 1, 2], 3.11.ad_v_aco 
(0, -3, 13), [0, 1, 1], 3.11.ad_y_aco 
(-2, -1, 11), [2, 3, 3], 3.11.ad_y_abs 
(0, -3, 14), [0, 1, 2], 3.11.ad_z_aco 
(0, -3, 15), [0, 1, 3], 3.11.ad_ba_aco 
(0, -3, 16), [0, 1, 0], 3.11.ad_bb_aco 
(0, -3, 17), [0, 1, 1], 3.11.ad_bc_aco 
(6, -8, 33), [2, 0, 1], 3.11.ac_ae_w 
(-5, 3, 0), [3, 3, 0], 3.11.ac_ae_co 
(-3, 1, -11), [1, 1, 1], 3.11.ac_ad_cd 
(-6, 4, 11), [2, 0, 3], 3.11.ac_ac_w 
(-1, -1, -11), [3, 3, 1], 3.11.ac_b_al 
(0, -2, -8), [0, 2, 0], 3.11.ac_d_abs 
(0, -2, -7), [0, 2, 1], 3.11.ac_e_abs 
(0, -2, -6), [0, 2, 2], 3.11.ac_f_abs 
(0, -2, -5), [0, 2, 3], 3.11.ac_g_abs 
(0, -2, -4), [0, 2, 0], 3.11.ac_h_abs 
(-5, 3, 11), [3, 3, 3], 3.11.ac_h_l 
(1, -3, 0), [1, 1, 0], 3.11.ac_i_aco 
(0, -2, -3), [0, 2, 1], 3.11.ac_i_abs 
(-3, 1, 0), [1, 1, 0], 3.11.ac_i_w 
(5, -7, 33), [1, 1, 1], 3.11.ac_j_l 
(0, -2, -1), [0, 2, 3], 3.11.ac_k_abs 
(0, -2, 1), [0, 2, 1], 3.11.ac_m_abs 
(-1, -1, 0), [3, 3, 0], 3.11.ac_m_aw 
(0, -2, 2), [0, 2, 2], 3.11.ac_n_abs 
(0, -2, 3), [0, 2, 3], 3.11.ac_o_abs 
(-4, 2, 11), [0, 2, 3], 3.11.ac_o_a 
(0, -2, 4), [0, 2, 0], 3.11.ac_p_abs 
(0, -2, 5), [0, 2, 1], 3.11.ac_q_abs 
(0, -2, 6), [0, 2, 2], 3.11.ac_r_abs 
(1, -3, 11), [1, 1, 3], 3.11.ac_t_acd 
(0, -2, 8), [0, 2, 0], 3.11.ac_t_abs 
(0, -2, 9), [0, 2, 1], 3.11.ac_u_abs 
(0, -2, 10), [0, 2, 2], 3.11.ac_v_abs 
(0, -2, 12), [0, 2, 0], 3.11.ac_x_abs 
(-1, -1, 11), [3, 3, 3], 3.11.ac_x_abh 
(0, -2, 13), [0, 2, 1], 3.11.ac_y_abs 
(0, -2, 15), [0, 2, 3], 3.11.ac_ba_abs 
(0, -2, 16), [0, 2, 0], 3.11.ac_bb_abs 
(0, -2, 17), [0, 2, 1], 3.11.ac_bc_abs 
(0, -2, 18), [0, 2, 2], 3.11.ac_bd_abs 
(0, -2, 20), [0, 2, 0], 3.11.ac_bf_abs 
(0, -1, -15), [0, 3, 1], 3.11.ab_ae_aw 
(0, -1, -14), [0, 3, 2], 3.11.ab_ad_aw 
(0, -1, -13), [0, 3, 3], 3.11.ab_ac_aw 
