(0, -9, 45), [0, 14, 22], 3.23.aj_cq_apy 
(0, -9, 47), [0, 14, 1], 3.23.aj_cs_apy 
(0, -9, 48), [0, 14, 2], 3.23.aj_ct_apy 
(0, -9, 49), [0, 14, 3], 3.23.aj_cu_apy 
(1, -10, 69), [1, 13, 0], 3.23.aj_de_apb 
(-6, -2, 23), [17, 21, 0], 3.23.ai_cg_aiw 
(0, -8, 41), [0, 15, 18], 3.23.ai_cm_aoe 
(0, -8, 45), [0, 15, 22], 3.23.ai_cq_aoe 
(0, -8, 47), [0, 15, 1], 3.23.ai_cs_aoe 
(-9, 2, -23), [14, 2, 0], 3.23.ah_as_ln 
(-8, 1, -23), [15, 1, 0], 3.23.ah_ai_iw 
(-5, -2, -23), [18, 21, 0], 3.23.ah_k_x 
(-9, 2, 23), [14, 2, 0], 3.23.ah_bc_ael 
(-1, -6, 23), [22, 17, 0], 3.23.ah_ca_aln 
(-5, -2, 23), [18, 21, 0], 3.23.ah_ce_ahz 
(-3, -4, 23), [20, 19, 0], 3.23.ah_cg_ajt 
(3, -10, 69), [3, 13, 0], 3.23.ah_ck_ajt 
(0, -7, 43), [0, 16, 20], 3.23.ah_co_amk 
(0, -7, 44), [0, 16, 21], 3.23.ah_cp_amk 
(0, -7, 45), [0, 16, 22], 3.23.ah_cq_amk 
(0, -7, 47), [0, 16, 1], 3.23.ah_cs_amk 
(0, -7, 48), [0, 16, 2], 3.23.ah_ct_amk 
(0, -7, 49), [0, 16, 3], 3.23.ah_cu_amk 
(-5, -1, 23), [18, 22, 0], 3.23.ag_bz_agf 
(0, -6, 45), [0, 17, 22], 3.23.ag_cq_akq 
(0, -6, 47), [0, 17, 1], 3.23.ag_cs_akq 
(-7, 2, -23), [16, 2, 0], 3.23.af_ao_jt 
(-3, -2, -23), [20, 21, 0], 3.23.af_g_ax 
(-9, 4, 23), [14, 4, 0], 3.23.af_k_ax 
(-7, 2, 23), [16, 2, 0], 3.23.af_bg_acr 
(1, -6, 23), [1, 17, 0], 3.23.af_bo_ajt 
(5, -10, 69), [5, 13, 0], 3.23.af_bq_ael 
(-1, -4, 23), [22, 19, 0], 3.23.af_by_ahz 
(-3, -2, 23), [20, 21, 0], 3.23.af_ca_agf 
(0, -5, 43), [0, 18, 20], 3.23.af_co_aiw 
(0, -5, 44), [0, 18, 21], 3.23.af_cp_aiw 
(0, -5, 45), [0, 18, 22], 3.23.af_cq_aiw 
(0, -5, 47), [0, 18, 1], 3.23.af_cs_aiw 
(0, -5, 48), [0, 18, 2], 3.23.af_ct_aiw 
(0, -5, 49), [0, 18, 3], 3.23.af_cu_aiw 
(0, -4, 45), [0, 19, 22], 3.23.ae_cq_ahc 
(0, -4, 47), [0, 19, 1], 3.23.ae_cs_ahc 
(-5, 2, -23), [18, 2, 0], 3.23.ad_ak_hz 
(-9, 6, 23), [14, 6, 0], 3.23.ad_ai_cr 
(-1, -2, -23), [22, 21, 0], 3.23.ad_c_acr 
(-7, 4, 23), [16, 4, 0], 3.23.ad_s_x 
(7, -10, 69), [7, 13, 0], 3.23.ad_w_x 
(3, -6, 23), [3, 17, 0], 3.23.ad_bc_ahz 
(-5, 2, 23), [18, 2, 0], 3.23.ad_bk_ax 
(1, -4, 23), [1, 19, 0], 3.23.ad_bq_agf 
(-4, 1, 23), [19, 1, 0], 3.23.ad_bq_abu 
(-1, -2, 23), [22, 21, 0], 3.23.ad_bw_ael 
(0, -3, 43), [0, 20, 20], 3.23.ad_co_afi 
(0, -3, 44), [0, 20, 21], 3.23.ad_cp_afi 
(0, -3, 45), [0, 20, 22], 3.23.ad_cq_afi 
(0, -3, 47), [0, 20, 1], 3.23.ad_cs_afi 
(3, -5, 23), [3, 18, 0], 3.23.ac_bf_agf 
(-4, 2, 23), [19, 2, 0], 3.23.ac_bm_a 
(0, -2, 45), [0, 21, 22], 3.23.ac_cq_ado 
(-3, 2, -23), [20, 2, 0], 3.23.ab_ag_gf 
(1, -2, -23), [1, 21, 0], 3.23.ab_ac_ael 
(9, -10, 69), [9, 13, 0], 3.23.ab_c_gf 
(-5, 4, 0), [18, 4, 0], 3.23.ab_d_hc 
(-7, 6, 23), [16, 6, 0], 3.23.ab_e_el 
(5, -6, 23), [5, 17, 0], 3.23.ab_q_agf 
(-5, 4, 23), [18, 4, 0], 3.23.ab_ba_cr 
(3, -4, 23), [3, 19, 0], 3.23.ab_bi_ael 
(-3, 2, 23), [20, 2, 0], 3.23.ab_bo_x 
(1, -2, 23), [1, 21, 0], 3.23.ab_bs_acr 
(0, -1, 43), [0, 22, 20], 3.23.ab_co_abu 
(0, -1, 45), [0, 22, 22], 3.23.ab_cq_abu 
(0, 0, -37), [0, 0, 9], 3.23.a_ao_a 
(0, 0, -21), [0, 0, 2], 3.23.a_c_a 
(0, 0, 35), [0, 0, 12], 3.23.a_cg_a 
(0, 0, 44), [0, 0, 21], 3.23.a_cp_a 
(3, -2, -23), [3, 21, 0], 3.23.b_ag_agf 
(-1, 2, -23), [22, 2, 0], 3.23.b_ac_el 
