(-10, -4, 46), [2, 0, 2], 3.25.ao_eh_azk 
(-5, -9, 42), [3, 3, 2], 3.25.ao_ei_azk 
(-6, -8, 40), [2, 0, 0], 3.25.ao_ej_ayq 
(-8, -6, 40), [0, 2, 0], 3.25.ao_ej_axw 
(-5, -9, 44), [3, 3, 0], 3.25.ao_ek_azu 
(-7, -7, 40), [1, 1, 0], 3.25.ao_ek_ayg 
(-5, -9, 47), [3, 3, 3], 3.25.ao_en_abaj 
(-5, -9, 48), [3, 3, 0], 3.25.ao_eo_abao 
(-6, -8, 45), [2, 0, 1], 3.25.ao_eo_azu 
(-8, -6, 45), [0, 2, 1], 3.25.ao_eo_azk 
(-5, -9, 49), [3, 3, 1], 3.25.ao_ep_abat 
(-5, -9, 52), [3, 3, 0], 3.25.ao_es_abbi 
(-3, -11, 65), [1, 1, 1], 3.25.ao_et_abcr 
(-1, -13, 85), [3, 3, 1], 3.25.ao_et_abch 
(-5, -9, 53), [3, 3, 1], 3.25.ao_et_abbn 
(-5, -9, 54), [3, 3, 2], 3.25.ao_eu_abbs 
(-5, -9, 56), [3, 3, 0], 3.25.ao_ew_abcc 
(-5, -9, 57), [3, 3, 1], 3.25.ao_ex_abch 
(-6, -8, 55), [2, 0, 3], 3.25.ao_ey_abcc 
(-5, -9, 59), [3, 3, 3], 3.25.ao_ez_abcr 
(-7, -7, 55), [1, 1, 3], 3.25.ao_ez_abch 
(-5, -9, 61), [3, 3, 1], 3.25.ao_fb_abdb 
(-6, -8, 60), [2, 0, 0], 3.25.ao_fd_abdg 
(-10, -3, -2), [2, 1, 2], 3.25.an_cb_afa 
(-10, -3, 12), [2, 1, 0], 3.25.an_cp_akk 
(-10, -3, 16), [2, 1, 0], 3.25.an_ct_aly 
(-9, -4, 10), [3, 0, 2], 3.25.an_ct_ale 
(-9, -4, 20), [3, 0, 0], 3.25.an_dd_aoq 
(-10, -3, 28), [2, 1, 0], 3.25.an_df_aqo 
(-10, -3, 29), [2, 1, 1], 3.25.an_dg_aqy 
(-7, -6, 20), [1, 2, 0], 3.25.an_dj_aqy 
(-10, -3, 34), [2, 1, 2], 3.25.an_dl_asw 
(-9, -4, 30), [3, 0, 2], 3.25.an_dn_asc 
(-5, -8, 32), [3, 0, 0], 3.25.an_dt_avo 
(-6, -7, 30), [2, 1, 2], 3.25.an_dt_auk 
(-7, -6, 30), [1, 2, 2], 3.25.an_dt_atq 
(-10, -3, 44), [2, 1, 0], 3.25.an_dv_aws 
(-5, -8, 34), [3, 0, 2], 3.25.an_dv_avy 
(-5, -8, 36), [3, 0, 0], 3.25.an_dx_awi 
(-9, -4, 40), [3, 0, 0], 3.25.an_dx_avo 
(-6, -7, 35), [2, 1, 3], 3.25.an_dy_avo 
(-5, -8, 38), [3, 0, 2], 3.25.an_dz_aws 
(-4, -9, 45), [0, 3, 1], 3.25.an_ec_ayg 
(-5, -8, 42), [3, 0, 2], 3.25.an_ed_axm 
(-6, -7, 40), [2, 1, 0], 3.25.an_ed_aws 
(-5, -8, 44), [3, 0, 0], 3.25.an_ef_axw 
(-5, -8, 46), [3, 0, 2], 3.25.an_eh_ayg 
(-6, -7, 45), [2, 1, 1], 3.25.an_ei_axw 
