(-1, 3, 4), [7, 3, 4], 3.8.c_j_bs 
(4, -2, 11), [4, 6, 3], 3.8.c_l_m 
(0, 2, 3), [0, 2, 3], 3.8.c_l_bg 
(0, 2, 5), [0, 2, 5], 3.8.c_n_bg 
(-1, 3, 8), [7, 3, 0], 3.8.c_n_bo 
(4, -2, 15), [4, 6, 7], 3.8.c_p_bc 
(0, 2, 7), [0, 2, 7], 3.8.c_p_bg 
(3, -1, 12), [3, 7, 4], 3.8.c_r_u 
(1, 1, 8), [1, 1, 0], 3.8.c_r_y 
(0, 2, 9), [0, 2, 1], 3.8.c_r_bg 
(0, 2, 11), [0, 2, 3], 3.8.c_t_bg 
(1, 1, 12), [1, 1, 4], 3.8.c_v_bc 
(4, 0, -15), [4, 0, 1], 3.8.e_ah_aci 
(4, 0, -11), [4, 0, 5], 3.8.e_ad_abs 
(4, 0, -5), [4, 0, 3], 3.8.e_d_au 
(5, -1, 0), [5, 7, 0], 3.8.e_d_aq 
(3, 1, -8), [3, 1, 0], 3.8.e_d_ai 
(3, 1, 0), [3, 1, 0], 3.8.e_l_q 
(5, -1, 8), [5, 7, 0], 3.8.e_l_y 
(-3, 7, 24), [5, 7, 0], 3.8.e_l_bo 
(5, -1, 12), [5, 7, 4], 3.8.e_p_bs 
(1, 3, 4), [1, 3, 4], 3.8.e_p_ca 
(0, 4, 7), [0, 4, 7], 3.8.e_p_cm 
(4, 0, 9), [4, 0, 1], 3.8.e_r_bk 
(0, 4, 9), [0, 4, 1], 3.8.e_r_cm 
(1, 3, 8), [1, 3, 0], 3.8.e_t_ce 
(4, 0, 13), [4, 0, 5], 3.8.e_v_ca 
(4, 2, -3), [4, 2, 5], 3.8.g_n_u 
(4, 2, -1), [4, 2, 7], 3.8.g_p_bc 
(5, 1, 8), [5, 1, 0], 3.8.g_v_ce 
(3, 3, 4), [3, 3, 4], 3.8.g_v_ci 
(3, 3, 8), [3, 3, 0], 3.8.g_z_cu 
(5, 1, 12), [5, 1, 4], 3.8.g_z_cy 
(-1, 7, 24), [7, 7, 0], 3.8.g_z_dk 
(4, 2, 15), [4, 2, 7], 3.8.g_bf_do 
(0, 6, 23), [0, 6, 7], 3.8.g_bf_ds 
(4, 4, 9), [4, 4, 1], 3.8.i_bh_dw 
