(-5, -14, 97), [3, 2, 1], 3.25.at_hk_abtp 
(-10, -8, 31), [2, 0, 3], 3.25.as_fg_abbi 
(-10, -8, 32), [2, 0, 0], 3.25.as_fh_abbs 
(-10, -8, 33), [2, 0, 1], 3.25.as_fi_abcc 
(-10, -8, 36), [2, 0, 0], 3.25.as_fl_abdg 
(-10, -8, 37), [2, 0, 1], 3.25.as_fm_abdq 
(-10, -8, 43), [2, 0, 3], 3.25.as_fs_abfy 
(-10, -8, 44), [2, 0, 0], 3.25.as_ft_abgi 
(-9, -9, 45), [3, 3, 1], 3.25.as_fv_abgx 
(-10, -8, 47), [2, 0, 3], 3.25.as_fw_abhm 
(-10, -8, 49), [2, 0, 1], 3.25.as_fy_abig 
(-10, -8, 51), [2, 0, 3], 3.25.as_ga_abja 
(-10, -8, 52), [2, 0, 0], 3.25.as_gb_abjk 
(-10, -8, 53), [2, 0, 1], 3.25.as_gc_abju 
(-10, -8, 54), [2, 0, 2], 3.25.as_gd_abke 
(-10, -8, 56), [2, 0, 0], 3.25.as_gf_abky 
(-9, -9, 55), [3, 3, 3], 3.25.as_gf_abkj 
(-10, -8, 59), [2, 0, 3], 3.25.as_gi_abmc 
(-10, -8, 61), [2, 0, 1], 3.25.as_gk_abmw 
(-7, -11, 65), [1, 1, 1], 3.25.as_gl_abmr 
(-10, -8, 63), [2, 0, 3], 3.25.as_gm_abnq 
(-10, -8, 64), [2, 0, 0], 3.25.as_gn_aboa 
(-5, -13, 81), [3, 3, 1], 3.25.as_gp_abop 
(-5, -13, 87), [3, 3, 3], 3.25.as_gv_abpt 
(-5, -13, 89), [3, 3, 1], 3.25.as_gx_abqd 
(-5, -13, 91), [3, 3, 3], 3.25.as_gz_abqn 
(-10, -7, 21), [2, 1, 1], 3.25.ar_em_avo 
(-10, -7, 22), [2, 1, 2], 3.25.ar_en_avy 
(-10, -7, 23), [2, 1, 3], 3.25.ar_eo_awi 
(-10, -7, 24), [2, 1, 0], 3.25.ar_ep_aws 
(-10, -7, 26), [2, 1, 2], 3.25.ar_er_axm 
(-10, -7, 27), [2, 1, 3], 3.25.ar_es_axw 
(-10, -7, 28), [2, 1, 0], 3.25.ar_et_ayg 
(-10, -7, 29), [2, 1, 1], 3.25.ar_eu_ayq 
(-10, -7, 31), [2, 1, 3], 3.25.ar_ew_azk 
(-10, -7, 33), [2, 1, 1], 3.25.ar_ey_abae 
(-10, -7, 34), [2, 1, 2], 3.25.ar_ez_abao 
(-10, -7, 37), [2, 1, 1], 3.25.ar_fc_abbs 
(-9, -8, 35), [3, 0, 3], 3.25.ar_fc_abbn 
(-10, -7, 39), [2, 1, 3], 3.25.ar_fe_abcm 
(-10, -7, 41), [2, 1, 1], 3.25.ar_fg_abdg 
(-9, -8, 40), [3, 0, 0], 3.25.ar_fh_abdg 
(-10, -7, 43), [2, 1, 3], 3.25.ar_fi_abea 
(-10, -7, 44), [2, 1, 0], 3.25.ar_fj_abek 
(-10, -7, 46), [2, 1, 2], 3.25.ar_fl_abfe 
(-10, -7, 47), [2, 1, 3], 3.25.ar_fm_abfo 
(-9, -8, 45), [3, 0, 1], 3.25.ar_fm_abez 
(-10, -7, 48), [2, 1, 0], 3.25.ar_fn_abfy 
(-10, -7, 49), [2, 1, 1], 3.25.ar_fo_abgi 
(-10, -7, 51), [2, 1, 3], 3.25.ar_fq_abhc 
(-10, -7, 53), [2, 1, 1], 3.25.ar_fs_abhw 
(-10, -7, 54), [2, 1, 2], 3.25.ar_ft_abig 
(-10, -7, 57), [2, 1, 1], 3.25.ar_fw_abjk 
(-9, -8, 55), [3, 0, 3], 3.25.ar_fw_abil 
(-8, -9, 55), [0, 3, 3], 3.25.ar_fw_abig 
(-10, -7, 58), [2, 1, 2], 3.25.ar_fx_abju 
(-10, -7, 59), [2, 1, 3], 3.25.ar_fy_abke 
(-10, -7, 61), [2, 1, 1], 3.25.ar_ga_abky 
(-5, -12, 71), [3, 0, 3], 3.25.ar_ga_abkt 
(-5, -12, 72), [3, 0, 0], 3.25.ar_gb_abky 
(-8, -9, 60), [0, 3, 0], 3.25.ar_gb_abju 
(-5, -12, 73), [3, 0, 1], 3.25.ar_gc_abld 
(-5, -12, 74), [3, 0, 2], 3.25.ar_gd_abli 
