(0, 1, -1), [0, 1, 3], 3.4.b_d_i 
(-2, 3, 5), [2, 3, 1], 3.4.b_d_o 
(2, -1, 3), [2, 3, 3], 3.4.b_f_ac 
(0, 1, 1), [0, 1, 1], 3.4.b_f_i 
(-2, 3, 7), [2, 3, 3], 3.4.b_f_k 
(2, -1, 5), [2, 3, 1], 3.4.b_h_c 
(-2, 3, 9), [2, 3, 1], 3.4.b_h_g 
(0, 1, 3), [0, 1, 3], 3.4.b_h_i 
(2, -1, 7), [2, 3, 3], 3.4.b_j_g 
(0, 1, 5), [0, 1, 1], 3.4.b_j_i 
(0, 1, 7), [0, 1, 3], 3.4.b_l_i 
(2, 0, -7), [2, 0, 1], 3.4.c_ad_ao 
(4, -2, 1), [0, 2, 1], 3.4.c_ad_am 
(3, -1, -2), [3, 3, 2], 3.4.c_ab_ao 
(4, -2, 3), [0, 2, 3], 3.4.c_ab_ae 
(4, -2, 7), [0, 2, 3], 3.4.c_d_m 
(2, 0, 1), [2, 0, 1], 3.4.c_f_c 
(2, 0, 3), [2, 0, 3], 3.4.c_h_g 
(0, 2, 3), [0, 2, 3], 3.4.c_h_q 
(-1, 3, 6), [3, 3, 2], 3.4.c_h_s 
(2, 0, 5), [2, 0, 1], 3.4.c_j_k 
(1, 1, 4), [1, 1, 0], 3.4.c_j_m 
(0, 2, 7), [0, 2, 3], 3.4.c_l_q 
(4, -1, -3), [0, 3, 1], 3.4.d_ad_au 
(4, -1, -1), [0, 3, 3], 3.4.d_ab_am 
(4, -1, 1), [0, 3, 1], 3.4.d_b_ae 
(2, 1, -3), [2, 1, 1], 3.4.d_d_c 
(4, -1, 3), [0, 3, 3], 3.4.d_d_e 
(2, 1, -1), [2, 1, 3], 3.4.d_f_g 
(4, -1, 5), [0, 3, 1], 3.4.d_f_m 
(2, 1, 1), [2, 1, 1], 3.4.d_h_k 
(-2, 5, 13), [2, 1, 1], 3.4.d_h_o 
(4, -1, 7), [0, 3, 3], 3.4.d_h_u 
(2, 1, 3), [2, 1, 3], 3.4.d_j_o 
(0, 3, 5), [0, 3, 1], 3.4.d_j_y 
(2, 1, 5), [2, 1, 1], 3.4.d_l_s 
(0, 3, 7), [0, 3, 3], 3.4.d_l_y 
(2, 1, 7), [2, 1, 3], 3.4.d_n_w 
(0, 3, 9), [0, 3, 1], 3.4.d_n_y 
(4, 0, -7), [0, 0, 1], 3.4.e_ad_abc 
(4, 0, -5), [0, 0, 3], 3.4.e_ab_au 
(4, 0, -3), [0, 0, 1], 3.4.e_b_am 
(3, 1, -2), [3, 1, 2], 3.4.e_f_c 
(4, 0, 1), [0, 0, 1], 3.4.e_f_e 
(3, 1, 0), [3, 1, 0], 3.4.e_h_i 
(4, 0, 3), [0, 0, 3], 3.4.e_h_m 
