(0, -11, 51), (0, 1, 3)
(-6, -3, 0), (2, 1, 0)
(-6, -1, -11), (2, 3, 1)
(0, -7, 25), (0, 1, 1)
(-6, 1, -11), (2, 1, 1)
(0, -5, 19), (0, 3, 3)
(0, -5, 20), (0, 3, 0)
(0, -5, 24), (0, 3, 0)
(0, -5, 25), (0, 3, 1)
(-5, 1, -11), (3, 1, 1)
(0, -4, 24), (0, 0, 0)
(-4, 1, 0), (0, 1, 0)
(0, -3, 19), (0, 1, 3)
(0, -3, 20), (0, 1, 0)
(-4, 2, 0), (0, 2, 0)
(0, -1, 19), (0, 3, 3)
(0, 0, -21), (0, 0, 3)
(0, 0, 3), (0, 0, 3)
(2, -2, 11), (2, 2, 3)
(-2, 2, 11), (2, 2, 3)
(0, 1, 19), (0, 1, 3)
(4, -2, 0), (0, 2, 0)
(4, -1, 0), (0, 3, 0)
(0, 3, 19), (0, 3, 3)
(0, 3, 20), (0, 3, 0)
(5, -1, -11), (1, 3, 1)
(0, 4, 24), (0, 0, 0)
(6, -1, -11), (2, 3, 1)
(0, 5, 19), (0, 1, 3)
(0, 5, 20), (0, 1, 0)
(0, 5, 24), (0, 1, 0)
(0, 5, 25), (0, 1, 1)
(6, 1, -11), (2, 1, 1)
(0, 7, 25), (0, 3, 1)
(6, 3, 0), (2, 3, 0)
(0, 11, 51), (0, 3, 3)
(6, 7, 33), (2, 3, 1)
