(-5, -1, -20), [11, 15, 12], 3.16.ag_b_cq 
(-5, -1, -16), [11, 15, 0], 3.16.ag_f_bw 
(-7, 1, -4), [9, 1, 12], 3.16.ag_f_ci 
(-4, -2, -15), [12, 14, 1], 3.16.ag_j_ae 
(-5, -1, -12), [11, 15, 4], 3.16.ag_j_bc 
(-7, 1, 0), [9, 1, 0], 3.16.ag_j_bg 
(-4, -2, -13), [12, 14, 3], 3.16.ag_l_am 
(-4, -2, -11), [12, 14, 5], 3.16.ag_n_au 
(-7, 1, 4), [9, 1, 4], 3.16.ag_n_e 
(-5, -1, -8), [11, 15, 8], 3.16.ag_n_i 
(-4, -2, -9), [12, 14, 7], 3.16.ag_p_abc 
(-4, -2, -7), [12, 14, 9], 3.16.ag_r_abk 
(-7, 1, 8), [9, 1, 8], 3.16.ag_r_ay 
(-5, -1, -4), [11, 15, 12], 3.16.ag_r_am 
(-4, -2, -5), [12, 14, 11], 3.16.ag_t_abs 
(-3, -3, -4), [13, 13, 12], 3.16.ag_v_adg 
(-5, -1, 0), [11, 15, 0], 3.16.ag_v_abg 
(-4, -2, -1), [12, 14, 15], 3.16.ag_x_aci 
(4, -10, 49), [4, 6, 1], 3.16.ag_z_aeu 
(-3, -3, 0), [13, 13, 0], 3.16.ag_z_ads 
(-7, 1, 16), [9, 1, 0], 3.16.ag_z_adc 
(-4, -2, 1), [12, 14, 1], 3.16.ag_z_acq 
(-5, -1, 4), [11, 15, 4], 3.16.ag_z_aca 
(-8, 2, 27), [8, 2, 11], 3.16.ag_bb_afw 
(4, -10, 51), [4, 6, 3], 3.16.ag_bb_aem 
(-4, -2, 3), [12, 14, 3], 3.16.ag_bb_acy 
(-4, -2, 5), [12, 14, 5], 3.16.ag_bd_adg 
(4, -10, 55), [4, 6, 7], 3.16.ag_bf_adw 
(-4, -2, 7), [12, 14, 7], 3.16.ag_bf_ado 
(0, -6, 17), [0, 10, 1], 3.16.ag_bh_ahk 
(-1, -5, 12), [15, 11, 12], 3.16.ag_bh_agq 
(3, -9, 44), [3, 7, 12], 3.16.ag_bh_aga 
(-7, 1, 24), [9, 1, 8], 3.16.ag_bh_afg 
(-4, -2, 9), [12, 14, 9], 3.16.ag_bh_adw 
(0, -6, 19), [0, 10, 3], 3.16.ag_bj_ahk 
(-4, -2, 11), [12, 14, 11], 3.16.ag_bj_aee 
(0, -6, 21), [0, 10, 5], 3.16.ag_bl_ahk 
(-1, -5, 16), [15, 11, 0], 3.16.ag_bl_agu 
(-7, 1, 28), [9, 1, 12], 3.16.ag_bl_agi 
(3, -9, 48), [3, 7, 0], 3.16.ag_bl_afo 
(-3, -3, 12), [13, 13, 12], 3.16.ag_bl_afc 
(-4, -2, 13), [12, 14, 13], 3.16.ag_bl_aem 
(-4, -2, 15), [12, 14, 15], 3.16.ag_bn_aeu 
(-1, -5, 20), [15, 11, 4], 3.16.ag_bp_agy 
