(2, -4, 15), [2, 5, 6], 3.9.ac_q_abq 
(0, -2, 7), [0, 7, 7], 3.9.ac_q_abk 
(0, -2, 8), [0, 7, 8], 3.9.ac_r_abk 
(3, -5, 23), [3, 4, 5], 3.9.ac_r_av 
(-1, -1, 9), [8, 8, 0], 3.9.ac_t_abb 
(-3, 1, 13), [6, 1, 4], 3.9.ac_t_av 
(0, -2, 11), [0, 7, 2], 3.9.ac_u_abk 
(0, -2, 13), [0, 7, 4], 3.9.ac_w_abk 
(0, -2, 14), [0, 7, 5], 3.9.ac_x_abk 
(0, -2, 16), [0, 7, 7], 3.9.ac_z_abk 
(-6, 5, 16), [3, 5, 7], 3.9.ab_af_ag 
(0, -1, -11), [0, 8, 7], 3.9.ab_ac_as 
(-2, 1, -9), [7, 1, 0], 3.9.ab_ac_bk 
(0, -1, -10), [0, 8, 8], 3.9.ab_ab_as 
(-3, 2, -4), [6, 2, 5], 3.9.ab_ab_bw 
(0, -1, -8), [0, 8, 1], 3.9.ab_b_as 
(-2, 1, -6), [7, 1, 3], 3.9.ab_b_be 
(0, -1, -7), [0, 8, 2], 3.9.ab_c_as 
(4, -5, 15), [4, 4, 6], 3.9.ab_e_abe 
(0, -1, -5), [0, 8, 4], 3.9.ab_e_as 
(-2, 1, -3), [7, 1, 6], 3.9.ab_e_y 
(0, -1, -4), [0, 8, 5], 3.9.ab_f_as 
(3, -4, 10), [3, 5, 1], 3.9.ab_h_abq 
(1, -2, 0), [1, 7, 0], 3.9.ab_h_abk 
(-2, 1, 0), [7, 1, 0], 3.9.ab_h_s 
(0, -1, -1), [0, 8, 8], 3.9.ab_i_as 
(0, -1, 1), [0, 8, 1], 3.9.ab_k_as 
(4, -5, 21), [4, 4, 3], 3.9.ab_k_ag 
(3, -4, 14), [3, 5, 5], 3.9.ab_l_abe 
(0, -1, 2), [0, 8, 2], 3.9.ab_l_as 
(-3, 2, 8), [6, 2, 8], 3.9.ab_l_m 
(1, -2, 6), [1, 7, 6], 3.9.ab_n_abe 
(3, -4, 16), [3, 5, 7], 3.9.ab_n_ay 
(0, -1, 4), [0, 8, 4], 3.9.ab_n_as 
(0, -1, 5), [0, 8, 5], 3.9.ab_o_as 
(0, -1, 7), [0, 8, 7], 3.9.ab_q_as 
(0, -1, 8), [0, 8, 8], 3.9.ab_r_as 
(3, -4, 20), [3, 5, 2], 3.9.ab_r_am 
(-3, 2, 14), [6, 2, 5], 3.9.ab_r_ag 
(0, -1, 10), [0, 8, 1], 3.9.ab_t_as 
(-3, 2, 16), [6, 2, 7], 3.9.ab_t_am 
(0, -1, 13), [0, 8, 4], 3.9.ab_w_as 
(0, -1, 14), [0, 8, 5], 3.9.ab_x_as 
(0, 0, -17), [0, 0, 1], 3.9.a_ai_a 
(0, 0, -14), [0, 0, 4], 3.9.a_af_a 
(0, 0, -13), [0, 0, 5], 3.9.a_ae_a 
(0, 0, -11), [0, 0, 7], 3.9.a_ac_a 
(5, -5, 15), [5, 4, 6], 3.9.a_ab_ap 
(0, 0, -10), [0, 0, 8], 3.9.a_ab_a 
(-5, 5, 15), [4, 5, 6], 3.9.a_ab_p 
(0, 0, -8), [0, 0, 1], 3.9.a_b_a 
(3, -3, 2), [3, 6, 2], 3.9.a_c_abw 
(4, -4, 9), [4, 5, 0], 3.9.a_c_abk 
(1, -1, -6), [1, 8, 3], 3.9.a_c_ay 
(-1, 1, -6), [8, 1, 3], 3.9.a_c_y 
(-4, 4, 9), [5, 4, 0], 3.9.a_c_bk 
(-3, 3, 2), [6, 3, 2], 3.9.a_c_bw 
(3, -3, 4), [3, 6, 4], 3.9.a_e_abq 
(0, 0, -5), [0, 0, 4], 3.9.a_e_a 
(-3, 3, 4), [6, 3, 4], 3.9.a_e_bq 
(2, -2, 0), [2, 7, 0], 3.9.a_f_abk 
(1, -1, -3), [1, 8, 6], 3.9.a_f_av 
(-5, 5, 21), [4, 5, 3], 3.9.a_f_ap 
(0, 0, -4), [0, 0, 5], 3.9.a_f_a 
(5, -5, 21), [5, 4, 3], 3.9.a_f_p 
(-1, 1, -3), [8, 1, 6], 3.9.a_f_v 
(-2, 2, 0), [7, 2, 0], 3.9.a_f_bk 
(3, -3, 7), [3, 6, 7], 3.9.a_h_abh 
(0, 0, -2), [0, 0, 7], 3.9.a_h_a 
(-3, 3, 7), [6, 3, 7], 3.9.a_h_bh 
(1, -1, 0), [1, 8, 0], 3.9.a_i_as 
(4, -4, 15), [4, 5, 6], 3.9.a_i_am 
(0, 0, -1), [0, 0, 8], 3.9.a_i_a 
(-4, 4, 15), [5, 4, 6], 3.9.a_i_m 
(-1, 1, 0), [8, 1, 0], 3.9.a_i_s 
(3, -3, 10), [3, 6, 1], 3.9.a_k_ay 
(0, 0, 1), [0, 0, 1], 3.9.a_k_a 
(-3, 3, 10), [6, 3, 1], 3.9.a_k_y 
(2, -2, 6), [2, 7, 6], 3.9.a_l_ay 
(3, -3, 11), [3, 6, 2], 3.9.a_l_av 
(1, -1, 3), [1, 8, 3], 3.9.a_l_ap 
(-1, 1, 3), [8, 1, 3], 3.9.a_l_p 
(-3, 3, 11), [6, 3, 2], 3.9.a_l_v 
(-2, 2, 6), [7, 2, 6], 3.9.a_l_y 
(3, -3, 13), [3, 6, 4], 3.9.a_n_ap 
(0, 0, 4), [0, 0, 4], 3.9.a_n_a 
(-3, 3, 13), [6, 3, 4], 3.9.a_n_p 
(0, 0, 5), [0, 0, 5], 3.9.a_o_a 
(3, -3, 16), [3, 6, 7], 3.9.a_q_ag 
(-3, 3, 16), [6, 3, 7], 3.9.a_q_g 
(2, -2, 12), [2, 7, 3], 3.9.a_r_am 
(1, -1, 9), [1, 8, 0], 3.9.a_r_aj 
(3, -3, 17), [3, 6, 8], 3.9.a_r_ad 
(0, 0, 8), [0, 0, 8], 3.9.a_r_a 
(-3, 3, 17), [6, 3, 8], 3.9.a_r_d 
(-1, 1, 9), [8, 1, 0], 3.9.a_r_j 
(-2, 2, 12), [7, 2, 3], 3.9.a_r_m 
(0, 0, 10), [0, 0, 1], 3.9.a_t_a 
(6, -5, 16), [6, 4, 7], 3.9.b_af_g 
(2, -1, -9), [2, 8, 0], 3.9.b_ac_abk 
(0, 1, -11), [0, 1, 7], 3.9.b_ac_s 
(3, -2, -4), [3, 7, 5], 3.9.b_ab_abw 
(0, 1, -10), [0, 1, 8], 3.9.b_ab_s 
(2, -1, -6), [2, 8, 3], 3.9.b_b_abe 
(0, 1, -8), [0, 1, 1], 3.9.b_b_s 
(0, 1, -7), [0, 1, 2], 3.9.b_c_s 
(2, -1, -3), [2, 8, 6], 3.9.b_e_ay 
(0, 1, -5), [0, 1, 4], 3.9.b_e_s 
(-4, 5, 15), [5, 5, 6], 3.9.b_e_be 
(0, 1, -4), [0, 1, 5], 3.9.b_f_s 
(2, -1, 0), [2, 8, 0], 3.9.b_h_as 
(-1, 2, 0), [8, 2, 0], 3.9.b_h_bk 
(-3, 4, 10), [6, 4, 1], 3.9.b_h_bq 
(0, 1, -1), [0, 1, 8], 3.9.b_i_s 
(-4, 5, 21), [5, 5, 3], 3.9.b_k_g 
(0, 1, 1), [0, 1, 1], 3.9.b_k_s 
(3, -2, 8), [3, 7, 8], 3.9.b_l_am 
(0, 1, 2), [0, 1, 2], 3.9.b_l_s 
(-3, 4, 14), [6, 4, 5], 3.9.b_l_be 
(0, 1, 4), [0, 1, 4], 3.9.b_n_s 
(-3, 4, 16), [6, 4, 7], 3.9.b_n_y 
(-1, 2, 6), [8, 2, 6], 3.9.b_n_be 
(0, 1, 5), [0, 1, 5], 3.9.b_o_s 
(0, 1, 7), [0, 1, 7], 3.9.b_q_s 
(3, -2, 14), [3, 7, 5], 3.9.b_r_g 
(-3, 4, 20), [6, 4, 2], 3.9.b_r_m 
(0, 1, 8), [0, 1, 8], 3.9.b_r_s 
