(-6, -1, 1), [11, 16, 1], 3.17.ag_by_ahq 
(-5, -3, 2), [12, 14, 2], 3.17.ag_by_ags 
(-4, -4, 2), [13, 13, 2], 3.17.ag_bz_agq 
(-5, -2, 1), [12, 15, 1], 3.17.ag_cc_ahm 
(-4, -3, 1), [13, 14, 1], 3.17.ag_ce_ahk 
(-4, -1, -1), [13, 16, 16], 3.17.ag_ci_aia 
(-2, -2, -2), [15, 15, 15], 3.17.ag_cl_aie 
(-8, -5, 8), [9, 12, 8], 3.17.af_an_fu 
(-7, -6, 8), [10, 11, 8], 3.17.af_al_gk 
(-8, -4, 7), [9, 13, 7], 3.17.af_ab_cc 
(-6, -6, 7), [11, 11, 7], 3.17.af_d_de 
(-8, -3, 6), [9, 14, 6], 3.17.af_j_aba 
(-7, -4, 6), [10, 13, 6], 3.17.af_n_ac 
(-6, -5, 6), [11, 12, 6], 3.17.af_p_k 
(-8, -2, 5), [9, 15, 5], 3.17.af_r_adm 
(-8, -1, 4), [9, 16, 4], 3.17.af_x_afi 
(-6, -4, 5), [11, 13, 5], 3.17.af_z_aby 
(-8, 1, 2), [9, 1, 2], 3.17.af_bd_ahe 
(-7, -2, 4), [10, 15, 4], 3.17.af_bd_aek 
(-6, -3, 4), [11, 14, 4], 3.17.af_bh_adu 
(-5, -4, 4), [12, 13, 4], 3.17.af_bj_adm 
(-6, -2, 3), [11, 15, 3], 3.17.af_bn_afe 
(-6, -1, 2), [11, 16, 2], 3.17.af_br_agc 
(-4, -4, 3), [13, 13, 3], 3.17.af_br_aes 
(-5, -2, 2), [12, 15, 2], 3.17.af_bv_afu 
(-4, -3, 2), [13, 14, 2], 3.17.af_bx_afq 
(-4, -2, 1), [13, 15, 1], 3.17.af_cb_agg 
(-8, -4, 8), [9, 13, 8], 3.17.ae_an_eq 
(-7, -5, 8), [10, 12, 8], 3.17.ae_ak_fo 
(-6, -6, 8), [11, 11, 8], 3.17.ae_aj_fw 
(-8, -3, 7), [9, 14, 7], 3.17.ae_ac_bg 
(-7, -4, 7), [10, 13, 7], 3.17.ae_c_ci 
(-6, -5, 7), [11, 12, 7], 3.17.ae_e_cw 
(-8, -2, 6), [9, 15, 6], 3.17.ae_h_abo 
(-7, -3, 6), [10, 14, 6], 3.17.ae_m_ak 
(-8, -1, 5), [9, 16, 5], 3.17.ae_o_ads 
(-6, -4, 6), [11, 13, 6], 3.17.ae_p_i 
(-5, -5, 6), [12, 12, 6], 3.17.ae_q_o 
(-7, -2, 5), [10, 15, 5], 3.17.ae_u_aco 
(-8, 1, 3), [9, 1, 3], 3.17.ae_w_age 
(-8, 2, 2), [9, 2, 2], 3.17.ae_x_agm 
(-6, -3, 5), [11, 14, 5], 3.17.ae_y_abu 
(-7, -1, 4), [10, 16, 4], 3.17.ae_ba_aee 
(-5, -4, 5), [12, 13, 5], 3.17.ae_ba_abk 
(-6, -2, 4), [11, 15, 4], 3.17.ae_bf_adk 
(-7, 1, 2), [10, 1, 2], 3.17.ae_bg_afu 
(-5, -3, 4), [12, 14, 4], 3.17.ae_bi_acy 
(-4, -4, 4), [13, 13, 4], 3.17.ae_bj_acu 
