(-6, 2, 5), [7, 2, 5], 3.13.b_h_abi 
(-6, 3, 4), [7, 3, 4], 3.13.b_j_abu 
(-4, -1, 6), [9, 12, 6], 3.13.b_n_by 
(-3, -2, 6), [10, 11, 6], 3.13.b_p_ck 
(-5, 2, 4), [8, 2, 4], 3.13.b_r_ao 
(-4, 1, 4), [9, 1, 4], 3.13.b_x_k 
(-2, -2, 5), [11, 11, 5], 3.13.b_x_bu 
(-4, 2, 3), [9, 2, 3], 3.13.b_z_c 
(-2, -1, 4), [11, 12, 4], 3.13.b_bd_bi 
(-3, 2, 2), [10, 2, 2], 3.13.b_bf_o 
(-7, 2, 7), [6, 2, 7], 3.13.c_ak_abu 
(-7, 3, 6), [6, 3, 6], 3.13.c_ag_acw 
(-7, 4, 5), [6, 4, 5], 3.13.c_ae_adk 
(-6, 1, 7), [7, 1, 7], 3.13.c_ac_k 
(-6, 2, 6), [7, 2, 6], 3.13.c_d_au 
(-6, 3, 5), [7, 3, 5], 3.13.c_g_abm 
(-6, 4, 4), [7, 4, 4], 3.13.c_h_abs 
(-4, -1, 7), [9, 12, 7], 3.13.c_i_dc 
(-5, 1, 6), [8, 1, 6], 3.13.c_k_w 
(-3, -2, 7), [10, 11, 7], 3.13.c_k_dq 
(-5, 2, 5), [8, 2, 5], 3.13.c_o_c 
(-5, 3, 4), [8, 3, 4], 3.13.c_q_ai 
(-3, -1, 6), [10, 12, 6], 3.13.c_s_cs 
(-2, -2, 6), [11, 11, 6], 3.13.c_t_cy 
(-4, 1, 5), [9, 1, 5], 3.13.c_u_bg 
(-4, 2, 4), [9, 2, 4], 3.13.c_x_u 
(-4, 3, 3), [9, 3, 3], 3.13.c_y_q 
(-2, -1, 5), [11, 12, 5], 3.13.c_ba_ck 
(-3, 1, 4), [10, 1, 4], 3.13.c_bc_bo 
(-3, 2, 3), [10, 2, 3], 3.13.c_be_bi 
(-1, -1, 4), [12, 12, 4], 3.13.c_bg_ce 
(-2, 1, 3), [11, 1, 3], 3.13.c_bi_bu 
(-2, 2, 2), [11, 2, 2], 3.13.c_bj_bs 
(-1, 1, 2), [12, 1, 2], 3.13.c_bm_by 
(-7, 4, 6), [6, 4, 6], 3.13.d_ah_adm 
(-6, 2, 7), [7, 2, 7], 3.13.d_ab_ag 
(-6, 3, 6), [7, 3, 6], 3.13.d_d_abe 
(-6, 4, 5), [7, 4, 5], 3.13.d_f_abq 
(-5, 2, 6), [8, 2, 6], 3.13.d_l_s 
(-5, 4, 4), [8, 4, 4], 3.13.d_p_ac 
(-2, -2, 7), [11, 11, 7], 3.13.d_p_ec 
(-4, 1, 6), [9, 1, 6], 3.13.d_r_cc 
(-4, 2, 5), [9, 2, 5], 3.13.d_v_bm 
(-4, 3, 4), [9, 3, 4], 3.13.d_x_be 
(-2, -1, 6), [11, 12, 6], 3.13.d_x_dm 
(-3, 2, 4), [10, 2, 4], 3.13.d_bd_cc 
(-2, 1, 4), [11, 1, 4], 3.13.d_bh_cs 
(-2, 2, 3), [11, 2, 3], 3.13.d_bj_co 
(-7, 4, 7), [6, 4, 7], 3.13.e_ak_ado 
(-7, 5, 6), [6, 5, 6], 3.13.e_ai_aec 
(-6, 3, 7), [7, 3, 7], 3.13.e_a_aw 
(-6, 4, 6), [7, 4, 6], 3.13.e_d_abo 
(-6, 5, 5), [7, 5, 5], 3.13.e_e_abu 
(-5, 2, 7), [8, 2, 7], 3.13.e_i_bi 
(-5, 3, 6), [8, 3, 6], 3.13.e_m_o 
(-5, 4, 5), [8, 4, 5], 3.13.e_o_e 
(-4, 1, 7), [9, 1, 7], 3.13.e_o_cy 
