(3, 3, 4), [3, 3, 0], 3.11.k_co_jw 
(1, 5, 5), [1, 1, 1], 3.11.l_cq_kh 
(2, 3, 6), [2, 3, 2], 3.11.l_cr_ks 
(2, 4, 5), [2, 0, 1], 3.11.l_ct_kw 
(3, 3, 5), [3, 3, 1], 3.11.l_cu_lb 
(3, 4, 4), [3, 0, 0], 3.11.l_cv_le 
(3, 4, 5), [3, 0, 1], 3.11.m_dc_mm 
(1, 6, 6), [1, 2, 2], 3.11.n_dd_mk 
(2, 5, 6), [2, 1, 2], 3.11.n_dh_ni 
(3, 4, 6), [3, 0, 2], 3.11.n_dj_nu 
(3, 5, 5), [3, 1, 1], 3.11.n_dk_nx 
(4, 4, 5), [0, 0, 1], 3.11.n_dl_oc 
(2, 6, 6), [2, 2, 2], 3.11.o_dp_oq 
(3, 5, 6), [3, 1, 2], 3.11.o_ds_pi 
(4, 4, 6), [0, 0, 2], 3.11.o_dt_po 
(4, 5, 5), [0, 1, 1], 3.11.o_du_ps 
(3, 6, 6), [3, 2, 2], 3.11.p_eb_qw 
(4, 5, 6), [0, 1, 2], 3.11.p_ed_ri 
(5, 5, 5), [1, 1, 1], 3.11.p_ee_rn 
(4, 6, 6), [0, 2, 2], 3.11.q_en_tc 
(5, 5, 6), [1, 1, 2], 3.11.q_eo_ti 
(5, 6, 6), [1, 2, 2], 3.11.r_ez_vi 
(6, 6, 6), [2, 2, 2], 3.11.s_fl_xo 
