(-6, -5, 7), [2, 3, 3], 3.13.ae_ai_ec 
(-7, -3, 6), [1, 1, 2], 3.13.ae_a_w 
(-6, -4, 6), [2, 0, 2], 3.13.ae_d_bo 
(-5, -5, 6), [3, 3, 2], 3.13.ae_e_bu 
(-7, -2, 5), [1, 2, 1], 3.13.ae_i_abi 
(-6, -3, 5), [2, 1, 1], 3.13.ae_m_ao 
(-7, -1, 4), [1, 3, 0], 3.13.ae_o_acy 
(-5, -4, 5), [3, 0, 1], 3.13.ae_o_ae 
(-6, -2, 4), [2, 2, 0], 3.13.ae_t_ace 
(-7, 1, 2), [1, 1, 2], 3.13.ae_u_aeo 
(-5, -3, 4), [3, 1, 0], 3.13.ae_w_abs 
(-4, -4, 4), [0, 0, 0], 3.13.ae_x_abo 
(-6, -1, 3), [2, 3, 3], 3.13.ae_y_adi 
(-6, 1, 1), [2, 1, 1], 3.13.ae_bc_aeg 
(-5, -2, 3), [3, 2, 3], 3.13.ae_bc_acw 
(-4, -3, 3), [0, 1, 3], 3.13.ae_be_acq 
(-5, -1, 2), [3, 3, 2], 3.13.ae_bg_adq 
(-4, -2, 2), [0, 2, 2], 3.13.ae_bj_adk 
(-3, -3, 2), [1, 1, 2], 3.13.ae_bk_adi 
(-4, -1, 1), [0, 3, 1], 3.13.ae_bm_adw 
(-3, -2, 1), [1, 2, 1], 3.13.ae_bo_adu 
(-6, -4, 7), [2, 0, 3], 3.13.ad_ah_dm 
(-7, -2, 6), [1, 2, 2], 3.13.ad_ab_g 
(-6, -3, 6), [2, 1, 2], 3.13.ad_d_be 
(-5, -4, 6), [3, 0, 2], 3.13.ad_f_bq 
(-6, -2, 5), [2, 2, 1], 3.13.ad_l_as 
(-7, 2, 2), [1, 2, 2], 3.13.ad_p_aec 
(-4, -4, 5), [0, 0, 1], 3.13.ad_p_c 
(-6, -1, 4), [2, 3, 0], 3.13.ad_r_acc 
(-5, -2, 4), [3, 2, 0], 3.13.ad_v_abm 
(-6, 1, 2), [2, 1, 2], 3.13.ad_x_adm 
(-4, -3, 4), [0, 1, 0], 3.13.ad_x_abe 
(-4, -2, 3), [0, 2, 3], 3.13.ad_bd_acc 
(-4, -1, 2), [0, 3, 2], 3.13.ad_bh_acs 
(-3, -2, 2), [1, 2, 2], 3.13.ad_bj_aco 
(-7, -2, 7), [1, 2, 3], 3.13.ac_ak_bu 
(-6, -3, 7), [2, 1, 3], 3.13.ac_ag_cw 
(-5, -4, 7), [3, 0, 3], 3.13.ac_ae_dk 
(-7, -1, 6), [1, 3, 2], 3.13.ac_ac_ak 
(-6, -2, 6), [2, 2, 2], 3.13.ac_d_u 
(-5, -3, 6), [3, 1, 2], 3.13.ac_g_bm 
(-4, -4, 6), [0, 0, 2], 3.13.ac_h_bs 
(-7, 1, 4), [1, 1, 0], 3.13.ac_i_adc 
(-7, 2, 3), [1, 2, 3], 3.13.ac_k_adq 
(-6, -1, 5), [2, 3, 1], 3.13.ac_k_aw 
(-5, -2, 5), [3, 2, 1], 3.13.ac_o_ac 
(-4, -3, 5), [0, 1, 1], 3.13.ac_q_i 
(-6, 1, 3), [2, 1, 3], 3.13.ac_s_acs 
(-6, 2, 2), [2, 2, 2], 3.13.ac_t_acy 
(-5, -1, 4), [3, 3, 0], 3.13.ac_u_abg 
(-4, -2, 4), [0, 2, 0], 3.13.ac_x_au 
(-3, -3, 4), [1, 1, 0], 3.13.ac_y_aq 
(-5, 1, 2), [3, 1, 2], 3.13.ac_ba_ack 
(-4, -1, 3), [0, 3, 3], 3.13.ac_bc_abo 
(-3, -2, 3), [1, 2, 3], 3.13.ac_be_abi 
(-4, 1, 1), [0, 1, 1], 3.13.ac_bg_ace 
(-3, -1, 2), [1, 3, 2], 3.13.ac_bi_abu 
(-2, -2, 2), [2, 2, 2], 3.13.ac_bj_abs 
(-2, -1, 1), [2, 3, 1], 3.13.ac_bm_aby 
(-6, -2, 7), [2, 2, 3], 3.13.ab_af_cg 
(-4, -4, 7), [0, 0, 3], 3.13.ab_ab_di 
(-6, -1, 6), [2, 3, 2], 3.13.ab_d_k 
