(-8, -8, 8), [11, 11, 8], 3.19.ai_ah_ia 
(-8, -7, 7), [11, 12, 7], 3.19.ai_i_dk 
(-8, -6, 6), [11, 13, 6], 3.19.ai_v_aq 
(-7, -7, 6), [12, 12, 6], 3.19.ai_w_ak 
(-8, -5, 5), [11, 14, 5], 3.19.ai_bg_aea 
(-7, -6, 5), [12, 13, 5], 3.19.ai_bi_adq 
(-8, -4, 4), [11, 15, 4], 3.19.ai_bp_agu 
(-7, -5, 4), [12, 14, 4], 3.19.ai_bs_agi 
(-6, -6, 4), [13, 13, 4], 3.19.ai_bt_age 
(-8, -3, 3), [11, 16, 3], 3.19.ai_bw_aiy 
(-7, -4, 3), [12, 15, 3], 3.19.ai_ca_aim 
(-8, -2, 2), [11, 17, 2], 3.19.ai_cb_akm 
(-6, -5, 3), [13, 14, 3], 3.19.ai_cc_aig 
(-8, -1, 1), [11, 18, 1], 3.19.ai_ce_alk 
(-7, -3, 2), [12, 16, 2], 3.19.ai_cg_akc 
(-6, -4, 2), [13, 15, 2], 3.19.ai_cj_ajw 
(-7, -2, 1), [12, 17, 1], 3.19.ai_ck_ale 
(-5, -5, 2), [14, 14, 2], 3.19.ai_ck_aju 
(-6, -3, 1), [13, 16, 1], 3.19.ai_co_ala 
(-5, -4, 1), [14, 15, 1], 3.19.ai_cq_aky 
(-6, -1, -1), [13, 18, 18], 3.19.ai_cs_aly 
(-5, -2, -1), [14, 17, 18], 3.19.ai_cw_amc 
(-4, -3, -1), [15, 16, 18], 3.19.ai_cy_ame 
(-4, -2, -2), [15, 17, 17], 3.19.ai_cz_ami 
(-8, -7, 8), [11, 12, 8], 3.19.ah_ah_ha 
(-8, -6, 7), [11, 13, 7], 3.19.ah_h_cs 
(-8, -5, 6), [11, 14, 6], 3.19.ah_t_aba 
(-7, -6, 6), [12, 13, 6], 3.19.ah_v_ao 
(-8, -4, 5), [11, 15, 5], 3.19.ah_bd_aec 
(-6, -6, 5), [13, 13, 5], 3.19.ah_bh_adi 
(-8, -3, 4), [11, 16, 4], 3.19.ah_bl_ago 
(-7, -4, 4), [12, 15, 4], 3.19.ah_bp_afy 
(-8, -2, 3), [11, 17, 3], 3.19.ah_br_aik 
