(-1, 2, 3), [6, 2, 3], 3.7.e_w_by 
(-4, 4, 5), [3, 4, 5], 3.7.f_f_ak 
(-3, 4, 4), [4, 4, 4], 3.7.f_n_w 
(-2, 2, 5), [5, 2, 5], 3.7.f_r_by 
(-2, 3, 4), [5, 3, 4], 3.7.f_t_bu 
(-1, 2, 4), [6, 2, 4], 3.7.f_x_ck 
(-3, 4, 5), [4, 4, 5], 3.7.g_o_y 
(-2, 3, 5), [5, 3, 5], 3.7.g_u_cc 
(-2, 4, 4), [5, 4, 4], 3.7.g_v_ca 
(-1, 2, 5), [6, 2, 5], 3.7.g_y_cw 
(-1, 3, 4), [6, 3, 4], 3.7.g_ba_cu 
(1, 1, 4), [1, 1, 4], 3.7.g_be_dk 
(2, 2, 2), [2, 2, 2], 3.7.g_bh_do 
(-2, 4, 5), [5, 4, 5], 3.7.h_x_cg 
(-1, 4, 4), [6, 4, 4], 3.7.h_bd_de 
(-2, 5, 5), [5, 5, 5], 3.7.i_ba_ck 
(-1, 4, 5), [6, 4, 5], 3.7.i_bg_do 
(1, 2, 5), [1, 2, 5], 3.7.i_bm_es 
(1, 3, 4), [1, 3, 4], 3.7.i_bo_eu 
(2, 2, 4), [2, 2, 4], 3.7.i_bp_ey 
