(-5, 1, 3), [3, 1, 3], 3.13.ab_w_abp 
(-3, -1, 3), [1, 3, 3], 3.13.ab_be_ar 
(-3, 1, 1), [1, 1, 1], 3.13.ab_bi_abd 
(-2, -1, 2), [2, 3, 2], 3.13.ab_bj_aw 
(-1, -1, 1), [3, 3, 1], 3.13.ab_bm_az 
(-7, 1, 7), [1, 1, 3], 3.13.b_ak_ax 
(-7, 3, 5), [1, 3, 1], 3.13.b_ac_adb 
(-5, -1, 7), [3, 3, 3], 3.13.b_c_cj 
(-3, -3, 7), [1, 1, 3], 3.13.b_g_dl 
(-5, 1, 5), [3, 1, 1], 3.13.b_o_b 
(-5, 3, 3), [3, 3, 3], 3.13.b_s_at 
(-3, -1, 5), [1, 3, 1], 3.13.b_w_bp 
(-3, 1, 3), [1, 1, 3], 3.13.b_be_r 
(-1, -1, 3), [3, 3, 3], 3.13.b_bi_bd 
(-2, 1, 2), [2, 1, 2], 3.13.b_bj_w 
(-1, 1, 1), [3, 1, 1], 3.13.b_bm_z 
(-7, 3, 7), [1, 3, 3], 3.13.d_ak_acr 
(-7, 5, 5), [1, 1, 1], 3.13.d_ag_adt 
(-5, 1, 7), [3, 1, 3], 3.13.d_g_br 
(-5, 3, 5), [3, 3, 1], 3.13.d_o_d 
(-3, -1, 7), [1, 3, 3], 3.13.d_o_dv 
(-3, 1, 5), [1, 1, 1], 3.13.d_ba_cl 
(-3, 3, 3), [1, 3, 3], 3.13.d_be_bz 
(-1, -1, 5), [3, 3, 1], 3.13.d_be_df 
(-1, 1, 3), [3, 1, 3], 3.13.d_bm_cx 
(-1, 2, 2), [3, 2, 2], 3.13.d_bn_cw 
(1, 1, 1), [1, 1, 1], 3.13.d_bq_db 
(1, 1, 2), [1, 1, 2], 3.13.e_bs_ec 
(-7, 5, 7), [1, 1, 3], 3.13.f_ak_ael 
(-5, 3, 7), [3, 3, 3], 3.13.f_k_z 
(-5, 5, 5), [3, 1, 1], 3.13.f_o_f 
(-3, 1, 7), [1, 1, 3], 3.13.f_w_ef 
(-1, -1, 7), [3, 3, 3], 3.13.f_ba_fh 
(-3, 3, 5), [1, 3, 1], 3.13.f_be_dh 
(-1, 1, 5), [3, 1, 1], 3.13.f_bm_ev 
(-1, 3, 3), [3, 3, 3], 3.13.f_bq_er 
(1, 1, 3), [1, 1, 3], 3.13.f_bu_fd 
(1, 2, 2), [1, 2, 2], 3.13.f_bv_fe 
(1, 2, 3), [1, 2, 3], 3.13.g_by_gg 
(-7, 7, 7), [1, 3, 3], 3.13.h_ak_agf 
(-5, 5, 7), [3, 1, 3], 3.13.h_o_h 
(-3, 3, 7), [1, 3, 3], 3.13.h_be_ep 
(-3, 5, 5), [1, 1, 1], 3.13.h_bi_ed 
(-1, 1, 7), [3, 1, 3], 3.13.h_bm_gt 
(-1, 3, 5), [3, 3, 1], 3.13.h_bu_gl 
(1, 1, 5), [1, 1, 1], 3.13.h_by_hf 
(1, 2, 4), [1, 2, 0], 3.13.h_cb_hi 
(1, 3, 3), [1, 3, 3], 3.13.h_cc_hj 
(2, 2, 3), [2, 2, 3], 3.13.h_cd_hm 
(2, 2, 4), [2, 2, 0], 3.13.i_ch_iq 
(2, 3, 3), [2, 3, 3], 3.13.i_ci_is 
(-5, 7, 7), [3, 3, 3], 3.13.j_s_al 
(-3, 5, 7), [1, 1, 3], 3.13.j_bm_ez 
(-1, 3, 7), [3, 3, 3], 3.13.j_by_if 
(-1, 5, 5), [3, 1, 1], 3.13.j_cc_ib 
(1, 1, 7), [1, 1, 3], 3.13.j_cc_jh 
(1, 3, 5), [1, 3, 1], 3.13.j_ck_jp 
(1, 4, 4), [1, 0, 0], 3.13.j_cl_jq 
(2, 2, 5), [2, 2, 1], 3.13.j_cl_ju 
(2, 3, 4), [2, 3, 0], 3.13.j_cn_jy 
(3, 3, 3), [3, 3, 3], 3.13.j_co_kb 
(3, 3, 4), [3, 3, 0], 3.13.k_cu_lk 
(-3, 7, 7), [1, 3, 3], 3.13.l_bu_fj 
(-1, 5, 7), [3, 1, 3], 3.13.l_ck_jr 
(1, 3, 7), [1, 3, 3], 3.13.l_cs_lv 
(1, 5, 5), [1, 1, 1], 3.13.l_cw_lz 
(2, 3, 6), [2, 3, 2], 3.13.l_cx_mk 
(2, 4, 5), [2, 0, 1], 3.13.l_cz_mo 
(3, 3, 5), [3, 3, 1], 3.13.l_da_mt 
(3, 4, 4), [3, 0, 0], 3.13.l_db_mw 
(3, 4, 5), [3, 0, 1], 3.13.m_di_oi 
(-1, 7, 7), [3, 3, 3], 3.13.n_cw_ld 
(1, 5, 7), [1, 1, 3], 3.13.n_di_oj 
(1, 6, 6), [1, 2, 2], 3.13.n_dj_ok 
(3, 3, 7), [3, 3, 3], 3.13.n_dm_pl 
(2, 5, 6), [2, 1, 2], 3.13.n_dn_pi 
(3, 4, 6), [3, 0, 2], 3.13.n_dp_pu 
(3, 5, 5), [3, 1, 1], 3.13.n_dq_px 
(4, 4, 5), [0, 0, 1], 3.13.n_dr_qc 
(2, 5, 7), [2, 1, 3], 3.13.o_du_qs 
(3, 4, 7), [3, 0, 3], 3.13.o_dw_rg 
(4, 5, 5), [0, 1, 1], 3.13.o_ea_rw 
(1, 7, 7), [1, 3, 3], 3.13.p_dy_qx 
(2, 6, 7), [2, 2, 3], 3.13.p_ed_sg 
(3, 5, 7), [3, 1, 3], 3.13.p_eg_tb 
(3, 6, 6), [3, 2, 2], 3.13.p_eh_te 
(4, 4, 7), [0, 0, 3], 3.13.p_eh_ti 
(4, 5, 6), [0, 1, 2], 3.13.p_ej_tq 
(5, 5, 5), [1, 1, 1], 3.13.p_ek_tv 
(2, 7, 7), [2, 3, 3], 3.13.q_em_tu 
(3, 6, 7), [3, 2, 3], 3.13.q_eq_uw 
(4, 5, 7), [0, 1, 3], 3.13.q_es_vk 
(4, 6, 6), [0, 2, 2], 3.13.q_et_vo 
(5, 5, 6), [1, 1, 2], 3.13.q_eu_vu 
(3, 7, 7), [3, 3, 3], 3.13.r_fa_wr 
(4, 6, 7), [0, 2, 3], 3.13.r_fd_xm 
(5, 5, 7), [1, 1, 3], 3.13.r_fe_xt 
(5, 6, 6), [1, 2, 2], 3.13.r_ff_xy 
(4, 7, 7), [0, 3, 3], 3.13.s_fo_zo 
(5, 6, 7), [1, 2, 3], 3.13.s_fq_bac 
(6, 6, 6), [2, 2, 2], 3.13.s_fr_bai 
(5, 7, 7), [1, 3, 3], 3.13.t_gc_bcl 
(6, 6, 7), [2, 2, 3], 3.13.t_gd_bcs 
(6, 7, 7), [2, 3, 3], 3.13.u_gq_bfi 
(7, 7, 7), [3, 3, 3], 3.13.v_he_bif 
