(-3, -1, 5), [1, 3, 1], 3.17.b_bi_bx 
(-3, 1, 3), [1, 1, 3], 3.17.b_bq_z 
(-1, -1, 3), [3, 3, 3], 3.17.b_bu_bl 
(-2, 1, 2), [2, 1, 2], 3.17.b_bv_be 
(-1, 1, 1), [3, 1, 1], 3.17.b_by_bh 
(-7, 3, 7), [1, 3, 3], 3.17.d_c_abt 
(-7, 5, 5), [1, 1, 1], 3.17.d_g_acv 
(-5, 1, 7), [3, 1, 3], 3.17.d_s_cp 
(-5, 3, 5), [3, 3, 1], 3.17.d_ba_bb 
(-3, -1, 7), [1, 3, 3], 3.17.d_ba_et 
(-3, 1, 5), [1, 1, 1], 3.17.d_bm_dj 
(-3, 3, 3), [1, 3, 3], 3.17.d_bq_cx 
(-1, -1, 5), [3, 3, 1], 3.17.d_bq_ed 
(-1, 1, 3), [3, 1, 3], 3.17.d_by_dv 
(-1, 2, 2), [3, 2, 2], 3.17.d_bz_du 
(1, 1, 1), [1, 1, 1], 3.17.d_cc_dz 
(1, 1, 2), [1, 1, 2], 3.17.e_ce_fi 
(-7, 5, 7), [1, 1, 3], 3.17.f_c_acx 
(-5, 3, 7), [3, 3, 3], 3.17.f_w_cn 
(-5, 5, 5), [3, 1, 1], 3.17.f_ba_bt 
(-3, 1, 7), [1, 1, 3], 3.17.f_bi_ft 
(-1, -1, 7), [3, 3, 3], 3.17.f_bm_gv 
(-3, 3, 5), [1, 3, 1], 3.17.f_bq_ev 
(-1, 1, 5), [3, 1, 1], 3.17.f_by_gj 
(-1, 3, 3), [3, 3, 3], 3.17.f_cc_gf 
(1, 1, 3), [1, 1, 3], 3.17.f_cg_gr 
(1, 2, 2), [1, 2, 2], 3.17.f_ch_gs 
(1, 2, 3), [1, 2, 3], 3.17.g_ck_ic 
(-8, 7, 8), [0, 3, 0], 3.17.h_an_aic 
(-7, 7, 7), [1, 3, 3], 3.17.h_c_aeb 
(-5, 5, 7), [3, 1, 3], 3.17.h_ba_cl 
(-3, 3, 7), [1, 3, 3], 3.17.h_bq_gt 
(-3, 5, 5), [1, 1, 1], 3.17.h_bu_gh 
(-1, 1, 7), [3, 1, 3], 3.17.h_by_ix 
(-1, 3, 5), [3, 3, 1], 3.17.h_cg_ip 
(1, 1, 5), [1, 1, 1], 3.17.h_ck_jj 
(1, 2, 4), [1, 2, 0], 3.17.h_cn_jm 
(1, 3, 3), [1, 3, 3], 3.17.h_co_jn 
(2, 2, 3), [2, 2, 3], 3.17.h_cp_jq 
(2, 2, 4), [2, 2, 0], 3.17.i_ct_lc 
(2, 3, 3), [2, 3, 3], 3.17.i_cu_le 
(-7, 8, 8), [1, 0, 0], 3.17.j_d_afm 
(-5, 7, 7), [3, 3, 3], 3.17.j_be_cj 
(-3, 5, 7), [1, 1, 3], 3.17.j_by_ht 
(-1, 3, 7), [3, 3, 3], 3.17.j_ck_kz 
(-1, 5, 5), [3, 1, 1], 3.17.j_co_kv 
(1, 1, 7), [1, 1, 3], 3.17.j_co_mb 
(1, 3, 5), [1, 3, 1], 3.17.j_cw_mj 
(1, 4, 4), [1, 0, 0], 3.17.j_cx_mk 
(2, 2, 5), [2, 2, 1], 3.17.j_cx_mo 
(2, 3, 4), [2, 3, 0], 3.17.j_cz_ms 
(3, 3, 3), [3, 3, 3], 3.17.j_da_mv 
(1, 4, 5), [1, 0, 1], 3.17.k_dc_nw 
(3, 3, 4), [3, 3, 0], 3.17.k_dg_om 
(-5, 8, 8), [3, 0, 0], 3.17.l_bj_cc 
(-3, 7, 7), [1, 3, 3], 3.17.l_cg_it 
(-1, 5, 7), [3, 1, 3], 3.17.l_cw_nb 
(1, 3, 7), [1, 3, 3], 3.17.l_de_pf 
(1, 5, 5), [1, 1, 1], 3.17.l_di_pj 
(2, 3, 6), [2, 3, 2], 3.17.l_dj_pu 
(2, 4, 5), [2, 0, 1], 3.17.l_dl_py 
(3, 3, 5), [3, 3, 1], 3.17.l_dm_qd 
(3, 4, 4), [3, 0, 0], 3.17.l_dn_qg 
(3, 4, 5), [3, 0, 1], 3.17.m_du_sa 
(-1, 7, 7), [3, 3, 3], 3.17.n_di_pd 
(1, 5, 7), [1, 1, 3], 3.17.n_du_sj 
(3, 3, 7), [3, 3, 3], 3.17.n_dy_tl 
(2, 5, 6), [2, 1, 2], 3.17.n_dz_ti 
(3, 4, 6), [3, 0, 2], 3.17.n_eb_tu 
(3, 5, 5), [3, 1, 1], 3.17.n_ec_tx 
(4, 4, 5), [0, 0, 1], 3.17.n_ed_uc 
(4, 5, 5), [0, 1, 1], 3.17.o_em_we 
(-1, 8, 8), [3, 0, 0], 3.17.p_dv_re 
(1, 7, 7), [1, 3, 3], 3.17.p_ek_vn 
(2, 6, 7), [2, 2, 3], 3.17.p_ep_ww 
(3, 5, 7), [3, 1, 3], 3.17.p_es_xr 
(3, 6, 6), [3, 2, 2], 3.17.p_et_xu 
(4, 4, 7), [0, 0, 3], 3.17.p_et_xy 
(4, 5, 6), [0, 1, 2], 3.17.p_ev_yg 
(5, 5, 5), [1, 1, 1], 3.17.p_ew_yl 
(4, 5, 7), [0, 1, 3], 3.17.q_fe_bai 
(4, 6, 6), [0, 2, 2], 3.17.q_ff_bam 
(5, 5, 6), [1, 1, 2], 3.17.q_fg_bas 
(1, 8, 8), [1, 0, 0], 3.17.r_fb_ys 
(2, 7, 8), [2, 3, 0], 3.17.r_fh_bao 
(3, 7, 7), [3, 3, 3], 3.17.r_fm_bbx 
(4, 5, 8), [0, 1, 0], 3.17.r_fn_bck 
(4, 6, 7), [0, 2, 3], 3.17.r_fp_bcs 
(5, 5, 7), [1, 1, 3], 3.17.r_fq_bcz 
(5, 6, 6), [1, 2, 2], 3.17.r_fr_bde 
(3, 7, 8), [3, 3, 0], 3.17.s_fw_bea 
(5, 5, 8), [1, 1, 0], 3.17.s_ga_bfg 
(5, 6, 7), [1, 2, 3], 3.17.s_gc_bfq 
(3, 8, 8), [3, 0, 0], 3.17.t_gh_bgg 
(4, 7, 8), [0, 3, 0], 3.17.t_gl_bhm 
(5, 6, 8), [1, 2, 0], 3.17.t_gn_bic 
(5, 7, 7), [1, 3, 3], 3.17.t_go_bih 
(6, 6, 7), [2, 2, 3], 3.17.t_gp_bio 
(4, 8, 8), [0, 0, 0], 3.17.u_gx_bka 
(5, 7, 8), [1, 3, 0], 3.17.u_ha_bky 
(6, 6, 8), [2, 2, 0], 3.17.u_hb_blg 
(6, 7, 7), [2, 3, 3], 3.17.u_hc_blm 
(5, 8, 8), [1, 0, 0], 3.17.v_hn_bnu 
(6, 7, 8), [2, 3, 0], 3.17.v_hp_bok 
(7, 7, 7), [3, 3, 3], 3.17.v_hq_bor 
(6, 8, 8), [2, 0, 0], 3.17.w_id_bro 
(7, 7, 8), [3, 3, 0], 3.17.w_ie_brw 
(7, 8, 8), [3, 0, 0], 3.17.x_it_bvi 
(8, 8, 8), [0, 0, 0], 3.17.y_jj_bzc 
