(-9, -4, -2), [3, 0, 2], 3.23.ap_fb_abdi 
(-8, -6, -1), [0, 2, 3], 3.23.ap_fb_abck 
(-8, -5, -2), [0, 3, 2], 3.23.ap_ff_abdq 
(-8, -4, -3), [0, 0, 1], 3.23.ap_fh_abeg 
(-7, -6, -2), [1, 2, 2], 3.23.ap_fh_abdu 
(-9, -9, 4), [3, 3, 0], 3.23.ao_da_ami 
(-9, -8, 3), [3, 0, 3], 3.23.ao_dm_aqm 
(-9, -7, 2), [3, 1, 2], 3.23.ao_dw_aty 
(-8, -8, 2), [0, 0, 2], 3.23.ao_dx_atw 
(-9, -6, 1), [3, 2, 1], 3.23.ao_ee_aws 
(-8, -7, 1), [0, 1, 1], 3.23.ao_eg_awq 
(-9, -4, -1), [3, 0, 3], 3.23.ao_eo_abae 
(-9, -3, -2), [3, 1, 2], 3.23.ao_eq_abaw 
(-8, -5, -1), [0, 3, 3], 3.23.ao_es_abai 
(-7, -6, -1), [1, 2, 3], 3.23.ao_eu_abak 
(-8, -4, -2), [0, 0, 2], 3.23.ao_ev_abbg 
(-8, -3, -3), [0, 1, 1], 3.23.ao_ew_abbo 
(-7, -5, -2), [1, 3, 2], 3.23.ao_ey_abbm 
(-6, -6, -2), [2, 2, 2], 3.23.ao_ez_abbo 
(-7, -4, -3), [1, 0, 1], 3.23.ao_fa_abca 
(-9, -8, 4), [3, 0, 0], 3.23.an_cv_aly 
(-8, -8, 3), [0, 0, 3], 3.23.an_dh_apq 
(-9, -6, 2), [3, 2, 2], 3.23.an_dp_asw 
(-8, -7, 2), [0, 1, 2], 3.23.an_dr_ass 
(-8, -6, 1), [0, 2, 1], 3.23.an_dz_ave 
(-9, -2, -2), [3, 2, 2], 3.23.an_ef_ayk 
(-8, -4, -1), [0, 0, 3], 3.23.an_ej_ayg 
(-8, -3, -2), [0, 1, 2], 3.23.an_el_ayw 
(-6, -6, -1), [2, 2, 3], 3.23.an_en_ayk 
(-7, -4, -2), [1, 0, 2], 3.23.an_ep_aze 
(-9, -9, 6), [3, 3, 2], 3.23.am_bq_aco 
(-9, -8, 5), [3, 0, 1], 3.23.am_ce_ahk 
(-9, -7, 4), [3, 1, 0], 3.23.am_cq_alo 
(-8, -8, 4), [0, 0, 0], 3.23.am_cr_alk 
(-9, -6, 3), [3, 2, 3], 3.23.am_da_apa 
(-8, -7, 3), [0, 1, 3], 3.23.am_dc_aou 
(-9, -5, 2), [3, 3, 2], 3.23.am_di_aru 
(-8, -6, 2), [0, 2, 2], 3.23.am_dl_aro 
(-7, -7, 2), [1, 1, 2], 3.23.am_dm_arm 
(-9, -4, 1), [3, 0, 1], 3.23.am_do_atw 
(-8, -5, 1), [0, 3, 1], 3.23.am_ds_ats 
(-9, -2, -1), [3, 2, 3], 3.23.am_du_avy 
(-7, -6, 1), [1, 2, 1], 3.23.am_du_atq 
(-8, -3, -1), [0, 1, 3], 3.23.am_ea_awe 
(-8, -2, -2), [0, 2, 2], 3.23.am_eb_awm 
(-7, -4, -1), [1, 0, 3], 3.23.am_ee_awi 
(-7, -3, -2), [1, 1, 2], 3.23.am_eg_aww 
(-6, -5, -1), [2, 3, 3], 3.23.am_eg_awk 
(-6, -4, -2), [2, 0, 2], 3.23.am_ej_axc 
(-6, -3, -3), [2, 1, 1], 3.23.am_ek_axi 
(-5, -5, -2), [3, 3, 2], 3.23.am_ek_axe 
(-4, -4, -4), [0, 0, 0], 3.23.am_en_axs 
(-9, -8, 6), [3, 0, 2], 3.23.al_bn_acw 
(-8, -8, 5), [0, 0, 1], 3.23.al_cb_ahe 
(-9, -6, 4), [3, 2, 0], 3.23.al_cl_ale 
(-8, -7, 4), [0, 1, 0], 3.23.al_cn_akw 
(-8, -6, 3), [0, 2, 3], 3.23.al_cx_any 
(-9, -4, 2), [3, 0, 2], 3.23.al_db_aqs 
(-8, -5, 2), [0, 3, 2], 3.23.al_df_aqk 
(-7, -6, 2), [1, 2, 2], 3.23.al_dh_aqg 
(-8, -4, 1), [0, 0, 1], 3.23.al_dl_asg 
(-6, -6, 1), [2, 2, 1], 3.23.al_dp_asc 
(-8, -2, -1), [0, 2, 3], 3.23.al_dr_auc 
(-7, -2, -2), [1, 2, 2], 3.23.al_dx_auo 
(-6, -4, -1), [2, 0, 3], 3.23.al_dz_auk 
