(-8, -3, 3), [0, 1, 3], 3.17.ai_bq_ahs 
(-7, -4, 3), [1, 0, 3], 3.17.ai_bu_ahg 
(-8, -2, 2), [0, 2, 2], 3.17.ai_bv_ajg 
(-6, -5, 3), [2, 3, 3], 3.17.ai_bw_aha 
(-8, -1, 1), [0, 3, 1], 3.17.ai_by_ake 
(-7, -3, 2), [1, 1, 2], 3.17.ai_ca_aiw 
(-6, -4, 2), [2, 0, 2], 3.17.ai_cd_aiq 
(-7, -2, 1), [1, 2, 1], 3.17.ai_ce_ajy 
(-5, -5, 2), [3, 3, 2], 3.17.ai_ce_aio 
(-6, -3, 1), [2, 1, 1], 3.17.ai_ci_aju 
(-5, -4, 1), [3, 0, 1], 3.17.ai_ck_ajs 
(-6, -1, -1), [2, 3, 3], 3.17.ai_cm_aks 
(-5, -2, -1), [3, 2, 3], 3.17.ai_cq_akw 
(-4, -3, -1), [0, 1, 3], 3.17.ai_cs_aky 
(-8, -6, 7), [0, 2, 3], 3.17.ah_b_du 
(-8, -5, 6), [0, 3, 2], 3.17.ah_n_c 
(-7, -6, 6), [1, 2, 2], 3.17.ah_p_o 
(-8, -4, 5), [0, 0, 1], 3.17.ah_x_ada 
(-6, -6, 5), [2, 2, 1], 3.17.ah_bb_acg 
(-8, -3, 4), [0, 1, 0], 3.17.ah_bf_afm 
(-7, -4, 4), [1, 0, 0], 3.17.ah_bj_aew 
(-8, -2, 3), [0, 2, 3], 3.17.ah_bl_ahi 
(-6, -5, 4), [2, 3, 0], 3.17.ah_bl_aeo 
(-8, -1, 2), [0, 3, 2], 3.17.ah_bp_aio 
(-6, -4, 3), [2, 0, 3], 3.17.ah_bt_agk 
(-7, -2, 2), [1, 2, 2], 3.17.ah_bv_aic 
(-6, -3, 2), [2, 1, 2], 3.17.ah_bz_ahu 
(-5, -4, 2), [3, 0, 2], 3.17.ah_cb_ahq 
(-6, -2, 1), [2, 2, 1], 3.17.ah_cd_ais 
(-4, -4, 1), [0, 0, 1], 3.17.ah_ch_aio 
(-8, -6, 8), [0, 2, 0], 3.17.ag_an_gy 
(-7, -7, 8), [1, 1, 0], 3.17.ag_am_hg 
(-8, -5, 7), [0, 3, 3], 3.17.ag_a_cy 
(-7, -6, 7), [1, 2, 3], 3.17.ag_c_dm 
(-8, -4, 6), [0, 0, 2], 3.17.ag_l_am 
(-7, -5, 6), [1, 3, 2], 3.17.ag_o_g 
(-6, -6, 6), [2, 2, 2], 3.17.ag_p_m 
(-8, -3, 5), [0, 1, 1], 3.17.ag_u_adg 
(-7, -4, 5), [1, 0, 1], 3.17.ag_y_acm 
(-6, -5, 5), [2, 3, 1], 3.17.ag_ba_acc 
(-8, -2, 4), [0, 2, 0], 3.17.ag_bb_afk 
(-8, -1, 3), [0, 3, 3], 3.17.ag_bg_agy 
(-7, -3, 4), [1, 1, 0], 3.17.ag_bg_aeq 
(-6, -4, 4), [2, 0, 0], 3.17.ag_bj_aee 
(-8, 1, 1), [0, 1, 1], 3.17.ag_bk_aie 
(-5, -5, 4), [3, 3, 0], 3.17.ag_bk_aea 
(-7, -2, 3), [1, 2, 3], 3.17.ag_bm_agg 
(-7, -1, 2), [1, 3, 2], 3.17.ag_bq_ahi 
(-6, -3, 3), [2, 1, 3], 3.17.ag_bq_afu 
(-5, -4, 3), [3, 0, 3], 3.17.ag_bs_afo 
(-6, -2, 2), [2, 2, 2], 3.17.ag_bv_agy 
(-6, -1, 1), [2, 3, 1], 3.17.ag_by_ahq 
(-5, -3, 2), [3, 1, 2], 3.17.ag_by_ags 
(-4, -4, 2), [0, 0, 2], 3.17.ag_bz_agq 
(-5, -2, 1), [3, 2, 1], 3.17.ag_cc_ahm 
(-4, -3, 1), [0, 1, 1], 3.17.ag_ce_ahk 
(-4, -1, -1), [0, 3, 3], 3.17.ag_ci_aia 
(-2, -2, -2), [2, 2, 2], 3.17.ag_cl_aie 
(-8, -5, 8), [0, 3, 0], 3.17.af_an_fu 
(-7, -6, 8), [1, 2, 0], 3.17.af_al_gk 
(-8, -4, 7), [0, 0, 3], 3.17.af_ab_cc 
(-6, -6, 7), [2, 2, 3], 3.17.af_d_de 
(-8, -3, 6), [0, 1, 2], 3.17.af_j_aba 
(-7, -4, 6), [1, 0, 2], 3.17.af_n_ac 
(-6, -5, 6), [2, 3, 2], 3.17.af_p_k 
(-8, -2, 5), [0, 2, 1], 3.17.af_r_adm 
(-8, -1, 4), [0, 3, 0], 3.17.af_x_afi 
(-6, -4, 5), [2, 0, 1], 3.17.af_z_aby 
(-8, 1, 2), [0, 1, 2], 3.17.af_bd_ahe 
(-7, -2, 4), [1, 2, 0], 3.17.af_bd_aek 
(-6, -3, 4), [2, 1, 0], 3.17.af_bh_adu 
(-5, -4, 4), [3, 0, 0], 3.17.af_bj_adm 
(-6, -2, 3), [2, 2, 3], 3.17.af_bn_afe 
(-6, -1, 2), [2, 3, 2], 3.17.af_br_agc 
(-4, -4, 3), [0, 0, 3], 3.17.af_br_aes 
(-5, -2, 2), [3, 2, 2], 3.17.af_bv_afu 
(-4, -3, 2), [0, 1, 2], 3.17.af_bx_afq 
(-4, -2, 1), [0, 2, 1], 3.17.af_cb_agg 
(-8, -4, 8), [0, 0, 0], 3.17.ae_an_eq 
(-7, -5, 8), [1, 3, 0], 3.17.ae_ak_fo 
