(-5, -5, 5), [12, 12, 5], 3.17.af_ba_abt 
(-7, -1, 3), [10, 16, 3], 3.17.af_bi_aft 
(-7, 1, 1), [10, 1, 1], 3.17.af_bm_agv 
(-5, -3, 3), [12, 14, 3], 3.17.af_bq_aev 
(-5, -1, 1), [12, 16, 1], 3.17.af_by_agj 
(-3, -3, 1), [14, 14, 1], 3.17.af_cc_agf 
(-3, -1, -1), [14, 16, 16], 3.17.af_cg_agr 
(-2, -2, -1), [15, 15, 16], 3.17.af_ch_ags 
(-2, -1, -1), [15, 16, 16], 3.17.ae_ce_afi 
(-7, -3, 7), [10, 14, 7], 3.17.ad_c_bt 
(-5, -5, 7), [12, 12, 7], 3.17.ad_g_cv 
(-7, -1, 5), [10, 16, 5], 3.17.ad_s_acp 
(-7, 1, 3), [10, 1, 3], 3.17.ad_ba_aet 
(-5, -3, 5), [12, 14, 5], 3.17.ad_ba_abb 
(-5, -1, 3), [12, 16, 3], 3.17.ad_bm_adj 
(-5, 1, 1), [12, 1, 1], 3.17.ad_bq_aed 
(-3, -3, 3), [14, 14, 3], 3.17.ad_bq_acx 
(-3, -1, 1), [14, 16, 1], 3.17.ad_by_adv 
(-2, -2, 1), [15, 15, 1], 3.17.ad_bz_adu 
(-1, -1, -1), [16, 16, 16], 3.17.ad_cc_adz 
(-7, -1, 7), [10, 16, 7], 3.17.ab_c_p 
(-5, -3, 7), [12, 14, 7], 3.17.ab_k_ct 
(-7, 1, 5), [10, 1, 5], 3.17.ab_o_acr 
(-7, 3, 3), [10, 3, 3], 3.17.ab_s_adt 
(-5, -1, 5), [12, 16, 5], 3.17.ab_ba_aj 
(-3, -3, 5), [14, 14, 5], 3.17.ab_be_l 
(-5, 1, 3), [12, 1, 3], 3.17.ab_bi_abx 
(-3, -1, 3), [14, 16, 3], 3.17.ab_bq_az 
(-3, 1, 1), [14, 1, 1], 3.17.ab_bu_abl 
(-2, -1, 2), [15, 16, 2], 3.17.ab_bv_abe 
(-1, -1, 1), [16, 16, 1], 3.17.ab_by_abh 
