(-5, 0, 7), [3, 0, 3], 3.9.af_q_abj 
(-4, -1, 4), [0, 3, 0], 3.9.af_r_abi 
(-4, -1, 5), [0, 3, 1], 3.9.af_s_abm 
(-1, -4, 7), [3, 0, 3], 3.9.af_u_adb 
(-5, 0, 11), [3, 0, 3], 3.9.af_u_acd 
(-4, -1, 7), [0, 3, 3], 3.9.af_u_abu 
(-4, -1, 8), [0, 3, 0], 3.9.af_v_aby 
(1, -6, 19), [1, 2, 3], 3.9.af_w_adl 
(-5, 0, 13), [3, 0, 1], 3.9.af_w_acn 
(-1, -4, 11), [3, 0, 3], 3.9.af_y_adf 
(-4, -1, 11), [0, 3, 3], 3.9.af_y_ack 
(1, -6, 25), [1, 2, 1], 3.9.af_bc_adf 
(-1, -4, 17), [3, 0, 1], 3.9.af_be_adl 
(-1, -4, 19), [3, 0, 3], 3.9.af_bg_adn 
(-2, -3, 17), [2, 1, 1], 3.9.af_bg_adk 
(-1, -4, 20), [3, 0, 0], 3.9.af_bh_ado 
(-2, -3, 19), [2, 1, 3], 3.9.af_bi_ado 
(-4, 0, -17), [0, 0, 3], 3.9.ae_ai_cq 
(-4, 0, -16), [0, 0, 0], 3.9.ae_ah_cm 
(-5, 1, -11), [3, 1, 1], 3.9.ae_ah_cv 
(-5, 1, -10), [3, 1, 2], 3.9.ae_ag_cq 
(-5, 1, -7), [3, 1, 1], 3.9.ae_ad_cb 
(-5, 1, -5), [3, 1, 3], 3.9.ae_ab_br 
(-4, 0, -1), [0, 0, 3], 3.9.ae_i_e 
(-4, 0, 1), [0, 0, 1], 3.9.ae_k_ae 
(1, -5, 13), [1, 3, 1], 3.9.ae_r_acz 
(-1, -3, 17), [3, 1, 1], 3.9.ae_bd_act 
(-2, -2, 17), [2, 2, 1], 3.9.ae_be_acs 
(-1, -3, 19), [3, 1, 3], 3.9.ae_bf_acv 
(-5, 2, -5), [3, 2, 3], 3.9.ad_ag_cj 
(-4, 1, -11), [0, 1, 1], 3.9.ad_ag_ck 
(-5, 2, -4), [3, 2, 0], 3.9.ad_af_ce 
(-4, 1, -10), [0, 1, 2], 3.9.ad_af_cg 
(-5, 2, -1), [3, 2, 3], 3.9.ad_ac_bp 
(5, -8, 31), [1, 0, 3], 3.9.ad_a_l 
(-5, 2, 1), [3, 2, 1], 3.9.ad_a_bf 
(-4, 1, -5), [0, 1, 3], 3.9.ad_a_bm 
(-4, 1, -4), [0, 1, 0], 3.9.ad_b_bi 
(-5, 2, 5), [3, 2, 1], 3.9.ad_e_l 
(-4, 1, -1), [0, 1, 3], 3.9.ad_e_w 
(-1, -2, -5), [3, 2, 3], 3.9.ad_g_abf 
(-5, 2, 7), [3, 2, 3], 3.9.ad_g_b 
(-4, 1, 1), [0, 1, 1], 3.9.ad_g_o 
(-1, -2, -1), [3, 2, 3], 3.9.ad_k_abj 
(-5, 2, 11), [3, 2, 3], 3.9.ad_k_at 
(1, -4, 7), [1, 0, 3], 3.9.ad_m_acn 
(-1, -2, 1), [3, 2, 1], 3.9.ad_m_abl 
(-5, 2, 13), [3, 2, 1], 3.9.ad_m_abd 
(1, -4, 10), [1, 0, 2], 3.9.ad_p_ack 
(1, -4, 11), [1, 0, 3], 3.9.ad_q_acj 
(-5, 2, 17), [3, 2, 1], 3.9.ad_q_abx 
(-1, -2, 5), [3, 2, 1], 3.9.ad_q_abp 
(-1, -2, 7), [3, 2, 3], 3.9.ad_s_abr 
(1, -4, 14), [1, 0, 2], 3.9.ad_t_acg 
(1, -4, 16), [1, 0, 0], 3.9.ad_v_ace 
(1, -4, 17), [1, 0, 1], 3.9.ad_w_acd 
(-1, -2, 11), [3, 2, 3], 3.9.ad_w_abv 
(1, -4, 19), [1, 0, 3], 3.9.ad_y_acb 
(-1, -2, 13), [3, 2, 1], 3.9.ad_y_abx 
(-2, -1, 13), [2, 3, 1], 3.9.ad_y_abs 
(-2, -1, 14), [2, 3, 2], 3.9.ad_z_abu 
(-1, -2, 16), [3, 2, 0], 3.9.ad_bb_aca 
(-1, -2, 17), [3, 2, 1], 3.9.ad_bc_acb 
(-2, -1, 17), [2, 3, 1], 3.9.ad_bc_aca 
(-2, 0, -17), [2, 0, 3], 3.9.ac_ai_bi 
(-5, 3, 1), [3, 3, 1], 3.9.ac_af_bx 
(-4, 2, -5), [0, 2, 3], 3.9.ac_ae_ce 
(2, -4, 7), [2, 0, 3], 3.9.ac_i_acg 
(2, -4, 8), [2, 0, 0], 3.9.ac_j_ace 
(-2, 0, 7), [2, 0, 3], 3.9.ac_q_ao 
(1, -3, 11), [1, 1, 3], 3.9.ac_r_abr 
(1, -3, 13), [1, 1, 1], 3.9.ac_t_abp 
(-2, 0, 13), [2, 0, 1], 3.9.ac_w_aba 
(1, -3, 17), [1, 1, 1], 3.9.ac_x_abl 
(-1, -1, 17), [3, 3, 1], 3.9.ac_bb_abj 
(-1, 0, -17), [3, 0, 3], 3.9.ab_ai_r 
(-1, 0, -16), [3, 0, 0], 3.9.ab_ah_q 
(-1, 0, -13), [3, 0, 3], 3.9.ab_ae_n 
(-5, 4, 7), [3, 0, 3], 3.9.ab_ae_bl 
(-5, 4, 8), [3, 0, 0], 3.9.ab_ad_bg 
(5, -6, 19), [1, 2, 3], 3.9.ab_ac_an 
(-1, 0, -11), [3, 0, 1], 3.9.ab_ac_l 
(-5, 4, 11), [3, 0, 3], 3.9.ab_a_r 
(1, -2, -5), [1, 2, 3], 3.9.ab_c_abp 
(-1, 0, -5), [3, 0, 3], 3.9.ab_e_f 
(5, -6, 25), [1, 2, 1], 3.9.ab_e_r 
(1, -2, -1), [1, 2, 3], 3.9.ab_g_abl 
(-5, 4, 17), [3, 0, 1], 3.9.ab_g_an 
(2, -3, 5), [2, 1, 1], 3.9.ab_i_abs 
(1, -2, 1), [1, 2, 1], 3.9.ab_i_abj 
(-5, 4, 19), [3, 0, 3], 3.9.ab_i_ax 
(-1, 0, -1), [3, 0, 3], 3.9.ab_i_b 
(2, -3, 7), [2, 1, 3], 3.9.ab_k_abo 
(-1, 0, 1), [3, 0, 1], 3.9.ab_k_ab 
(1, -2, 5), [1, 2, 1], 3.9.ab_m_abf 
(2, -3, 10), [2, 1, 2], 3.9.ab_n_abi 
(2, -3, 11), [2, 1, 3], 3.9.ab_o_abg 
(1, -2, 7), [1, 2, 3], 3.9.ab_o_abd 
(-1, 0, 5), [3, 0, 1], 3.9.ab_o_af 
(-1, 0, 7), [3, 0, 3], 3.9.ab_q_ah 
(-2, 1, 10), [2, 1, 2], 3.9.ab_r_ac 
(1, -2, 11), [1, 2, 3], 3.9.ab_s_az 
(-2, 1, 11), [2, 1, 3], 3.9.ab_s_ae 
(1, -2, 13), [1, 2, 1], 3.9.ab_u_ax 
(-1, 0, 11), [3, 0, 3], 3.9.ab_u_al 
(-2, 1, 13), [2, 1, 1], 3.9.ab_u_ai 
(1, -2, 14), [1, 2, 2], 3.9.ab_v_aw 
(-2, 1, 14), [2, 1, 2], 3.9.ab_v_ak 
(-1, 0, 13), [3, 0, 1], 3.9.ab_w_an 
(1, -2, 16), [1, 2, 0], 3.9.ab_x_au 
(1, -2, 17), [1, 2, 1], 3.9.ab_y_at 
(-1, 0, 16), [3, 0, 0], 3.9.ab_z_aq 
(2, -2, 11), [2, 2, 3], 3.9.a_q_ao 
(-2, 2, 11), [2, 2, 3], 3.9.a_q_o 
(1, -1, 13), [1, 3, 1], 3.9.a_v_af 
(-1, 1, 13), [3, 1, 1], 3.9.a_v_f 
(1, -1, 17), [1, 3, 1], 3.9.a_z_ab 
(-1, 1, 17), [3, 1, 1], 3.9.a_z_b 
(1, 0, -17), [1, 0, 3], 3.9.b_ai_ar 
(1, 0, -16), [1, 0, 0], 3.9.b_ah_aq 
(5, -4, 7), [1, 0, 3], 3.9.b_ae_abl 
(1, 0, -13), [1, 0, 3], 3.9.b_ae_an 
(5, -4, 8), [1, 0, 0], 3.9.b_ad_abg 
(1, 0, -11), [1, 0, 1], 3.9.b_ac_al 
(-5, 6, 19), [3, 2, 3], 3.9.b_ac_n 
(5, -4, 11), [1, 0, 3], 3.9.b_a_ar 
(-1, 2, -5), [3, 2, 3], 3.9.b_c_bp 
(-5, 6, 25), [3, 2, 1], 3.9.b_e_ar 
(1, 0, -5), [1, 0, 3], 3.9.b_e_af 
(5, -4, 17), [1, 0, 1], 3.9.b_g_n 
(-1, 2, -1), [3, 2, 3], 3.9.b_g_bl 
(1, 0, -1), [1, 0, 3], 3.9.b_i_ab 
(5, -4, 19), [1, 0, 3], 3.9.b_i_x 
(-1, 2, 1), [3, 2, 1], 3.9.b_i_bj 
(-2, 3, 5), [2, 3, 1], 3.9.b_i_bs 
(1, 0, 1), [1, 0, 1], 3.9.b_k_b 
(-2, 3, 7), [2, 3, 3], 3.9.b_k_bo 
(-1, 2, 5), [3, 2, 1], 3.9.b_m_bf 
(-2, 3, 10), [2, 3, 2], 3.9.b_n_bi 
(1, 0, 5), [1, 0, 1], 3.9.b_o_f 
(-1, 2, 7), [3, 2, 3], 3.9.b_o_bd 
(-2, 3, 11), [2, 3, 3], 3.9.b_o_bg 
(1, 0, 7), [1, 0, 3], 3.9.b_q_h 
(2, -1, 10), [2, 3, 2], 3.9.b_r_c 
(2, -1, 11), [2, 3, 3], 3.9.b_s_e 
(-1, 2, 11), [3, 2, 3], 3.9.b_s_z 
(2, -1, 13), [2, 3, 1], 3.9.b_u_i 
(1, 0, 11), [1, 0, 3], 3.9.b_u_l 
(-1, 2, 13), [3, 2, 1], 3.9.b_u_x 
(2, -1, 14), [2, 3, 2], 3.9.b_v_k 
(-1, 2, 14), [3, 2, 2], 3.9.b_v_w 
(1, 0, 13), [1, 0, 1], 3.9.b_w_n 
(-1, 2, 16), [3, 2, 0], 3.9.b_x_u 
(-1, 2, 17), [3, 2, 1], 3.9.b_y_t 
(1, 0, 16), [1, 0, 0], 3.9.b_z_q 
(2, 0, -17), [2, 0, 3], 3.9.c_ai_abi 
(5, -3, 1), [1, 1, 1], 3.9.c_af_abx 
(4, -2, -5), [0, 2, 3], 3.9.c_ae_ace 
(-2, 4, 7), [2, 0, 3], 3.9.c_i_cg 
(-2, 4, 8), [2, 0, 0], 3.9.c_j_ce 
(2, 0, 7), [2, 0, 3], 3.9.c_q_o 
(-1, 3, 11), [3, 3, 3], 3.9.c_r_br 
(-1, 3, 13), [3, 3, 1], 3.9.c_t_bp 
(2, 0, 13), [2, 0, 1], 3.9.c_w_ba 
(-1, 3, 17), [3, 3, 1], 3.9.c_x_bl 
(1, 1, 17), [1, 1, 1], 3.9.c_bb_bj 
(4, -1, -11), [0, 3, 1], 3.9.d_ag_ack 
(5, -2, -5), [1, 2, 3], 3.9.d_ag_acj 
(4, -1, -10), [0, 3, 2], 3.9.d_af_acg 
(5, -2, -4), [1, 2, 0], 3.9.d_af_ace 
(5, -2, -1), [1, 2, 3], 3.9.d_ac_abp 
(4, -1, -5), [0, 3, 3], 3.9.d_a_abm 
(5, -2, 1), [1, 2, 1], 3.9.d_a_abf 
(-5, 8, 31), [3, 0, 3], 3.9.d_a_al 
(4, -1, -4), [0, 3, 0], 3.9.d_b_abi 
(4, -1, -1), [0, 3, 3], 3.9.d_e_aw 
(5, -2, 5), [1, 2, 1], 3.9.d_e_al 
(4, -1, 1), [0, 3, 1], 3.9.d_g_ao 
(5, -2, 7), [1, 2, 3], 3.9.d_g_ab 
(1, 2, -5), [1, 2, 3], 3.9.d_g_bf 
(5, -2, 11), [1, 2, 3], 3.9.d_k_t 
(1, 2, -1), [1, 2, 3], 3.9.d_k_bj 
(5, -2, 13), [1, 2, 1], 3.9.d_m_bd 
(1, 2, 1), [1, 2, 1], 3.9.d_m_bl 
(-1, 4, 7), [3, 0, 3], 3.9.d_m_cn 
(-1, 4, 10), [3, 0, 2], 3.9.d_p_ck 
(1, 2, 5), [1, 2, 1], 3.9.d_q_bp 
(5, -2, 17), [1, 2, 1], 3.9.d_q_bx 
(-1, 4, 11), [3, 0, 3], 3.9.d_q_cj 
