(-7, -12, 77), [1, 0, 1], 3.23.at_hc_abpz 
(-8, -11, 73), [0, 1, 1], 3.23.at_hc_abpy 
(-6, -13, 84), [2, 3, 0], 3.23.at_hd_abqk 
(-5, -14, 93), [3, 2, 1], 3.23.at_he_abqr 
(-6, -13, 85), [2, 3, 1], 3.23.at_he_abqq 
(-7, -12, 79), [1, 0, 3], 3.23.at_he_abqn 
(-7, -12, 80), [1, 0, 0], 3.23.at_hf_abqu 
(-6, -13, 87), [2, 3, 3], 3.23.at_hg_abrc 
(-9, -9, 41), [3, 3, 1], 3.23.as_fp_abed 
(-9, -9, 43), [3, 3, 3], 3.23.as_fr_abev 
(-9, -9, 45), [3, 3, 1], 3.23.as_ft_abfn 
(-9, -9, 47), [3, 3, 3], 3.23.as_fv_abgf 
(-9, -9, 48), [3, 3, 0], 3.23.as_fw_abgo 
(-9, -9, 49), [3, 3, 1], 3.23.as_fx_abgx 
(-9, -9, 51), [3, 3, 3], 3.23.as_fz_abhp 
(-9, -9, 53), [3, 3, 1], 3.23.as_gb_abih 
(-7, -11, 63), [1, 1, 3], 3.23.as_gh_abkl 
(-8, -10, 61), [0, 2, 1], 3.23.as_gi_abkm 
(-8, -10, 63), [0, 2, 3], 3.23.as_gk_ablc 
(-3, -15, 99), [1, 1, 3], 3.23.as_gl_ablz 
(-7, -11, 68), [1, 1, 0], 3.23.as_gm_ablu 
(-5, -13, 81), [3, 3, 1], 3.23.as_gn_abmp 
(-9, -9, 65), [3, 3, 1], 3.23.as_gn_abml 
(-8, -10, 66), [0, 2, 2], 3.23.as_gn_abma 
(-6, -12, 75), [2, 0, 3], 3.23.as_go_abmo 
(-5, -13, 83), [3, 3, 3], 3.23.as_gp_abmz 
(-7, -11, 71), [1, 1, 3], 3.23.as_gp_abmp 
(-7, -11, 72), [1, 1, 0], 3.23.as_gq_abmw 
(-5, -13, 85), [3, 3, 1], 3.23.as_gr_abnj 
(-7, -11, 73), [1, 1, 1], 3.23.as_gr_abnd 
(-6, -12, 79), [2, 0, 3], 3.23.as_gs_abnm 
(-5, -13, 87), [3, 3, 3], 3.23.as_gt_abnt 
(-7, -11, 75), [1, 1, 3], 3.23.as_gt_abnr 
(-9, -8, 31), [3, 0, 3], 3.23.ar_ew_ayx 
(-9, -8, 33), [3, 0, 1], 3.23.ar_ey_azp 
(-9, -8, 34), [3, 0, 2], 3.23.ar_ez_azy 
