(-5, -4, 13), [3, 0, 1], 3.11.aj_bs_afx 
(-5, -4, 14), [3, 0, 2], 3.11.aj_bt_agc 
(1, -10, 45), [1, 2, 1], 3.11.aj_bu_agt 
(-5, -4, 15), [3, 0, 3], 3.11.aj_bu_agh 
(-5, -4, 16), [3, 0, 0], 3.11.aj_bv_agm 
(-3, -6, 19), [1, 2, 3], 3.11.aj_bw_ahh 
(-5, -4, 18), [3, 0, 2], 3.11.aj_bx_agw 
(-3, -6, 21), [1, 2, 1], 3.11.aj_by_ahn 
(-5, -4, 19), [3, 0, 3], 3.11.aj_by_ahb 
(-1, -8, 32), [3, 0, 0], 3.11.aj_bz_aia 
(-5, -4, 20), [3, 0, 0], 3.11.aj_bz_ahg 
(-3, -6, 23), [1, 2, 3], 3.11.aj_ca_aht 
(-5, -4, 21), [3, 0, 1], 3.11.aj_ca_ahl 
(-2, -7, 29), [2, 1, 1], 3.11.aj_cc_aie 
(-1, -8, 35), [3, 0, 3], 3.11.aj_cc_aid 
(-3, -6, 25), [1, 2, 1], 3.11.aj_cc_ahz 
(-5, -4, 23), [3, 0, 3], 3.11.aj_cc_ahv 
(-4, -5, 23), [0, 3, 3], 3.11.aj_cc_ahu 
(-2, -7, 30), [2, 1, 2], 3.11.aj_cd_aig 
(-1, -8, 36), [3, 0, 0], 3.11.aj_cd_aie 
(-4, -5, 24), [0, 3, 0], 3.11.aj_cd_ahy 
(-2, -7, 31), [2, 1, 3], 3.11.aj_ce_aii 
(-4, -5, 25), [0, 3, 1], 3.11.aj_ce_aic 
(-3, -6, 28), [1, 2, 0], 3.11.aj_cf_aii 
(-3, -6, 29), [1, 2, 1], 3.11.aj_cg_ail 
(-4, -5, 27), [0, 3, 3], 3.11.aj_cg_aik 
(-6, -2, -3), [2, 2, 1], 3.11.ai_u_aba 
(-6, -2, -1), [2, 2, 3], 3.11.ai_w_abm 
(-5, -3, 9), [3, 1, 1], 3.11.ai_bj_aeh 
(-5, -3, 13), [3, 1, 1], 3.11.ai_bn_afb 
(-5, -3, 15), [3, 1, 3], 3.11.ai_bp_afl 
(-1, -7, 25), [3, 1, 1], 3.11.ai_br_agx 
(-1, -7, 27), [3, 1, 3], 3.11.ai_bt_agz 
(-1, -7, 29), [3, 1, 1], 3.11.ai_bv_ahb 
(-5, -3, 21), [3, 1, 1], 3.11.ai_bv_agp 
(-4, -4, 20), [0, 0, 0], 3.11.ai_bv_agm 
(-2, -6, 25), [2, 2, 1], 3.11.ai_bw_aha 
(-4, -4, 21), [0, 0, 1], 3.11.ai_bw_agq 
(-1, -7, 31), [3, 1, 3], 3.11.ai_bx_ahd 
(-5, -3, 23), [3, 1, 3], 3.11.ai_bx_agz 
(-3, -5, 23), [1, 3, 3], 3.11.ai_bx_agx 
(-4, -4, 23), [0, 0, 3], 3.11.ai_by_agy 
(-3, -5, 25), [1, 3, 1], 3.11.ai_bz_ahd 
(-2, -6, 29), [2, 2, 1], 3.11.ai_ca_ahi 
(-3, -5, 27), [1, 3, 3], 3.11.ai_cb_ahj 
(-6, -1, -15), [2, 3, 1], 3.11.ah_c_cq 
(-6, -1, -13), [2, 3, 3], 3.11.ah_e_ce 
(-6, -1, -12), [2, 3, 0], 3.11.ah_f_by 
(-6, -1, -10), [2, 3, 2], 3.11.ah_h_bm 
(-6, -1, -9), [2, 3, 3], 3.11.ah_i_bg 
(-6, -1, -7), [2, 3, 1], 3.11.ah_k_u 
(-6, -1, -6), [2, 3, 2], 3.11.ah_l_o 
(-6, -1, -5), [2, 3, 3], 3.11.ah_m_i 
(-5, -2, -7), [3, 2, 1], 3.11.ah_o_aj 
(-5, -2, -5), [3, 2, 3], 3.11.ah_q_at 
(-5, -2, -3), [3, 2, 1], 3.11.ah_s_abd 
(-5, -2, -1), [3, 2, 3], 3.11.ah_u_abn 
(-5, -2, 1), [3, 2, 1], 3.11.ah_w_abx 
(-5, -2, 3), [3, 2, 3], 3.11.ah_y_ach 
(-5, -2, 4), [3, 2, 0], 3.11.ah_z_acm 
(3, -10, 45), [3, 2, 1], 3.11.ah_ba_adh 
(-5, -2, 5), [3, 2, 1], 3.11.ah_ba_acr 
(-5, -2, 6), [3, 2, 2], 3.11.ah_bb_acw 
(-3, -4, 5), [1, 0, 1], 3.11.ah_bc_adz 
(-5, -2, 8), [3, 2, 0], 3.11.ah_bd_adg 
(-3, -4, 7), [1, 0, 3], 3.11.ah_be_aef 
(-5, -2, 9), [3, 2, 1], 3.11.ah_be_adl 
(-5, -2, 10), [3, 2, 2], 3.11.ah_bf_adq 
(-3, -4, 9), [1, 0, 1], 3.11.ah_bg_ael 
(-5, -2, 13), [3, 2, 1], 3.11.ah_bi_aef 
(-1, -6, 19), [3, 2, 3], 3.11.ah_bk_afv 
(-3, -4, 13), [1, 0, 1], 3.11.ah_bk_aex 
(-5, -2, 15), [3, 2, 3], 3.11.ah_bk_aep 
(-1, -6, 21), [3, 2, 1], 3.11.ah_bm_afx 
(1, -8, 35), [1, 0, 3], 3.11.ah_bm_afl 
(-3, -4, 15), [1, 0, 3], 3.11.ah_bm_afd 
(-5, -2, 17), [3, 2, 1], 3.11.ah_bm_aez 
(-4, -3, 15), [0, 1, 3], 3.11.ah_bm_aew 
(-4, -3, 16), [0, 1, 0], 3.11.ah_bn_afa 
(-1, -6, 23), [3, 2, 3], 3.11.ah_bo_afz 
(-4, -3, 17), [0, 1, 1], 3.11.ah_bo_afe 
(-1, -6, 24), [3, 2, 0], 3.11.ah_bp_aga 
(-1, -6, 25), [3, 2, 1], 3.11.ah_bq_agb 
(-5, -2, 21), [3, 2, 1], 3.11.ah_bq_aft 
(-3, -4, 19), [1, 0, 3], 3.11.ah_bq_afp 
(-4, -3, 19), [0, 1, 3], 3.11.ah_bq_afm 
(-1, -6, 26), [3, 2, 2], 3.11.ah_br_agc 
(-4, -3, 20), [0, 1, 0], 3.11.ah_br_afq 
(-3, -4, 21), [1, 0, 1], 3.11.ah_bs_afv 
(-4, -3, 21), [0, 1, 1], 3.11.ah_bs_afu 
(-1, -6, 28), [3, 2, 0], 3.11.ah_bt_age 
(-1, -6, 29), [3, 2, 1], 3.11.ah_bu_agf 
(-2, -5, 25), [2, 3, 1], 3.11.ah_bu_age 
(-3, -4, 23), [1, 0, 3], 3.11.ah_bu_agb 
(-3, -4, 24), [1, 0, 0], 3.11.ah_bv_age 
(-2, -5, 27), [2, 3, 3], 3.11.ah_bw_agi 
(-6, 0, -21), [2, 0, 3], 3.11.ag_ak_ew 
(-6, 0, -20), [2, 0, 0], 3.11.ag_aj_eq 
(-6, 0, -19), [2, 0, 1], 3.11.ag_ai_ek 
