(-9, -13, 81), [16, 12, 6] 
(-8, -14, 92), [17, 11, 17] 
(-9, -13, 88), [16, 12, 13] 
(-8, -14, 94), [17, 11, 19] 
(-7, -15, 102), [18, 10, 2] 
(-8, -14, 96), [17, 11, 21] 
(-8, -13, 84), [17, 12, 9] 
(-4, -17, 121), [21, 8, 21] 
(-9, -11, 62), [16, 14, 12] 
(-9, -11, 64), [16, 14, 14] 
(-9, -11, 66), [16, 14, 16] 
(-8, -12, 72), [17, 13, 22] 
(-8, -12, 73), [17, 13, 23] 
(-8, -12, 74), [17, 13, 24] 
(-9, -11, 72), [16, 14, 22] 
(-7, -13, 81), [18, 12, 6] 
(-3, -17, 121), [22, 8, 21] 
(-8, -12, 76), [17, 13, 1] 
(-7, -13, 82), [18, 12, 7] 
(-8, -12, 78), [17, 13, 3] 
(-4, -16, 111), [21, 9, 11] 
(-7, -13, 84), [18, 12, 9] 
(-9, -11, 76), [16, 14, 1] 
(-6, -14, 92), [19, 11, 17] 
(-4, -16, 112), [21, 9, 12] 
(-6, -14, 93), [19, 11, 18] 
(-6, -14, 94), [19, 11, 19] 
(-9, -11, 79), [16, 14, 4] 
(-7, -13, 87), [18, 12, 12] 
(-7, -13, 88), [18, 12, 13] 
(-6, -14, 96), [19, 11, 21] 
(-8, -12, 84), [17, 13, 9] 
(-9, -10, 54), [16, 15, 4] 
(-8, -11, 61), [17, 14, 11] 
(-8, -11, 62), [17, 14, 12] 
(-8, -11, 63), [17, 14, 13] 
(-8, -11, 64), [17, 14, 14] 
(-8, -11, 66), [17, 14, 16] 
(-2, -17, 121), [23, 8, 21] 
(-8, -11, 67), [17, 14, 17] 
(-8, -11, 69), [17, 14, 19] 
(-7, -12, 74), [18, 13, 24] 
(-6, -13, 81), [19, 12, 6] 
(-6, -13, 82), [19, 12, 7] 
(-7, -12, 76), [18, 13, 1] 
(-6, -13, 83), [19, 12, 8] 
(-4, -15, 102), [21, 10, 2] 
(-6, -13, 84), [19, 12, 9] 
(-7, -12, 78), [18, 13, 3] 
(-4, -15, 103), [21, 10, 3] 
(-6, -13, 87), [19, 12, 12] 
(-8, -11, 79), [17, 14, 4] 
(-9, -9, 42), [16, 16, 17] 
(-9, -9, 44), [16, 16, 19] 
(-9, -9, 46), [16, 16, 21] 
(-9, -9, 48), [16, 16, 23] 
(-8, -10, 51), [17, 15, 1] 
