(-1, 0, -8), [3, 0, 0], 3.5.ab_ad_i 
(-1, 0, -7), [3, 0, 1], 3.5.ab_ac_h 
(-3, 2, -1), [1, 2, 3], 3.5.ab_ac_x 
(-3, 2, 1), [1, 2, 1], 3.5.ab_a_r 
(3, -4, 8), [3, 0, 0], 3.5.ab_b_aq 
(1, -2, -1), [1, 2, 3], 3.5.ab_c_av 
(3, -4, 9), [3, 0, 1], 3.5.ab_c_an 
(-1, 0, -3), [3, 0, 1], 3.5.ab_c_d 
(-3, 2, 3), [1, 2, 3], 3.5.ab_c_l 
(1, -2, 1), [1, 2, 1], 3.5.ab_e_at 
(3, -4, 11), [3, 0, 3], 3.5.ab_e_ah 
(-1, 0, -1), [3, 0, 3], 3.5.ab_e_b 
(-2, 1, 1), [2, 1, 1], 3.5.ab_e_i 
(-2, 1, 2), [2, 1, 2], 3.5.ab_f_g 
(1, -2, 3), [1, 2, 3], 3.5.ab_g_ar 
(-2, 1, 3), [2, 1, 3], 3.5.ab_g_e 
(1, -2, 4), [1, 2, 0], 3.5.ab_h_aq 
(2, -3, 9), [2, 1, 1], 3.5.ab_i_am 
(-3, 2, 9), [1, 2, 1], 3.5.ab_i_ah 
(-1, 0, 3), [3, 0, 3], 3.5.ab_i_ad 
(1, -2, 6), [1, 2, 2], 3.5.ab_j_ao 
(-2, 1, 6), [2, 1, 2], 3.5.ab_j_ac 
(-2, 1, 7), [2, 1, 3], 3.5.ab_k_ae 
(1, -2, 8), [1, 2, 0], 3.5.ab_l_am 
(1, -2, 9), [1, 2, 1], 3.5.ab_m_al 
(-2, 1, 9), [2, 1, 1], 3.5.ab_m_ai 
(-1, 0, 7), [3, 0, 3], 3.5.ab_m_ah 
(-1, 0, 8), [3, 0, 0], 3.5.ab_n_ai 
(1, -1, -3), [1, 3, 1], 3.5.a_b_an 
(-1, 1, -3), [3, 1, 1], 3.5.a_b_n 
(2, -2, 1), [2, 2, 1], 3.5.a_c_as 
(-2, 2, 1), [2, 2, 1], 3.5.a_c_s 
(1, -1, -1), [1, 3, 3], 3.5.a_d_al 
(-1, 1, -1), [3, 1, 3], 3.5.a_d_l 
(2, -2, 3), [2, 2, 3], 3.5.a_e_ao 
(-2, 2, 3), [2, 2, 3], 3.5.a_e_o 
(1, -1, 1), [1, 3, 1], 3.5.a_f_aj 
(3, -3, 9), [3, 1, 1], 3.5.a_f_ad 
(-3, 3, 9), [1, 3, 1], 3.5.a_f_d 
(-1, 1, 1), [3, 1, 1], 3.5.a_f_j 
(1, -1, 6), [1, 3, 2], 3.5.a_k_ae 
(2, -2, 9), [2, 2, 1], 3.5.a_k_ac 
(-2, 2, 9), [2, 2, 1], 3.5.a_k_c 
(-1, 1, 6), [3, 1, 2], 3.5.a_k_e 
(1, -1, 7), [1, 3, 3], 3.5.a_l_ad 
(-1, 1, 7), [3, 1, 3], 3.5.a_l_d 
(1, -1, 9), [1, 3, 1], 3.5.a_n_ab 
(-1, 1, 9), [3, 1, 1], 3.5.a_n_b 
(1, 0, -9), [1, 0, 3], 3.5.b_ae_aj 
(1, 0, -8), [1, 0, 0], 3.5.b_ad_ai 
(3, -2, -1), [3, 2, 3], 3.5.b_ac_ax 
(1, 0, -7), [1, 0, 1], 3.5.b_ac_ah 
(3, -2, 1), [3, 2, 1], 3.5.b_a_ar 
(-3, 4, 8), [1, 0, 0], 3.5.b_b_q 
(3, -2, 3), [3, 2, 3], 3.5.b_c_al 
(1, 0, -3), [1, 0, 1], 3.5.b_c_ad 
(-3, 4, 9), [1, 0, 1], 3.5.b_c_n 
(-1, 2, -1), [3, 2, 3], 3.5.b_c_v 
(2, -1, 1), [2, 3, 1], 3.5.b_e_ai 
(1, 0, -1), [1, 0, 3], 3.5.b_e_ab 
(-3, 4, 11), [1, 0, 3], 3.5.b_e_h 
(-1, 2, 1), [3, 2, 1], 3.5.b_e_t 
(2, -1, 2), [2, 3, 2], 3.5.b_f_ag 
(2, -1, 3), [2, 3, 3], 3.5.b_g_ae 
(-1, 2, 3), [3, 2, 3], 3.5.b_g_r 
(-1, 2, 4), [3, 2, 0], 3.5.b_h_q 
(1, 0, 3), [1, 0, 3], 3.5.b_i_d 
(3, -2, 9), [3, 2, 1], 3.5.b_i_h 
(-2, 3, 9), [2, 3, 1], 3.5.b_i_m 
(2, -1, 6), [2, 3, 2], 3.5.b_j_c 
(-1, 2, 6), [3, 2, 2], 3.5.b_j_o 
(2, -1, 7), [2, 3, 3], 3.5.b_k_e 
(-1, 2, 8), [3, 2, 0], 3.5.b_l_m 
(1, 0, 7), [1, 0, 3], 3.5.b_m_h 
(2, -1, 9), [2, 3, 1], 3.5.b_m_i 
(-1, 2, 9), [3, 2, 1], 3.5.b_m_l 
(1, 0, 8), [1, 0, 0], 3.5.b_n_i 
(4, -2, -1), [0, 2, 3], 3.5.c_ae_ay 
