(-5, 3, -7), [3, 3, 1], 3.16.ac_ag_fb 
(3, -5, 9), [3, 3, 1], 3.16.ac_k_afd 
(3, -5, 11), [3, 3, 3], 3.16.ac_m_aex 
(3, -5, 13), [3, 3, 1], 3.16.ac_o_aer 
(-3, 1, 19), [1, 1, 3], 3.16.ac_bg_az 
(-3, 1, 21), [1, 1, 1], 3.16.ac_bi_abf 
(-3, 1, 25), [1, 1, 1], 3.16.ac_bm_abr 
(1, -3, 27), [1, 1, 3], 3.16.ac_bo_acr 
(1, -3, 29), [1, 1, 1], 3.16.ac_bq_acp 
(1, -3, 33), [1, 1, 1], 3.16.ac_bu_acl 
(-1, -1, 29), [3, 3, 1], 3.16.ac_bu_acj 
(-1, -1, 31), [3, 3, 3], 3.16.ac_bw_acl 
(-1, 0, -31), [3, 0, 1], 3.16.ab_ap_bf 
(3, -3, 13), [3, 1, 1], 3.16.a_u_acf 
(-3, 3, 13), [1, 3, 1], 3.16.a_u_cf 
(3, -3, 15), [3, 1, 3], 3.16.a_w_abz 
(-3, 3, 15), [1, 3, 3], 3.16.a_w_bz 
(1, -1, 29), [1, 3, 1], 3.16.a_bs_ad 
(-1, 1, 29), [3, 1, 1], 3.16.a_bs_d 
(1, -1, 31), [1, 3, 3], 3.16.a_bu_ab 
(-1, 1, 31), [3, 1, 3], 3.16.a_bu_b 
(1, 0, -31), [1, 0, 1], 3.16.b_ap_abf 
(5, -3, -7), [1, 1, 1], 3.16.c_ag_afb 
(-3, 5, 9), [1, 1, 1], 3.16.c_k_fd 
(-3, 5, 11), [1, 1, 3], 3.16.c_m_ex 
(-3, 5, 13), [1, 1, 1], 3.16.c_o_er 
(3, -1, 19), [3, 3, 3], 3.16.c_bg_z 
(3, -1, 21), [3, 3, 1], 3.16.c_bi_bf 
(3, -1, 25), [3, 3, 1], 3.16.c_bm_br 
(-1, 3, 27), [3, 3, 3], 3.16.c_bo_cr 
(-1, 3, 29), [3, 3, 1], 3.16.c_bq_cp 
(1, 1, 29), [1, 1, 1], 3.16.c_bu_cj 
(-1, 3, 33), [3, 3, 1], 3.16.c_bu_cl 
(1, 1, 31), [1, 1, 3], 3.16.c_bw_cl 
(3, 0, -31), [3, 0, 1], 3.16.d_ap_adp 
(5, -2, -5), [1, 2, 3], 3.16.d_b_adl 
(5, -2, -1), [1, 2, 3], 3.16.d_f_acr 
(3, 0, 25), [3, 0, 1], 3.16.d_bp_cx 
(7, -3, -7), [3, 1, 1], 3.16.e_am_afp 
(5, -1, 1), [1, 3, 1], 3.16.e_m_abb 
(5, -1, 3), [1, 3, 3], 3.16.e_o_ar 
(-1, 5, 25), [3, 1, 1], 3.16.e_bk_ff 
(-1, 5, 27), [3, 1, 3], 3.16.e_bm_fd 
(3, 1, 25), [3, 1, 1], 3.16.e_bs_ed 
(3, 1, 27), [3, 1, 3], 3.16.e_bu_ej 
(1, 3, 33), [1, 3, 1], 3.16.e_ca_ez 
(5, 0, -31), [1, 0, 1], 3.16.f_ap_afz 
(1, 4, 33), [1, 0, 1], 3.16.f_cb_gf 
(7, -1, -23), [3, 3, 1], 3.16.g_ao_ahl 
(5, 1, 11), [1, 1, 3], 3.16.g_bg_dj 
(5, 1, 13), [1, 1, 1], 3.16.g_bi_dt 
(-1, 7, 25), [3, 3, 1], 3.16.g_bi_hr 
(5, 1, 15), [1, 1, 3], 3.16.g_bk_ed 
(-1, 7, 35), [3, 3, 3], 3.16.g_bs_hh 
(3, 3, 29), [3, 3, 1], 3.16.g_cc_hb 
(1, 5, 33), [1, 1, 1], 3.16.g_cc_hl 
(3, 3, 31), [3, 3, 3], 3.16.g_ce_hh 
(1, 5, 35), [1, 1, 3], 3.16.g_ce_hn 
