(-3, -11, 63), [16, 8, 6] 
(-3, -11, 64), [16, 8, 7] 
(-6, -8, 49), [13, 11, 11] 
(-3, -11, 65), [16, 8, 8] 
(-6, -8, 51), [13, 11, 13] 
(-3, -11, 67), [16, 8, 10] 
(-5, -9, 55), [14, 10, 17] 
(-4, -10, 61), [15, 9, 4] 
(-8, -5, 11), [11, 14, 11] 
(-8, -5, 12), [11, 14, 12] 
(-8, -5, 13), [11, 14, 13] 
(-8, -5, 15), [11, 14, 15] 
(-8, -5, 16), [11, 14, 16] 
(-7, -6, 15), [12, 13, 15] 
(-8, -5, 17), [11, 14, 17] 
(-7, -6, 17), [12, 13, 17] 
(-7, -6, 21), [12, 13, 2] 
(-8, -5, 23), [11, 14, 4] 
(-7, -6, 23), [12, 13, 4] 
(-7, -6, 25), [12, 13, 6] 
(-7, -6, 27), [12, 13, 8] 
(-7, -6, 28), [12, 13, 9] 
(1, -14, 85), [1, 5, 9] 
(-7, -6, 29), [12, 13, 10] 
(-7, -6, 30), [12, 13, 11] 
(-5, -8, 33), [14, 11, 14] 
(-7, -6, 32), [12, 13, 13] 
(-5, -8, 35), [14, 11, 16] 
(-7, -6, 33), [12, 13, 14] 
(-7, -6, 34), [12, 13, 15] 
(-4, -9, 41), [15, 10, 3] 
(-5, -8, 37), [14, 11, 18] 
(-7, -6, 35), [12, 13, 16] 
(-1, -12, 67), [18, 7, 10] 
(-5, -8, 39), [14, 11, 1] 
(-7, -6, 37), [12, 13, 18] 
(-2, -11, 58), [17, 8, 1] 
(-3, -10, 50), [16, 9, 12] 
(-2, -11, 59), [17, 8, 2] 
(-3, -10, 51), [16, 9, 13] 
(-1, -12, 69), [18, 7, 12] 
(-5, -8, 41), [14, 11, 3] 
(-7, -6, 39), [12, 13, 1] 
(-2, -11, 60), [17, 8, 3] 
(-6, -7, 40), [13, 12, 2] 
(-3, -10, 53), [16, 9, 15] 
(-1, -12, 71), [18, 7, 14] 
(-5, -8, 43), [14, 11, 5] 
(-7, -6, 41), [12, 13, 3] 
(-6, -7, 41), [13, 12, 3] 
(-6, -7, 42), [13, 12, 4] 
(-3, -10, 55), [16, 9, 17] 
(-6, -7, 43), [13, 12, 5] 
(-3, -10, 56), [16, 9, 18] 
(-7, -6, 45), [12, 13, 7] 
(-5, -8, 47), [14, 11, 9] 
(-6, -7, 45), [13, 12, 7] 
(-3, -10, 58), [16, 9, 1] 
