(-8, -10, 68), [0, 2, 0], 3.25.as_gr_aboe 
(-7, -11, 72), [1, 1, 0], 3.25.as_gs_aboo 
(-8, -10, 69), [0, 2, 1], 3.25.as_gs_abom 
(-4, -14, 94), [0, 2, 2], 3.25.as_gt_abpk 
(-9, -9, 69), [3, 3, 1], 3.25.as_gt_abpf 
(-6, -12, 78), [2, 0, 2], 3.25.as_gt_abpc 
(-6, -12, 79), [2, 0, 3], 3.25.as_gu_abpi 
(-4, -14, 96), [0, 2, 0], 3.25.as_gv_abps 
(-8, -10, 72), [0, 2, 0], 3.25.as_gv_abpk 
(-4, -14, 97), [0, 2, 1], 3.25.as_gw_abpw 
(-6, -12, 81), [2, 0, 1], 3.25.as_gw_abpu 
(-7, -11, 76), [1, 1, 0], 3.25.as_gw_abpq 
(-6, -12, 83), [2, 0, 3], 3.25.as_gy_abqg 
(-6, -12, 84), [2, 0, 0], 3.25.as_gz_abqm 
(-9, -8, 32), [3, 0, 0], 3.25.ar_ez_abam 
(-9, -8, 34), [3, 0, 2], 3.25.ar_fb_abbe 
(-8, -9, 41), [0, 3, 1], 3.25.ar_fi_abdy 
(-8, -9, 42), [0, 3, 2], 3.25.ar_fj_abeg 
(-8, -9, 43), [0, 3, 3], 3.25.ar_fk_abeo 
(-8, -9, 44), [0, 3, 0], 3.25.ar_fl_abew 
(-8, -9, 46), [0, 3, 2], 3.25.ar_fn_abfm 
(-9, -8, 46), [3, 0, 2], 3.25.ar_fn_abfi 
(-8, -9, 47), [0, 3, 3], 3.25.ar_fo_abfu 
(-8, -9, 48), [0, 3, 0], 3.25.ar_fp_abgc 
(-9, -8, 48), [3, 0, 0], 3.25.ar_fp_abga 
(-8, -9, 49), [0, 3, 1], 3.25.ar_fq_abgk 
(-7, -10, 52), [1, 2, 0], 3.25.ar_fr_abhg 
(-8, -9, 51), [0, 3, 3], 3.25.ar_fs_abha 
(-7, -10, 54), [1, 2, 2], 3.25.ar_ft_abhu 
(-9, -8, 52), [3, 0, 0], 3.25.ar_ft_abhk 
(-8, -9, 52), [0, 3, 0], 3.25.ar_ft_abhi 
(-8, -9, 53), [0, 3, 1], 3.25.ar_fu_abhq 
(-7, -10, 56), [1, 2, 0], 3.25.ar_fv_abii 
(-9, -8, 54), [3, 0, 2], 3.25.ar_fv_abic 
(-6, -11, 61), [2, 1, 1], 3.25.ar_fw_abjg 
(-6, -11, 62), [2, 1, 2], 3.25.ar_fx_abjm 
(-1, -16, 112), [3, 0, 0], 3.25.ar_fx_abjc 
(-7, -10, 58), [1, 2, 2], 3.25.ar_fx_abiw 
(-9, -8, 56), [3, 0, 0], 3.25.ar_fx_abiu 
(-6, -11, 63), [2, 1, 3], 3.25.ar_fy_abjs 
(-6, -11, 64), [2, 1, 0], 3.25.ar_fz_abjy 
(-9, -8, 58), [3, 0, 2], 3.25.ar_fz_abjm 
(-2, -15, 101), [2, 1, 1], 3.25.ar_ga_abkq 
(-2, -15, 102), [2, 1, 2], 3.25.ar_gb_abks 
(-6, -11, 66), [2, 1, 2], 3.25.ar_gb_abkk 
(-7, -10, 62), [1, 2, 2], 3.25.ar_gb_abjy 
(-2, -15, 103), [2, 1, 3], 3.25.ar_gc_abku 
(-6, -11, 67), [2, 1, 3], 3.25.ar_gc_abkq 
(-7, -10, 64), [1, 2, 0], 3.25.ar_gd_abkm 
(-6, -11, 69), [2, 1, 1], 3.25.ar_ge_ablc 
(-8, -9, 63), [0, 3, 3], 3.25.ar_ge_abks 
(-3, -14, 94), [1, 2, 2], 3.25.ar_gf_ablu 
(-9, -8, 64), [3, 0, 0], 3.25.ar_gf_ablo 
(-6, -11, 71), [2, 1, 3], 3.25.ar_gg_ablo 
(-3, -14, 96), [1, 2, 0], 3.25.ar_gh_abma 
(-6, -11, 72), [2, 1, 0], 3.25.ar_gh_ablu 
(-8, -9, 66), [0, 3, 2], 3.25.ar_gh_ablq 
(-6, -11, 73), [2, 1, 1], 3.25.ar_gi_abma 
(-8, -9, 67), [0, 3, 3], 3.25.ar_gi_ably 
(-8, -9, 69), [0, 3, 1], 3.25.ar_gk_abmo 
(-4, -13, 91), [0, 3, 3], 3.25.ar_gm_abna 
(-9, -7, 23), [3, 1, 3], 3.25.aq_eh_avl 
(-9, -7, 24), [3, 1, 0], 3.25.aq_ei_avu 
(-9, -7, 28), [3, 1, 0], 3.25.aq_em_axe 
(-8, -8, 32), [0, 0, 0], 3.25.aq_er_azg 
(-8, -8, 33), [0, 0, 1], 3.25.aq_es_azo 
(-8, -8, 34), [0, 0, 2], 3.25.aq_et_azw 
(-9, -7, 36), [3, 1, 0], 3.25.aq_eu_azy 
(-8, -8, 36), [0, 0, 0], 3.25.aq_ev_abam 
(-9, -7, 37), [3, 1, 1], 3.25.aq_ev_abah 
(-8, -8, 37), [0, 0, 1], 3.25.aq_ew_abau 
(-9, -7, 38), [3, 1, 2], 3.25.aq_ew_abaq 
(-8, -8, 38), [0, 0, 2], 3.25.aq_ex_abbc 
(-9, -7, 39), [3, 1, 3], 3.25.aq_ex_abaz 
(-8, -8, 39), [0, 0, 3], 3.25.aq_ey_abbk 
(-7, -9, 41), [1, 3, 1], 3.25.aq_ez_abcj 
(1, -17, 121), [1, 3, 1], 3.25.aq_ez_abcb 
(-9, -7, 41), [3, 1, 1], 3.25.aq_ez_abbr 
(-7, -9, 42), [1, 3, 2], 3.25.aq_fa_abcq 
(-7, -9, 43), [1, 3, 3], 3.25.aq_fb_abcx 
(-9, -7, 43), [3, 1, 3], 3.25.aq_fb_abcj 
(-8, -8, 42), [0, 0, 2], 3.25.aq_fb_abci 
(-7, -9, 44), [1, 3, 0], 3.25.aq_fc_abde 
(-9, -7, 44), [3, 1, 0], 3.25.aq_fc_abcs 
(-8, -8, 43), [0, 0, 3], 3.25.aq_fc_abcq 
(-8, -8, 44), [0, 0, 0], 3.25.aq_fd_abcy 
(-7, -9, 46), [1, 3, 2], 3.25.aq_fe_abds 
(-9, -7, 46), [3, 1, 2], 3.25.aq_fe_abdk 
(-7, -9, 47), [1, 3, 3], 3.25.aq_ff_abdz 
(-9, -7, 47), [3, 1, 3], 3.25.aq_ff_abdt 
(-8, -8, 46), [0, 0, 2], 3.25.aq_ff_abdo 
(-6, -10, 51), [2, 2, 3], 3.25.aq_fg_abfa 
(-7, -9, 48), [1, 3, 0], 3.25.aq_fg_abeg 
(-9, -7, 48), [3, 1, 0], 3.25.aq_fg_abec 
(-8, -8, 47), [0, 0, 3], 3.25.aq_fg_abdw 
(-6, -10, 52), [2, 2, 0], 3.25.aq_fh_abfg 
(-7, -9, 49), [1, 3, 1], 3.25.aq_fh_aben 
(-9, -7, 49), [3, 1, 1], 3.25.aq_fh_abel 
(-8, -8, 48), [0, 0, 0], 3.25.aq_fh_abee 
(-6, -10, 53), [2, 2, 1], 3.25.aq_fi_abfm 
(-6, -10, 54), [2, 2, 2], 3.25.aq_fj_abfs 
(-9, -7, 51), [3, 1, 3], 3.25.aq_fj_abfd 
(-7, -9, 51), [1, 3, 3], 3.25.aq_fj_abfb 
(-9, -7, 52), [3, 1, 0], 3.25.aq_fk_abfm 
(-7, -9, 52), [1, 3, 0], 3.25.aq_fk_abfi 
(-1, -15, 101), [3, 1, 1], 3.25.aq_fl_abgt 
(-6, -10, 56), [2, 2, 0], 3.25.aq_fl_abge 
(-9, -7, 53), [3, 1, 1], 3.25.aq_fl_abfv 
(-7, -9, 53), [1, 3, 1], 3.25.aq_fl_abfp 
(-8, -8, 52), [0, 0, 0], 3.25.aq_fl_abfk 
(-1, -15, 102), [3, 1, 2], 3.25.aq_fm_abgu 
(-6, -10, 57), [2, 2, 1], 3.25.aq_fm_abgk 
(-9, -7, 54), [3, 1, 2], 3.25.aq_fm_abge 
(-7, -9, 54), [1, 3, 2], 3.25.aq_fm_abfw 
(-8, -8, 53), [0, 0, 1], 3.25.aq_fm_abfs 
(-1, -15, 103), [3, 1, 3], 3.25.aq_fn_abgv 
(-6, -10, 58), [2, 2, 2], 3.25.aq_fn_abgq 
(-8, -8, 54), [0, 0, 2], 3.25.aq_fn_abga 
(-4, -12, 71), [0, 0, 3], 3.25.aq_fo_abia 
(-2, -14, 91), [2, 2, 3], 3.25.aq_fo_abhy 
(-7, -9, 56), [1, 3, 0], 3.25.aq_fo_abgk 
(-4, -12, 72), [0, 0, 0], 3.25.aq_fp_abie 
(-2, -14, 92), [2, 2, 0], 3.25.aq_fp_abia 
(-9, -7, 57), [3, 1, 1], 3.25.aq_fp_abhf 
(-7, -9, 57), [1, 3, 1], 3.25.aq_fp_abgr 
(-8, -8, 56), [0, 0, 0], 3.25.aq_fp_abgq 
(-4, -12, 73), [0, 0, 1], 3.25.aq_fq_abii 
(-2, -14, 93), [2, 2, 1], 3.25.aq_fq_abic 
(-9, -7, 58), [3, 1, 2], 3.25.aq_fq_abho 
(-6, -10, 61), [2, 2, 1], 3.25.aq_fq_abhi 
(-4, -12, 74), [0, 0, 2], 3.25.aq_fr_abim 
(-2, -14, 94), [2, 2, 2], 3.25.aq_fr_abie 
(-9, -7, 59), [3, 1, 3], 3.25.aq_fr_abhx 
(-6, -10, 62), [2, 2, 2], 3.25.aq_fr_abho 
(-8, -8, 58), [0, 0, 2], 3.25.aq_fr_abhg 
(-7, -9, 59), [1, 3, 3], 3.25.aq_fr_abhf 
(-3, -13, 84), [1, 3, 0], 3.25.aq_fs_abis 
(-6, -10, 63), [2, 2, 3], 3.25.aq_fs_abhu 
(-8, -8, 59), [0, 0, 3], 3.25.aq_fs_abho 
(-4, -12, 76), [0, 0, 0], 3.25.aq_ft_abiu 
(-9, -7, 61), [3, 1, 1], 3.25.aq_ft_abip 
(-2, -14, 96), [2, 2, 0], 3.25.aq_ft_abii 
(-6, -10, 64), [2, 2, 0], 3.25.aq_ft_abia 
(-2, -14, 97), [2, 2, 1], 3.25.aq_fu_abik 
(-8, -8, 61), [0, 0, 1], 3.25.aq_fu_abie 
(-7, -9, 62), [1, 3, 2], 3.25.aq_fu_abia 
(-4, -12, 78), [0, 0, 2], 3.25.aq_fv_abjc 
(-3, -13, 87), [1, 3, 3], 3.25.aq_fv_abjb 
(-3, -13, 88), [1, 3, 0], 3.25.aq_fw_abje 
(-8, -8, 63), [0, 0, 3], 3.25.aq_fw_abiu 
(-6, -10, 67), [2, 2, 3], 3.25.aq_fw_abis 
(-3, -13, 89), [1, 3, 1], 3.25.aq_fx_abjh 
(-8, -8, 64), [0, 0, 0], 3.25.aq_fx_abjc 
(-6, -10, 68), [2, 2, 0], 3.25.aq_fx_abiy 
(-6, -10, 69), [2, 2, 1], 3.25.aq_fy_abje 
(-7, -9, 66), [1, 3, 2], 3.25.aq_fy_abjc 
(-4, -12, 84), [0, 0, 0], 3.25.aq_gb_abka 
(-7, -9, 69), [1, 3, 1], 3.25.aq_gb_abjx 
(-9, -6, 12), [3, 2, 0], 3.25.ap_dn_aps 
(-9, -6, 14), [3, 2, 2], 3.25.ap_dp_aqk 
(-9, -6, 18), [3, 2, 2], 3.25.ap_dt_aru 
(-8, -7, 21), [0, 1, 1], 3.25.ap_dy_aty 
(-8, -7, 22), [0, 1, 2], 3.25.ap_dz_aug 
(-8, -7, 23), [0, 1, 3], 3.25.ap_ea_auo 
(-8, -7, 24), [0, 1, 0], 3.25.ap_eb_auw 
(-8, -7, 26), [0, 1, 2], 3.25.ap_ed_avm 
(-9, -6, 28), [3, 2, 0], 3.25.ap_ed_avg 
(-8, -7, 27), [0, 1, 3], 3.25.ap_ee_avu 
(-8, -7, 28), [0, 1, 0], 3.25.ap_ef_awc 
(-8, -7, 29), [0, 1, 1], 3.25.ap_eg_awk 
(-9, -6, 32), [3, 2, 0], 3.25.ap_eh_awq 
(2, -17, 121), [2, 3, 1], 3.25.ap_ei_axk 
(-8, -7, 31), [0, 1, 3], 3.25.ap_ei_axa 
(-7, -8, 32), [1, 0, 0], 3.25.ap_ej_aya 
(-8, -7, 33), [0, 1, 1], 3.25.ap_ek_axq 
(-7, -8, 34), [1, 0, 2], 3.25.ap_el_ayo 
(-9, -6, 36), [3, 2, 0], 3.25.ap_el_aya 
(-8, -7, 34), [0, 1, 2], 3.25.ap_el_axy 
(-7, -8, 36), [1, 0, 0], 3.25.ap_en_azc 
(-9, -6, 38), [3, 2, 2], 3.25.ap_en_ays 
(-8, -7, 36), [0, 1, 0], 3.25.ap_en_ayo 
(-8, -7, 37), [0, 1, 1], 3.25.ap_eo_ayw 
(-7, -8, 38), [1, 0, 2], 3.25.ap_ep_azq 
(-8, -7, 38), [0, 1, 2], 3.25.ap_ep_aze 
