(-6, -4, 12), [7, 9, 12], 3.13.ak_bx_agu 
(-7, -3, 17), [6, 10, 4], 3.13.ak_bz_ahp 
(-7, -3, 18), [6, 10, 5], 3.13.ak_ca_ahw 
(-5, -5, 14), [8, 8, 1], 3.13.ak_ca_ahs 
(-7, -3, 19), [6, 10, 6], 3.13.ak_cb_aid 
(-5, -5, 15), [8, 8, 2], 3.13.ak_cb_ahx 
(-6, -4, 16), [7, 9, 3], 3.13.ak_cb_ahs 
(-7, -3, 20), [6, 10, 7], 3.13.ak_cc_aik 
(-5, -5, 16), [8, 8, 3], 3.13.ak_cc_aic 
(-6, -4, 17), [7, 9, 4], 3.13.ak_cc_ahy 
(-4, -6, 18), [9, 7, 5], 3.13.ak_cd_aiu 
(-7, -3, 21), [6, 10, 8], 3.13.ak_cd_air 
(-5, -5, 17), [8, 8, 4], 3.13.ak_cd_aih 
(-6, -4, 18), [7, 9, 5], 3.13.ak_cd_aie 
(-5, -5, 18), [8, 8, 5], 3.13.ak_ce_aim 
(-6, -4, 19), [7, 9, 6], 3.13.ak_ce_aik 
(-7, -3, 23), [6, 10, 10], 3.13.ak_cf_ajf 
(-4, -6, 20), [9, 7, 7], 3.13.ak_cf_ajc 
(1, -11, 55), [1, 2, 3], 3.13.ak_cf_aix 
(-5, -5, 19), [8, 8, 6], 3.13.ak_cf_air 
(-6, -4, 20), [7, 9, 7], 3.13.ak_cf_aiq 
(-7, -3, 24), [6, 10, 11], 3.13.ak_cg_ajm 
(-4, -6, 21), [9, 7, 8], 3.13.ak_cg_ajg 
(-7, -3, 25), [6, 10, 12], 3.13.ak_ch_ajt 
(-4, -6, 22), [9, 7, 9], 3.13.ak_ch_ajk 
(-6, -4, 22), [7, 9, 9], 3.13.ak_ch_ajc 
(-5, -5, 21), [8, 8, 8], 3.13.ak_ch_ajb 
(-4, -6, 23), [9, 7, 10], 3.13.ak_ci_ajo 
(-6, -4, 23), [7, 9, 10], 3.13.ak_ci_aji 
(-5, -5, 22), [8, 8, 9], 3.13.ak_ci_ajg 
(-2, -8, 32), [11, 5, 6], 3.13.ak_cj_akm 
(-7, -3, 27), [6, 10, 1], 3.13.ak_cj_akh 
(-3, -7, 27), [10, 6, 1], 3.13.ak_cj_akd 
(-4, -6, 24), [9, 7, 11], 3.13.ak_cj_ajs 
(-6, -4, 24), [7, 9, 11], 3.13.ak_cj_ajo 
(-3, -7, 28), [10, 6, 2], 3.13.ak_ck_akg 
(-4, -6, 25), [9, 7, 12], 3.13.ak_ck_ajw 
(-6, -4, 25), [7, 9, 12], 3.13.ak_ck_aju 
(-5, -5, 24), [8, 8, 11], 3.13.ak_ck_ajq 
(-2, -8, 34), [11, 5, 8], 3.13.ak_cl_akq 
(-1, -9, 41), [12, 4, 2], 3.13.ak_cl_akp 
(-3, -7, 29), [10, 6, 3], 3.13.ak_cl_akj 
(-2, -8, 35), [11, 5, 9], 3.13.ak_cm_aks 
(-1, -9, 42), [12, 4, 3], 3.13.ak_cm_akq 
(-3, -7, 30), [10, 6, 4], 3.13.ak_cm_akm 
(-6, -4, 27), [7, 9, 1], 3.13.ak_cm_akg 
(-4, -6, 27), [9, 7, 1], 3.13.ak_cm_ake 
(-2, -8, 36), [11, 5, 10], 3.13.ak_cn_aku 
(-1, -9, 43), [12, 4, 4], 3.13.ak_cn_akr 
(-3, -7, 31), [10, 6, 5], 3.13.ak_cn_akp 
(-6, -4, 28), [7, 9, 2], 3.13.ak_cn_akm 
(-4, -6, 28), [9, 7, 2], 3.13.ak_cn_aki 
(-4, -6, 29), [9, 7, 3], 3.13.ak_co_akm 
(-5, -5, 28), [8, 8, 2], 3.13.ak_co_akk 
(-3, -7, 33), [10, 6, 7], 3.13.ak_cp_akv 
(-1, -9, 45), [12, 4, 6], 3.13.ak_cp_akt 
(-4, -6, 30), [9, 7, 4], 3.13.ak_cp_akq 
(-3, -7, 34), [10, 6, 8], 3.13.ak_cq_aky 
(-2, -8, 40), [11, 5, 1], 3.13.ak_cr_alc 
(-5, -5, 31), [8, 8, 5], 3.13.ak_cr_akz 
(-4, -6, 32), [9, 7, 6], 3.13.ak_cr_aky 
(-7, -2, -2), [6, 11, 11], 3.13.aj_z_abm 
(-6, -3, -4), [7, 10, 9], 3.13.aj_bb_acc 
(-6, -3, -3), [7, 10, 10], 3.13.aj_bc_aci 
(-6, -3, -1), [7, 10, 12], 3.13.aj_be_acu 
(-7, -2, 4), [6, 11, 4], 3.13.aj_bf_adc 
(-6, -3, 1), [7, 10, 1], 3.13.aj_bg_adg 
(-7, -2, 6), [6, 11, 6], 3.13.aj_bh_adq 
(-6, -3, 2), [7, 10, 2], 3.13.aj_bh_adm 
(-6, -3, 3), [7, 10, 3], 3.13.aj_bi_ads 
(-7, -2, 8), [6, 11, 8], 3.13.aj_bj_aee 
(-6, -3, 4), [7, 10, 4], 3.13.aj_bj_ady 
(-5, -4, 4), [8, 9, 4], 3.13.aj_bl_aeu 
(-7, -2, 10), [6, 11, 10], 3.13.aj_bl_aes 
(-7, -2, 12), [6, 11, 12], 3.13.aj_bn_afg 
(-5, -4, 6), [8, 9, 6], 3.13.aj_bn_afe 
(-7, -2, 14), [6, 11, 1], 3.13.aj_bp_afu 
(-5, -4, 8), [8, 9, 8], 3.13.aj_bp_afo 
(-7, -2, 16), [6, 11, 3], 3.13.aj_br_agi 
(-5, -4, 10), [8, 9, 10], 3.13.aj_br_afy 
(-6, -3, 12), [7, 10, 12], 3.13.aj_br_afu 
(-4, -5, 11), [9, 8, 11], 3.13.aj_bs_ags 
(-5, -4, 12), [8, 9, 12], 3.13.aj_bt_agi 
(-6, -3, 14), [7, 10, 1], 3.13.aj_bt_agg 
(2, -11, 55), [2, 2, 3], 3.13.aj_bu_agu 
(-6, -3, 15), [7, 10, 2], 3.13.aj_bu_agm 
(-7, -2, 20), [6, 11, 7], 3.13.aj_bv_ahk 
(-4, -5, 14), [9, 8, 1], 3.13.aj_bv_ahe 
(-4, -5, 15), [9, 8, 2], 3.13.aj_bw_ahi 
(-6, -3, 17), [7, 10, 4], 3.13.aj_bw_agy 
(-3, -6, 18), [10, 7, 5], 3.13.aj_bx_aic 
(-7, -2, 22), [6, 11, 9], 3.13.aj_bx_ahy 
(-4, -5, 16), [9, 8, 3], 3.13.aj_bx_ahm 
(-6, -3, 18), [7, 10, 5], 3.13.aj_bx_ahe 
(-5, -4, 16), [8, 9, 3], 3.13.aj_bx_ahc 
(-4, -5, 17), [9, 8, 4], 3.13.aj_by_ahq 
(-6, -3, 19), [7, 10, 6], 3.13.aj_by_ahk 
(-7, -2, 24), [6, 11, 11], 3.13.aj_bz_aim 
(-3, -6, 20), [10, 7, 7], 3.13.aj_bz_aii 
(1, -10, 48), [1, 3, 9], 3.13.aj_bz_aie 
(-4, -5, 18), [9, 8, 5], 3.13.aj_bz_ahu 
(-6, -3, 20), [7, 10, 7], 3.13.aj_bz_ahq 
(-2, -7, 25), [11, 6, 12], 3.13.aj_ca_aiy 
(-4, -5, 19), [9, 8, 6], 3.13.aj_ca_ahy 
(-6, -3, 21), [7, 10, 8], 3.13.aj_ca_ahw 
(-3, -6, 22), [10, 7, 9], 3.13.aj_cb_aio 
(-2, -7, 27), [11, 6, 1], 3.13.aj_cc_ajc 
(-6, -3, 23), [7, 10, 10], 3.13.aj_cc_aii 
(-4, -5, 21), [9, 8, 8], 3.13.aj_cc_aig 
(-2, -7, 28), [11, 6, 2], 3.13.aj_cd_aje 
(-3, -6, 24), [10, 7, 11], 3.13.aj_cd_aiu 
(-6, -3, 24), [7, 10, 11], 3.13.aj_cd_aio 
(-4, -5, 22), [9, 8, 9], 3.13.aj_cd_aik 
(-2, -7, 29), [11, 6, 3], 3.13.aj_ce_ajg 
(-6, -3, 25), [7, 10, 12], 3.13.aj_ce_aiu 
(-4, -5, 23), [9, 8, 10], 3.13.aj_ce_aio 
(-2, -7, 30), [11, 6, 4], 3.13.aj_cf_aji 
(-4, -5, 24), [9, 8, 11], 3.13.aj_cf_ais 
(-2, -7, 31), [11, 6, 5], 3.13.aj_cg_ajk 
(-6, -3, 27), [7, 10, 1], 3.13.aj_cg_ajg 
(-4, -5, 25), [9, 8, 12], 3.13.aj_cg_aiw 
(-3, -6, 28), [10, 7, 2], 3.13.aj_ch_ajg 
(-1, -8, 40), [12, 5, 1], 3.13.aj_cj_ajo 
(-3, -6, 30), [10, 7, 4], 3.13.aj_cj_ajm 
(-5, -4, 28), [8, 9, 2], 3.13.aj_cj_ajk 
(-7, -1, -14), [6, 12, 12], 3.13.ai_g_cu 
(-7, -1, -12), [6, 12, 1], 3.13.ai_i_cg 
(-7, -1, -11), [6, 12, 2], 3.13.ai_j_bz 
(-7, -1, -8), [6, 12, 5], 3.13.ai_m_be 
(-6, -2, -11), [7, 11, 2], 3.13.ai_o_o 
(-7, -1, -6), [6, 12, 7], 3.13.ai_o_q 
(-6, -2, -10), [7, 11, 3], 3.13.ai_p_i 
(-7, -1, -5), [6, 12, 8], 3.13.ai_p_j 
(-7, -1, -3), [6, 12, 10], 3.13.ai_r_af 
(-6, -2, -8), [7, 11, 5], 3.13.ai_r_ae 
(-7, -1, -2), [6, 12, 11], 3.13.ai_s_am 
(-6, -2, -7), [7, 11, 6], 3.13.ai_s_ak 
(-7, -1, -1), [6, 12, 12], 3.13.ai_t_at 
(-6, -2, -6), [7, 11, 7], 3.13.ai_t_aq 
(-6, -2, -5), [7, 11, 8], 3.13.ai_u_aw 
(-7, -1, 1), [6, 12, 1], 3.13.ai_v_abh 
(-6, -2, -4), [7, 11, 9], 3.13.ai_v_abc 
(-7, -1, 2), [6, 12, 2], 3.13.ai_w_abo 
(-6, -2, -3), [7, 11, 10], 3.13.ai_w_abi 
(-7, -1, 3), [6, 12, 3], 3.13.ai_x_abv 
(-6, -2, -2), [7, 11, 11], 3.13.ai_x_abo 
(-5, -3, -4), [8, 10, 9], 3.13.ai_y_acg 
(-7, -1, 4), [6, 12, 4], 3.13.ai_y_acc 
(-6, -2, -1), [7, 11, 12], 3.13.ai_y_abu 
(-5, -3, -3), [8, 10, 10], 3.13.ai_z_acl 
(-7, -1, 5), [6, 12, 5], 3.13.ai_z_acj 
(-7, -1, 7), [6, 12, 7], 3.13.ai_bb_acx 
(-5, -3, -1), [8, 10, 12], 3.13.ai_bb_acv 
(-7, -1, 8), [6, 12, 8], 3.13.ai_bc_ade 
(-7, -1, 9), [6, 12, 9], 3.13.ai_bd_adl 
(-5, -3, 1), [8, 10, 1], 3.13.ai_bd_adf 
(-6, -2, 4), [7, 11, 4], 3.13.ai_bd_acy 
(-7, -1, 10), [6, 12, 10], 3.13.ai_be_ads 
(-5, -3, 2), [8, 10, 2], 3.13.ai_be_adk 
(-6, -2, 5), [7, 11, 5], 3.13.ai_be_ade 
(-7, -1, 11), [6, 12, 11], 3.13.ai_bf_adz 
(-5, -3, 3), [8, 10, 3], 3.13.ai_bf_adp 
(-6, -2, 6), [7, 11, 6], 3.13.ai_bf_adk 
(-4, -4, 3), [9, 9, 3], 3.13.ai_bg_aem 
(-7, -1, 12), [6, 12, 12], 3.13.ai_bg_aeg 
(-5, -3, 4), [8, 10, 4], 3.13.ai_bg_adu 
(-6, -2, 7), [7, 11, 7], 3.13.ai_bg_adq 
(-4, -4, 4), [9, 9, 4], 3.13.ai_bh_aeq 
(-5, -3, 5), [8, 10, 5], 3.13.ai_bh_adz 
(-6, -2, 8), [7, 11, 8], 3.13.ai_bh_adw 
(-5, -3, 6), [8, 10, 6], 3.13.ai_bi_aee 
(-6, -2, 9), [7, 11, 9], 3.13.ai_bi_aec 
(-7, -1, 15), [6, 12, 2], 3.13.ai_bj_afb 
(-4, -4, 6), [9, 9, 6], 3.13.ai_bj_aey 
(3, -11, 55), [3, 2, 3], 3.13.ai_bj_aer 
(-5, -3, 7), [8, 10, 7], 3.13.ai_bj_aej 
(-6, -2, 10), [7, 11, 10], 3.13.ai_bj_aei 
(-7, -1, 16), [6, 12, 3], 3.13.ai_bk_afi 
(-4, -4, 7), [9, 9, 7], 3.13.ai_bk_afc 
(-7, -1, 17), [6, 12, 4], 3.13.ai_bl_afp 
(-4, -4, 8), [9, 9, 8], 3.13.ai_bl_afg 
(-6, -2, 12), [7, 11, 12], 3.13.ai_bl_aeu 
(-5, -3, 9), [8, 10, 9], 3.13.ai_bl_aet 
(-7, -1, 18), [6, 12, 5], 3.13.ai_bm_afw 
(-4, -4, 9), [9, 9, 9], 3.13.ai_bm_afk 
(-5, -3, 10), [8, 10, 10], 3.13.ai_bm_aey 
(-3, -5, 11), [10, 8, 11], 3.13.ai_bn_agh 
(-7, -1, 19), [6, 12, 6], 3.13.ai_bn_agd 
(-4, -4, 10), [9, 9, 10], 3.13.ai_bn_afo 
(-6, -2, 14), [7, 11, 1], 3.13.ai_bn_afg 
(-5, -3, 11), [8, 10, 11], 3.13.ai_bn_afd 
(-4, -4, 11), [9, 9, 11], 3.13.ai_bo_afs 
(-6, -2, 15), [7, 11, 2], 3.13.ai_bo_afm 
(-5, -3, 12), [8, 10, 12], 3.13.ai_bo_afi 
(-7, -1, 21), [6, 12, 8], 3.13.ai_bp_agr 
(2, -10, 48), [2, 3, 9], 3.13.ai_bp_agi 
(-4, -4, 12), [9, 9, 12], 3.13.ai_bp_afw 
(-6, -2, 16), [7, 11, 3], 3.13.ai_bp_afs 
(-7, -1, 22), [6, 12, 9], 3.13.ai_bq_agy 
(-3, -5, 14), [10, 8, 1], 3.13.ai_bq_agq 
(2, -10, 49), [2, 3, 10], 3.13.ai_bq_agg 
(-6, -2, 17), [7, 11, 4], 3.13.ai_bq_afy 
(-5, -3, 14), [8, 10, 1], 3.13.ai_bq_afs 
(-2, -6, 18), [11, 7, 5], 3.13.ai_br_ahk 
(-7, -1, 23), [6, 12, 10], 3.13.ai_br_ahf 
(-3, -5, 15), [10, 8, 2], 3.13.ai_br_agt 
(-3, -5, 16), [10, 8, 3], 3.13.ai_bs_agw 
(-6, -2, 19), [7, 11, 6], 3.13.ai_bs_agk 
(-4, -4, 15), [9, 9, 2], 3.13.ai_bs_agi 
(-1, -7, 25), [12, 6, 12], 3.13.ai_bt_ahz 
(-7, -1, 25), [6, 12, 12], 3.13.ai_bt_aht 
(-2, -6, 20), [11, 7, 7], 3.13.ai_bt_aho 
(1, -9, 41), [1, 4, 2], 3.13.ai_bt_ahl 
(-3, -5, 17), [10, 8, 4], 3.13.ai_bt_agz 
(-6, -2, 20), [7, 11, 7], 3.13.ai_bt_agq 
(-4, -4, 16), [9, 9, 3], 3.13.ai_bt_agm 
(-2, -6, 21), [11, 7, 8], 3.13.ai_bu_ahq 
(1, -9, 42), [1, 4, 3], 3.13.ai_bu_ahk 
(-3, -5, 18), [10, 8, 5], 3.13.ai_bu_ahc 
(-6, -2, 21), [7, 11, 8], 3.13.ai_bu_agw 
(-4, -4, 17), [9, 9, 4], 3.13.ai_bu_agq 
(-5, -3, 18), [8, 10, 5], 3.13.ai_bu_agm 
(-1, -7, 27), [12, 6, 1], 3.13.ai_bv_aib 
(-2, -6, 22), [11, 7, 9], 3.13.ai_bv_ahs 
(1, -9, 43), [1, 4, 4], 3.13.ai_bv_ahj 
(-3, -5, 19), [10, 8, 6], 3.13.ai_bv_ahf 
(-6, -2, 22), [7, 11, 9], 3.13.ai_bv_ahc 
(-4, -4, 18), [9, 9, 5], 3.13.ai_bv_agu 
(-1, -7, 28), [12, 6, 2], 3.13.ai_bw_aic 
(-2, -6, 23), [11, 7, 10], 3.13.ai_bw_ahu 
(-4, -4, 19), [9, 9, 6], 3.13.ai_bw_agy 
(-5, -3, 20), [8, 10, 7], 3.13.ai_bw_agw 
(-2, -6, 24), [11, 7, 11], 3.13.ai_bx_ahw 
(-6, -2, 24), [7, 11, 11], 3.13.ai_bx_aho 
(-3, -5, 21), [10, 8, 8], 3.13.ai_bx_ahl 
(1, -9, 45), [1, 4, 6], 3.13.ai_bx_ahh 
(-4, -4, 20), [9, 9, 7], 3.13.ai_bx_ahc 
(-5, -3, 21), [8, 10, 8], 3.13.ai_bx_ahb 
(-1, -7, 30), [12, 6, 4], 3.13.ai_by_aie 
(-2, -6, 25), [11, 7, 12], 3.13.ai_by_ahy 
(-6, -2, 25), [7, 11, 12], 3.13.ai_by_ahu 
(-3, -5, 22), [10, 8, 9], 3.13.ai_by_aho 
(-3, -5, 23), [10, 8, 10], 3.13.ai_bz_ahr 
(-5, -3, 23), [8, 10, 10], 3.13.ai_bz_ahl 
(-4, -4, 22), [9, 9, 9], 3.13.ai_bz_ahk 
(-2, -6, 27), [11, 7, 1], 3.13.ai_ca_aic 
(-3, -5, 24), [10, 8, 11], 3.13.ai_ca_ahu 
(-5, -3, 24), [8, 10, 11], 3.13.ai_ca_ahq 
(-2, -6, 28), [11, 7, 2], 3.13.ai_cb_aie 
(-3, -5, 25), [10, 8, 12], 3.13.ai_cb_ahx 
(-5, -3, 25), [8, 10, 12], 3.13.ai_cb_ahv 
(-4, -4, 24), [9, 9, 11], 3.13.ai_cb_ahs 
(-2, -6, 29), [11, 7, 3], 3.13.ai_cc_aig 
(-2, -6, 30), [11, 7, 4], 3.13.ai_cd_aii 
(-5, -3, 27), [8, 10, 1], 3.13.ai_cd_aif 
(-3, -5, 27), [10, 8, 1], 3.13.ai_cd_aid 
(-3, -5, 28), [10, 8, 2], 3.13.ai_ce_aig 
(-2, -6, 32), [11, 7, 6], 3.13.ai_cf_aim 
(-1, -7, 37), [12, 6, 11], 3.13.ai_cf_ail 
(-4, -4, 28), [9, 9, 2], 3.13.ai_cf_aii 
(-7, 0, -18), [6, 0, 8], 3.13.ah_af_ew 
(-6, -1, -18), [7, 12, 8], 3.13.ah_b_de 
(-7, 0, -12), [6, 0, 1], 3.13.ah_b_dg 
(-6, -1, -15), [7, 12, 11], 3.13.ah_e_cm 
(-7, 0, -8), [6, 0, 5], 3.13.ah_f_ce 
(-6, -1, -14), [7, 12, 12], 3.13.ah_f_cg 
(-7, 0, -6), [6, 0, 7], 3.13.ah_h_bq 
(-6, -1, -12), [7, 12, 1], 3.13.ah_h_bu 
(-6, -1, -11), [7, 12, 2], 3.13.ah_i_bo 
(-7, 0, -4), [6, 0, 9], 3.13.ah_j_bc 
(-6, -1, -10), [7, 12, 3], 3.13.ah_j_bi 
(-6, -1, -9), [7, 12, 4], 3.13.ah_k_bc 
(-7, 0, -2), [6, 0, 11], 3.13.ah_l_o 
(-5, -2, -10), [8, 11, 3], 3.13.ah_n_ac 
(-7, 0, 2), [6, 0, 2], 3.13.ah_p_ao 
(-5, -2, -8), [8, 11, 5], 3.13.ah_p_am 
(-7, 0, 4), [6, 0, 4], 3.13.ah_r_abc 
(-5, -2, -6), [8, 11, 7], 3.13.ah_r_aw 
(-7, 0, 6), [6, 0, 6], 3.13.ah_t_abq 
(-5, -2, -4), [8, 11, 9], 3.13.ah_t_abg 
(-6, -1, 1), [7, 12, 1], 3.13.ah_u_abg 
(-4, -3, -4), [9, 10, 9], 3.13.ah_v_ack 
(-7, 0, 8), [6, 0, 8], 3.13.ah_v_ace 
(-5, -2, -2), [8, 11, 11], 3.13.ah_v_abq 
(-6, -1, 2), [7, 12, 2], 3.13.ah_v_abm 
(-4, -3, -3), [9, 10, 10], 3.13.ah_w_aco 
(-6, -1, 3), [7, 12, 3], 3.13.ah_w_abs 
(-6, -1, 4), [7, 12, 4], 3.13.ah_x_aby 
(-4, -3, -1), [9, 10, 12], 3.13.ah_y_acw 
(4, -11, 55), [4, 2, 3], 3.13.ah_y_aco 
(-6, -1, 5), [7, 12, 5], 3.13.ah_y_ace 
(-7, 0, 12), [6, 0, 12], 3.13.ah_z_adg 
(-4, -3, 1), [9, 10, 1], 3.13.ah_ba_ade 
(-6, -1, 7), [7, 12, 7], 3.13.ah_ba_acq 
(-7, 0, 14), [6, 0, 1], 3.13.ah_bb_adu 
(-4, -3, 2), [9, 10, 2], 3.13.ah_bb_adi 
(-6, -1, 8), [7, 12, 8], 3.13.ah_bb_acw 
(-5, -2, 4), [8, 11, 4], 3.13.ah_bb_acu 
(-4, -3, 3), [9, 10, 3], 3.13.ah_bc_adm 
(-6, -1, 9), [7, 12, 9], 3.13.ah_bc_adc 
(-3, -4, 4), [10, 9, 4], 3.13.ah_bd_aem 
(-7, 0, 16), [6, 0, 3], 3.13.ah_bd_aei 
(-4, -3, 4), [9, 10, 4], 3.13.ah_bd_adq 
(-6, -1, 10), [7, 12, 10], 3.13.ah_bd_adi 
(-5, -2, 6), [8, 11, 6], 3.13.ah_bd_ade 
(-4, -3, 5), [9, 10, 5], 3.13.ah_be_adu 
(-6, -1, 11), [7, 12, 11], 3.13.ah_be_ado 
(-7, 0, 18), [6, 0, 5], 3.13.ah_bf_aew 
(-3, -4, 6), [10, 9, 6], 3.13.ah_bf_aes 
(3, -10, 48), [3, 3, 9], 3.13.ah_bf_aem 
(-4, -3, 6), [9, 10, 6], 3.13.ah_bf_ady 
(-6, -1, 12), [7, 12, 12], 3.13.ah_bf_adu 
(-4, -3, 7), [9, 10, 7], 3.13.ah_bg_aec 
(-7, 0, 20), [6, 0, 7], 3.13.ah_bh_afk 
(-3, -4, 8), [10, 9, 8], 3.13.ah_bh_aey 
(-2, -5, 11), [11, 8, 11], 3.13.ah_bi_afw 
(-6, -1, 15), [7, 12, 2], 3.13.ah_bi_aem 
(-4, -3, 9), [9, 10, 9], 3.13.ah_bi_aek 
