(-1, -2, 13), [8, 7, 4], 3.9.ad_y_abx 
(-2, -1, 13), [7, 8, 4], 3.9.ad_y_abs 
(-2, -1, 14), [7, 8, 5], 3.9.ad_z_abu 
(-1, -2, 16), [8, 7, 7], 3.9.ad_bb_aca 
(-1, -2, 17), [8, 7, 8], 3.9.ad_bc_acb 
(-2, -1, 17), [7, 8, 8], 3.9.ad_bc_aca 
(-2, 0, -17), [7, 0, 1], 3.9.ac_ai_bi 
(-5, 3, 1), [4, 3, 1], 3.9.ac_af_bx 
(-4, 2, -5), [5, 2, 4], 3.9.ac_ae_ce 
(2, -4, 7), [2, 5, 7], 3.9.ac_i_acg 
(2, -4, 8), [2, 5, 8], 3.9.ac_j_ace 
(-2, 0, 7), [7, 0, 7], 3.9.ac_q_ao 
(1, -3, 11), [1, 6, 2], 3.9.ac_r_abr 
(1, -3, 13), [1, 6, 4], 3.9.ac_t_abp 
(-2, 0, 13), [7, 0, 4], 3.9.ac_w_aba 
(1, -3, 17), [1, 6, 8], 3.9.ac_x_abl 
(-1, -1, 17), [8, 8, 8], 3.9.ac_bb_abj 
(-1, 0, -17), [8, 0, 1], 3.9.ab_ai_r 
(-1, 0, -16), [8, 0, 2], 3.9.ab_ah_q 
(-1, 0, -13), [8, 0, 5], 3.9.ab_ae_n 
(-5, 4, 7), [4, 4, 7], 3.9.ab_ae_bl 
(-5, 4, 8), [4, 4, 8], 3.9.ab_ad_bg 
(5, -6, 19), [5, 3, 1], 3.9.ab_ac_an 
(-1, 0, -11), [8, 0, 7], 3.9.ab_ac_l 
(-5, 4, 11), [4, 4, 2], 3.9.ab_a_r 
(1, -2, -5), [1, 7, 4], 3.9.ab_c_abp 
(-1, 0, -5), [8, 0, 4], 3.9.ab_e_f 
(5, -6, 25), [5, 3, 7], 3.9.ab_e_r 
(1, -2, -1), [1, 7, 8], 3.9.ab_g_abl 
(-5, 4, 17), [4, 4, 8], 3.9.ab_g_an 
(2, -3, 5), [2, 6, 5], 3.9.ab_i_abs 
(1, -2, 1), [1, 7, 1], 3.9.ab_i_abj 
(-5, 4, 19), [4, 4, 1], 3.9.ab_i_ax 
(-1, 0, -1), [8, 0, 8], 3.9.ab_i_b 
(2, -3, 7), [2, 6, 7], 3.9.ab_k_abo 
(-1, 0, 1), [8, 0, 1], 3.9.ab_k_ab 
(1, -2, 5), [1, 7, 5], 3.9.ab_m_abf 
(2, -3, 10), [2, 6, 1], 3.9.ab_n_abi 
(2, -3, 11), [2, 6, 2], 3.9.ab_o_abg 
(1, -2, 7), [1, 7, 7], 3.9.ab_o_abd 
(-1, 0, 5), [8, 0, 5], 3.9.ab_o_af 
(-1, 0, 7), [8, 0, 7], 3.9.ab_q_ah 
(-2, 1, 10), [7, 1, 1], 3.9.ab_r_ac 
(1, -2, 11), [1, 7, 2], 3.9.ab_s_az 
(-2, 1, 11), [7, 1, 2], 3.9.ab_s_ae 
(1, -2, 13), [1, 7, 4], 3.9.ab_u_ax 
(-1, 0, 11), [8, 0, 2], 3.9.ab_u_al 
(-2, 1, 13), [7, 1, 4], 3.9.ab_u_ai 
(1, -2, 14), [1, 7, 5], 3.9.ab_v_aw 
(-2, 1, 14), [7, 1, 5], 3.9.ab_v_ak 
(-1, 0, 13), [8, 0, 4], 3.9.ab_w_an 
(1, -2, 16), [1, 7, 7], 3.9.ab_x_au 
(1, -2, 17), [1, 7, 8], 3.9.ab_y_at 
(-1, 0, 16), [8, 0, 7], 3.9.ab_z_aq 
(2, -2, 11), [2, 7, 2], 3.9.a_q_ao 
(-2, 2, 11), [7, 2, 2], 3.9.a_q_o 
(1, -1, 13), [1, 8, 4], 3.9.a_v_af 
(-1, 1, 13), [8, 1, 4], 3.9.a_v_f 
(1, -1, 17), [1, 8, 8], 3.9.a_z_ab 
(-1, 1, 17), [8, 1, 8], 3.9.a_z_b 
(1, 0, -17), [1, 0, 1], 3.9.b_ai_ar 
(1, 0, -16), [1, 0, 2], 3.9.b_ah_aq 
(5, -4, 7), [5, 5, 7], 3.9.b_ae_abl 
(1, 0, -13), [1, 0, 5], 3.9.b_ae_an 
(5, -4, 8), [5, 5, 8], 3.9.b_ad_abg 
(1, 0, -11), [1, 0, 7], 3.9.b_ac_al 
(-5, 6, 19), [4, 6, 1], 3.9.b_ac_n 
(5, -4, 11), [5, 5, 2], 3.9.b_a_ar 
(-1, 2, -5), [8, 2, 4], 3.9.b_c_bp 
(-5, 6, 25), [4, 6, 7], 3.9.b_e_ar 
(1, 0, -5), [1, 0, 4], 3.9.b_e_af 
(5, -4, 17), [5, 5, 8], 3.9.b_g_n 
(-1, 2, -1), [8, 2, 8], 3.9.b_g_bl 
(1, 0, -1), [1, 0, 8], 3.9.b_i_ab 
(5, -4, 19), [5, 5, 1], 3.9.b_i_x 
(-1, 2, 1), [8, 2, 1], 3.9.b_i_bj 
(-2, 3, 5), [7, 3, 5], 3.9.b_i_bs 
(1, 0, 1), [1, 0, 1], 3.9.b_k_b 
(-2, 3, 7), [7, 3, 7], 3.9.b_k_bo 
(-1, 2, 5), [8, 2, 5], 3.9.b_m_bf 
(-2, 3, 10), [7, 3, 1], 3.9.b_n_bi 
(1, 0, 5), [1, 0, 5], 3.9.b_o_f 
(-1, 2, 7), [8, 2, 7], 3.9.b_o_bd 
(-2, 3, 11), [7, 3, 2], 3.9.b_o_bg 
(1, 0, 7), [1, 0, 7], 3.9.b_q_h 
(2, -1, 10), [2, 8, 1], 3.9.b_r_c 
(2, -1, 11), [2, 8, 2], 3.9.b_s_e 
(-1, 2, 11), [8, 2, 2], 3.9.b_s_z 
(2, -1, 13), [2, 8, 4], 3.9.b_u_i 
(1, 0, 11), [1, 0, 2], 3.9.b_u_l 
(-1, 2, 13), [8, 2, 4], 3.9.b_u_x 
(2, -1, 14), [2, 8, 5], 3.9.b_v_k 
(-1, 2, 14), [8, 2, 5], 3.9.b_v_w 
(1, 0, 13), [1, 0, 4], 3.9.b_w_n 
(-1, 2, 16), [8, 2, 7], 3.9.b_x_u 
(-1, 2, 17), [8, 2, 8], 3.9.b_y_t 
(1, 0, 16), [1, 0, 7], 3.9.b_z_q 
(2, 0, -17), [2, 0, 1], 3.9.c_ai_abi 
(5, -3, 1), [5, 6, 1], 3.9.c_af_abx 
(4, -2, -5), [4, 7, 4], 3.9.c_ae_ace 
(-2, 4, 7), [7, 4, 7], 3.9.c_i_cg 
(-2, 4, 8), [7, 4, 8], 3.9.c_j_ce 
