(-8, -5, 21), [0, 3, 1], 3.17.an_da_ana 
(-8, -5, 22), [0, 3, 2], 3.17.an_db_ani 
(-7, -6, 20), [1, 2, 0], 3.17.an_db_ang 
(-8, -5, 24), [0, 3, 0], 3.17.an_dd_any 
(-7, -6, 22), [1, 2, 2], 3.17.an_dd_anu 
(-8, -5, 25), [0, 3, 1], 3.17.an_de_aog 
(-6, -7, 24), [2, 1, 0], 3.17.an_df_aos 
(-8, -5, 26), [0, 3, 2], 3.17.an_df_aoo 
(-6, -7, 25), [2, 1, 1], 3.17.an_dg_aoy 
(-8, -5, 29), [0, 3, 1], 3.17.an_di_apm 
(-6, -7, 27), [2, 1, 3], 3.17.an_di_apk 
(-8, -5, 30), [0, 3, 2], 3.17.an_dj_apu 
(-6, -7, 28), [2, 1, 0], 3.17.an_dj_apq 
(-8, -5, 31), [0, 3, 3], 3.17.an_dk_aqc 
(-6, -7, 29), [2, 1, 1], 3.17.an_dk_apw 
(-5, -8, 32), [3, 0, 0], 3.17.an_dl_aqq 
(-8, -5, 32), [0, 3, 0], 3.17.an_dl_aqk 
(-6, -7, 30), [2, 1, 2], 3.17.an_dl_aqc 
(-6, -7, 31), [2, 1, 3], 3.17.an_dm_aqi 
(-6, -7, 32), [2, 1, 0], 3.17.an_dn_aqo 
(-7, -6, 32), [1, 2, 0], 3.17.an_dn_aqm 
(-8, -5, 35), [0, 3, 3], 3.17.an_do_ari 
(-6, -7, 33), [2, 1, 1], 3.17.an_do_aqu 
(-8, -5, 36), [0, 3, 0], 3.17.an_dp_arq 
(-5, -8, 36), [3, 0, 0], 3.17.an_dp_ark 
(-4, -9, 41), [0, 3, 1], 3.17.an_dq_asc 
(-8, -5, 37), [0, 3, 1], 3.17.an_dq_ary 
(-6, -7, 35), [2, 1, 3], 3.17.an_dq_arg 
(-5, -8, 38), [3, 0, 2], 3.17.an_dr_aru 
(-7, -6, 36), [1, 2, 0], 3.17.an_dr_aro 
(-6, -7, 36), [2, 1, 0], 3.17.an_dr_arm 
(-4, -9, 43), [0, 3, 3], 3.17.an_ds_ask 
(-4, -9, 44), [0, 3, 0], 3.17.an_dt_aso 
(-5, -8, 40), [3, 0, 0], 3.17.an_dt_ase 
(-7, -6, 38), [1, 2, 2], 3.17.an_dt_asc 
(-4, -9, 45), [0, 3, 1], 3.17.an_du_ass 
(-2, -11, 60), [2, 1, 0], 3.17.an_dv_ata 
(-4, -9, 46), [0, 3, 2], 3.17.an_dv_asw 
(-5, -8, 42), [3, 0, 2], 3.17.an_dv_aso 
(-2, -11, 61), [2, 1, 1], 3.17.an_dw_atc 
(-4, -9, 47), [0, 3, 3], 3.17.an_dw_ata 
(-5, -8, 44), [3, 0, 0], 3.17.an_dx_asy 
(-4, -9, 49), [0, 3, 1], 3.17.an_dy_ati 
(-2, -11, 63), [2, 1, 3], 3.17.an_dy_atg 
(-4, -9, 50), [0, 3, 2], 3.17.an_dz_atm 
(-6, -7, 45), [2, 1, 1], 3.17.an_ea_ato 
(-8, -4, 5), [0, 0, 1], 3.17.am_cc_agu 
(-8, -4, 6), [0, 0, 2], 3.17.am_cd_ahc 
(-8, -4, 7), [0, 0, 3], 3.17.am_ce_ahk 
(-8, -4, 8), [0, 0, 0], 3.17.am_cf_ahs 
(-8, -4, 9), [0, 0, 1], 3.17.am_cg_aia 
(-8, -4, 10), [0, 0, 2], 3.17.am_ch_aii 
(-7, -5, 8), [1, 3, 0], 3.17.am_ci_ais 
(-7, -5, 9), [1, 3, 1], 3.17.am_cj_aiz 
(-8, -4, 12), [0, 0, 0], 3.17.am_cj_aiy 
(-8, -4, 14), [0, 0, 2], 3.17.am_cl_ajo 
(-7, -5, 11), [1, 3, 3], 3.17.am_cl_ajn 
(-8, -4, 15), [0, 0, 3], 3.17.am_cm_ajw 
(-7, -5, 12), [1, 3, 0], 3.17.am_cm_aju 
(-8, -4, 16), [0, 0, 0], 3.17.am_cn_ake 
(-7, -5, 13), [1, 3, 1], 3.17.am_cn_akb 
(-7, -5, 14), [1, 3, 2], 3.17.am_co_aki 
(-8, -4, 18), [0, 0, 2], 3.17.am_cp_aku 
(-7, -5, 15), [1, 3, 3], 3.17.am_cp_akp 
(-8, -4, 19), [0, 0, 3], 3.17.am_cq_alc 
(-7, -5, 16), [1, 3, 0], 3.17.am_cq_akw 
(-6, -6, 16), [2, 2, 0], 3.17.am_cr_alo 
(-8, -4, 20), [0, 0, 0], 3.17.am_cr_alk 
(-8, -4, 21), [0, 0, 1], 3.17.am_cs_als 
(-7, -5, 18), [1, 3, 2], 3.17.am_cs_alk 
(-8, -4, 23), [0, 0, 3], 3.17.am_cu_ami 
(-6, -6, 19), [2, 2, 3], 3.17.am_cu_amg 
(-8, -4, 24), [0, 0, 0], 3.17.am_cv_amq 
(-6, -6, 20), [2, 2, 0], 3.17.am_cv_amm 
(-8, -4, 25), [0, 0, 1], 3.17.am_cw_amy 
