(-8, -5, 21), [9, 12, 4], 3.17.an_da_ana 
(-8, -5, 22), [9, 12, 5], 3.17.an_db_ani 
(-7, -6, 20), [10, 11, 3], 3.17.an_db_ang 
(-8, -5, 24), [9, 12, 7], 3.17.an_dd_any 
(-7, -6, 22), [10, 11, 5], 3.17.an_dd_anu 
(-8, -5, 25), [9, 12, 8], 3.17.an_de_aog 
(-6, -7, 24), [11, 10, 7], 3.17.an_df_aos 
(-8, -5, 26), [9, 12, 9], 3.17.an_df_aoo 
(-6, -7, 25), [11, 10, 8], 3.17.an_dg_aoy 
(-8, -5, 29), [9, 12, 12], 3.17.an_di_apm 
(-6, -7, 27), [11, 10, 10], 3.17.an_di_apk 
(-8, -5, 30), [9, 12, 13], 3.17.an_dj_apu 
(-6, -7, 28), [11, 10, 11], 3.17.an_dj_apq 
(-8, -5, 31), [9, 12, 14], 3.17.an_dk_aqc 
(-6, -7, 29), [11, 10, 12], 3.17.an_dk_apw 
(-5, -8, 32), [12, 9, 15], 3.17.an_dl_aqq 
(-8, -5, 32), [9, 12, 15], 3.17.an_dl_aqk 
(-6, -7, 30), [11, 10, 13], 3.17.an_dl_aqc 
(-6, -7, 31), [11, 10, 14], 3.17.an_dm_aqi 
(-6, -7, 32), [11, 10, 15], 3.17.an_dn_aqo 
(-7, -6, 32), [10, 11, 15], 3.17.an_dn_aqm 
(-8, -5, 35), [9, 12, 1], 3.17.an_do_ari 
(-6, -7, 33), [11, 10, 16], 3.17.an_do_aqu 
(-8, -5, 36), [9, 12, 2], 3.17.an_dp_arq 
(-5, -8, 36), [12, 9, 2], 3.17.an_dp_ark 
(-4, -9, 41), [13, 8, 7], 3.17.an_dq_asc 
(-8, -5, 37), [9, 12, 3], 3.17.an_dq_ary 
(-6, -7, 35), [11, 10, 1], 3.17.an_dq_arg 
(-5, -8, 38), [12, 9, 4], 3.17.an_dr_aru 
(-7, -6, 36), [10, 11, 2], 3.17.an_dr_aro 
(-6, -7, 36), [11, 10, 2], 3.17.an_dr_arm 
(-4, -9, 43), [13, 8, 9], 3.17.an_ds_ask 
(-4, -9, 44), [13, 8, 10], 3.17.an_dt_aso 
(-5, -8, 40), [12, 9, 6], 3.17.an_dt_ase 
(-7, -6, 38), [10, 11, 4], 3.17.an_dt_asc 
(-4, -9, 45), [13, 8, 11], 3.17.an_du_ass 
(-2, -11, 60), [15, 6, 9], 3.17.an_dv_ata 
(-4, -9, 46), [13, 8, 12], 3.17.an_dv_asw 
(-5, -8, 42), [12, 9, 8], 3.17.an_dv_aso 
(-2, -11, 61), [15, 6, 10], 3.17.an_dw_atc 
(-4, -9, 47), [13, 8, 13], 3.17.an_dw_ata 
(-5, -8, 44), [12, 9, 10], 3.17.an_dx_asy 
(-4, -9, 49), [13, 8, 15], 3.17.an_dy_ati 
(-2, -11, 63), [15, 6, 12], 3.17.an_dy_atg 
(-4, -9, 50), [13, 8, 16], 3.17.an_dz_atm 
(-6, -7, 45), [11, 10, 11], 3.17.an_ea_ato 
(-8, -4, 5), [9, 13, 5], 3.17.am_cc_agu 
(-8, -4, 6), [9, 13, 6], 3.17.am_cd_ahc 
(-8, -4, 7), [9, 13, 7], 3.17.am_ce_ahk 
(-8, -4, 8), [9, 13, 8], 3.17.am_cf_ahs 
(-8, -4, 9), [9, 13, 9], 3.17.am_cg_aia 
(-8, -4, 10), [9, 13, 10], 3.17.am_ch_aii 
(-7, -5, 8), [10, 12, 8], 3.17.am_ci_ais 
(-7, -5, 9), [10, 12, 9], 3.17.am_cj_aiz 
(-8, -4, 12), [9, 13, 12], 3.17.am_cj_aiy 
(-8, -4, 14), [9, 13, 14], 3.17.am_cl_ajo 
(-7, -5, 11), [10, 12, 11], 3.17.am_cl_ajn 
(-8, -4, 15), [9, 13, 15], 3.17.am_cm_ajw 
(-7, -5, 12), [10, 12, 12], 3.17.am_cm_aju 
(-8, -4, 16), [9, 13, 16], 3.17.am_cn_ake 
(-7, -5, 13), [10, 12, 13], 3.17.am_cn_akb 
(-7, -5, 14), [10, 12, 14], 3.17.am_co_aki 
(-8, -4, 18), [9, 13, 1], 3.17.am_cp_aku 
(-7, -5, 15), [10, 12, 15], 3.17.am_cp_akp 
(-8, -4, 19), [9, 13, 2], 3.17.am_cq_alc 
(-7, -5, 16), [10, 12, 16], 3.17.am_cq_akw 
(-6, -6, 16), [11, 11, 16], 3.17.am_cr_alo 
(-8, -4, 20), [9, 13, 3], 3.17.am_cr_alk 
(-8, -4, 21), [9, 13, 4], 3.17.am_cs_als 
(-7, -5, 18), [10, 12, 1], 3.17.am_cs_alk 
(-8, -4, 23), [9, 13, 6], 3.17.am_cu_ami 
(-6, -6, 19), [11, 11, 2], 3.17.am_cu_amg 
(-8, -4, 24), [9, 13, 7], 3.17.am_cv_amq 
(-6, -6, 20), [11, 11, 3], 3.17.am_cv_amm 
(-8, -4, 25), [9, 13, 8], 3.17.am_cw_amy 
(-6, -6, 21), [11, 11, 4], 3.17.am_cw_ams 
(-7, -5, 22), [10, 12, 5], 3.17.am_cw_amm 
(-8, -4, 26), [9, 13, 9], 3.17.am_cx_ang 
(-6, -6, 22), [11, 11, 5], 3.17.am_cx_amy 
(-5, -7, 24), [12, 10, 7], 3.17.am_cy_anu 
(-8, -4, 27), [9, 13, 10], 3.17.am_cy_ano 
(-6, -6, 23), [11, 11, 6], 3.17.am_cy_ane 
(-7, -5, 24), [10, 12, 7], 3.17.am_cy_ana 
(-5, -7, 25), [12, 10, 8], 3.17.am_cz_anz 
(-8, -4, 28), [9, 13, 11], 3.17.am_cz_anw 
(-6, -6, 24), [11, 11, 7], 3.17.am_cz_ank 
(-7, -5, 25), [10, 12, 8], 3.17.am_cz_anh 
(-6, -6, 25), [11, 11, 8], 3.17.am_da_anq 
(-7, -5, 26), [10, 12, 9], 3.17.am_da_ano 
(-8, -4, 30), [9, 13, 13], 3.17.am_db_aom 
(-5, -7, 27), [12, 10, 10], 3.17.am_db_aoj 
(1, -13, 75), [1, 4, 7], 3.17.am_db_aod 
(-6, -6, 26), [11, 11, 9], 3.17.am_db_anw 
(-7, -5, 27), [10, 12, 10], 3.17.am_db_anv 
(-8, -4, 31), [9, 13, 14], 3.17.am_dc_aou 
(-5, -7, 28), [12, 10, 11], 3.17.am_dc_aoo 
(-4, -8, 32), [13, 9, 15], 3.17.am_dd_apk 
(-8, -4, 32), [9, 13, 15], 3.17.am_dd_apc 
(-5, -7, 29), [12, 10, 12], 3.17.am_dd_aot 
(-7, -5, 29), [10, 12, 12], 3.17.am_dd_aoj 
(-6, -6, 28), [11, 11, 11], 3.17.am_dd_aoi 
(-8, -4, 33), [9, 13, 16], 3.17.am_de_apk 
(-5, -7, 30), [12, 10, 13], 3.17.am_de_aoy 
(-7, -5, 30), [10, 12, 13], 3.17.am_de_aoq 
(-6, -6, 29), [11, 11, 12], 3.17.am_de_aoo 
(-5, -7, 31), [12, 10, 14], 3.17.am_df_apd 
(-7, -5, 31), [10, 12, 14], 3.17.am_df_aox 
(-6, -6, 30), [11, 11, 13], 3.17.am_df_aou 
(-8, -4, 35), [9, 13, 1], 3.17.am_dg_aqa 
(-4, -8, 35), [13, 9, 1], 3.17.am_dg_apw 
(-5, -7, 32), [12, 10, 15], 3.17.am_dg_api 
(-7, -5, 32), [10, 12, 15], 3.17.am_dg_ape 
(-6, -6, 31), [11, 11, 14], 3.17.am_dg_apa 
(-1, -11, 57), [16, 6, 6], 3.17.am_dh_aqp 
(-3, -9, 41), [14, 8, 7], 3.17.am_dh_aqn 
(-8, -4, 36), [9, 13, 2], 3.17.am_dh_aqi 
(-4, -8, 36), [13, 9, 2], 3.17.am_dh_aqa 
(-7, -5, 33), [10, 12, 16], 3.17.am_dh_apl 
(-6, -6, 32), [11, 11, 15], 3.17.am_dh_apg 
