(-7, -4, 15), [6, 9, 2], 3.13.al_ce_aib 
(-7, -4, 17), [6, 9, 4], 3.13.al_cg_aip 
(-6, -5, 16), [7, 8, 3], 3.13.al_ch_ais 
(-7, -4, 19), [6, 9, 6], 3.13.al_ci_ajd 
(-6, -5, 17), [7, 8, 4], 3.13.al_ci_aiy 
(-7, -4, 20), [6, 9, 7], 3.13.al_cj_ajk 
(-6, -5, 18), [7, 8, 5], 3.13.al_cj_aje 
(-6, -5, 19), [7, 8, 6], 3.13.al_ck_ajk 
(-7, -4, 23), [6, 9, 10], 3.13.al_cm_akf 
(-5, -6, 21), [8, 7, 8], 3.13.al_cm_akb 
(-6, -5, 21), [7, 8, 8], 3.13.al_cm_ajw 
(-6, -5, 22), [7, 8, 9], 3.13.al_cn_akc 
(-7, -4, 25), [6, 9, 12], 3.13.al_co_akt 
(-5, -6, 23), [8, 7, 10], 3.13.al_co_akl 
(-6, -5, 23), [7, 8, 10], 3.13.al_co_aki 
(-7, -4, 27), [6, 9, 1], 3.13.al_cq_alh 
(-5, -6, 25), [8, 7, 12], 3.13.al_cq_akv 
(-5, -6, 27), [8, 7, 1], 3.13.al_cs_alf 
(-5, -6, 28), [8, 7, 2], 3.13.al_ct_alk 
(-2, -9, 41), [11, 4, 2], 3.13.al_cu_ame 
(-3, -8, 35), [10, 5, 9], 3.13.al_cu_amb 
(-1, -10, 49), [12, 3, 10], 3.13.al_cu_alx 
(-6, -5, 29), [7, 8, 3], 3.13.al_cu_als 
(-5, -6, 29), [8, 7, 3], 3.13.al_cu_alp 
(-2, -9, 42), [11, 4, 3], 3.13.al_cv_amg 
(-5, -6, 30), [8, 7, 4], 3.13.al_cv_alu 
(-2, -9, 43), [11, 4, 4], 3.13.al_cw_ami 
(-3, -8, 37), [10, 5, 11], 3.13.al_cw_amh 
(-5, -6, 32), [8, 7, 6], 3.13.al_cx_ame 
(-4, -7, 35), [9, 6, 9], 3.13.al_cy_amk 
(-5, -6, 33), [8, 7, 7], 3.13.al_cy_amj 
(-3, -8, 40), [10, 5, 1], 3.13.al_cz_amq 
(-4, -7, 37), [9, 6, 11], 3.13.al_da_ams 
(-7, -3, -4), [6, 10, 9], 3.13.ak_be_aby 
(-7, -3, -3), [6, 10, 10], 3.13.ak_bf_acf 
(-7, -3, -1), [6, 10, 12], 3.13.ak_bh_act 
(-7, -3, 1), [6, 10, 1], 3.13.ak_bj_adh 
(-7, -3, 2), [6, 10, 2], 3.13.ak_bk_ado 
(-7, -3, 3), [6, 10, 3], 3.13.ak_bl_adv 
(-7, -3, 5), [6, 10, 5], 3.13.ak_bn_aej 
(-6, -4, 15), [7, 9, 2], 3.13.ak_ca_ahm 
(-3, -7, 25), [10, 6, 12], 3.13.ak_ch_ajx 
(-5, -5, 23), [8, 8, 10], 3.13.ak_cj_ajl 
(-5, -5, 25), [8, 8, 12], 3.13.ak_cl_ajv 
(-5, -5, 27), [8, 8, 1], 3.13.ak_cn_akf 
(-2, -8, 37), [11, 5, 11], 3.13.ak_co_akw 
(-5, -5, 29), [8, 8, 3], 3.13.ak_cp_akp 
(-3, -7, 35), [10, 6, 9], 3.13.ak_cr_alb 
(-4, -6, 33), [9, 7, 7], 3.13.ak_cs_alc 
(-3, -7, 37), [10, 6, 11], 3.13.ak_ct_alh 
(-7, -2, -11), [6, 11, 2], 3.13.aj_q_z 
(-7, -2, -10), [6, 11, 3], 3.13.aj_r_s 
(-7, -2, -8), [6, 11, 5], 3.13.aj_t_e 
(-7, -2, -7), [6, 11, 6], 3.13.aj_u_ad 
(-7, -2, -6), [6, 11, 7], 3.13.aj_v_ak 
(-7, -2, -5), [6, 11, 8], 3.13.aj_w_ar 
(-7, -2, -4), [6, 11, 9], 3.13.aj_x_ay 
(-7, -2, -3), [6, 11, 10], 3.13.aj_y_abf 
(-7, -2, -1), [6, 11, 12], 3.13.aj_ba_abt 
(-7, -2, 1), [6, 11, 1], 3.13.aj_bc_ach 
(-7, -2, 3), [6, 11, 3], 3.13.aj_be_acv 
(-7, -2, 5), [6, 11, 5], 3.13.aj_bg_adj 
(-7, -2, 7), [6, 11, 7], 3.13.aj_bi_adx 
(-5, -4, 3), [8, 9, 3], 3.13.aj_bk_aep 
(-7, -2, 9), [6, 11, 9], 3.13.aj_bk_ael 
(-6, -3, 5), [7, 10, 5], 3.13.aj_bk_aee 
(-6, -3, 6), [7, 10, 6], 3.13.aj_bl_aek 
(-6, -3, 7), [7, 10, 7], 3.13.aj_bm_aeq 
(-5, -4, 7), [8, 9, 7], 3.13.aj_bo_afj 
(-6, -3, 9), [7, 10, 9], 3.13.aj_bo_afc 
(-6, -3, 10), [7, 10, 10], 3.13.aj_bp_afi 
(-7, -2, 15), [6, 11, 2], 3.13.aj_bq_agb 
(-5, -4, 9), [8, 9, 9], 3.13.aj_bq_aft 
(-6, -3, 11), [7, 10, 11], 3.13.aj_bq_afo 
(-7, -2, 17), [6, 11, 4], 3.13.aj_bs_agp 
(-5, -4, 11), [8, 9, 11], 3.13.aj_bs_agd 
(-7, -2, 19), [6, 11, 6], 3.13.aj_bu_ahd 
(-7, -2, 21), [6, 11, 8], 3.13.aj_bw_ahr 
(-5, -4, 15), [8, 9, 2], 3.13.aj_bw_agx 
(-5, -4, 17), [8, 9, 4], 3.13.aj_by_ahh 
(-5, -4, 18), [8, 9, 5], 3.13.aj_bz_ahm 
(-7, -2, 25), [6, 11, 12], 3.13.aj_ca_ait 
(-3, -6, 21), [10, 7, 8], 3.13.aj_ca_ail 
(1, -10, 49), [1, 3, 10], 3.13.aj_ca_aid 
(-5, -4, 19), [8, 9, 6], 3.13.aj_ca_ahr 
(-1, -8, 32), [12, 5, 6], 3.13.aj_cb_ajg 
(-5, -4, 20), [8, 9, 7], 3.13.aj_cb_ahw 
(-3, -6, 23), [10, 7, 10], 3.13.aj_cc_air 
(-1, -8, 34), [12, 5, 8], 3.13.aj_cd_aji 
(-5, -4, 22), [8, 9, 9], 3.13.aj_cd_aig 
(-1, -8, 35), [12, 5, 9], 3.13.aj_ce_ajj 
(-3, -6, 25), [10, 7, 12], 3.13.aj_ce_aix 
(-5, -4, 23), [8, 9, 10], 3.13.aj_ce_ail 
(-1, -8, 36), [12, 5, 10], 3.13.aj_cf_ajk 
(-5, -4, 24), [8, 9, 11], 3.13.aj_cf_aiq 
(-1, -8, 37), [12, 5, 11], 3.13.aj_cg_ajl 
(-3, -6, 27), [10, 7, 1], 3.13.aj_cg_ajd 
(-5, -4, 25), [8, 9, 12], 3.13.aj_cg_aiv 
(-2, -7, 33), [11, 6, 7], 3.13.aj_ci_ajo 
(-3, -6, 29), [10, 7, 3], 3.13.aj_ci_ajj 
(-5, -4, 27), [8, 9, 1], 3.13.aj_ci_ajf 
(-4, -5, 27), [9, 8, 1], 3.13.aj_ci_aje 
(-2, -7, 34), [11, 6, 8], 3.13.aj_cj_ajq 
(-4, -5, 28), [9, 8, 2], 3.13.aj_cj_aji 
(-2, -7, 35), [11, 6, 9], 3.13.aj_ck_ajs 
(-4, -5, 29), [9, 8, 3], 3.13.aj_ck_ajm 
(-3, -6, 32), [10, 7, 6], 3.13.aj_cl_ajs 
(-2, -7, 37), [11, 6, 11], 3.13.aj_cm_ajw 
(-3, -6, 33), [10, 7, 7], 3.13.aj_cm_ajv 
(-4, -5, 31), [9, 8, 5], 3.13.aj_cm_aju 
(-7, -1, -18), [6, 12, 8], 3.13.ai_c_dw 
(-7, -1, -17), [6, 12, 9], 3.13.ai_d_dp 
(-7, -1, -15), [6, 12, 11], 3.13.ai_f_db 
(-7, -1, -10), [6, 12, 3], 3.13.ai_k_bs 
(-7, -1, -9), [6, 12, 4], 3.13.ai_l_bl 
(-7, -1, -7), [6, 12, 6], 3.13.ai_n_x 
(-6, -2, 1), [7, 11, 1], 3.13.ai_ba_acg 
(-6, -2, 3), [7, 11, 3], 3.13.ai_bc_acs 
(-5, -3, 15), [8, 10, 2], 3.13.ai_br_afx 
(-5, -3, 17), [8, 10, 4], 3.13.ai_bt_agh 
(-5, -3, 19), [8, 10, 6], 3.13.ai_bv_agr 
(-1, -7, 29), [12, 6, 3], 3.13.ai_bx_aid 
(-1, -7, 31), [12, 6, 5], 3.13.ai_bz_aif 
(-4, -4, 23), [9, 9, 10], 3.13.ai_ca_aho 
(-1, -7, 33), [12, 6, 7], 3.13.ai_cb_aih 
(-1, -7, 34), [12, 6, 8], 3.13.ai_cc_aii 
(-4, -4, 25), [9, 9, 12], 3.13.ai_cc_ahw 
(-1, -7, 35), [12, 6, 9], 3.13.ai_cd_aij 
