(-7, -8, 45), [1, 0, 1], 3.17.ap_eo_awp 
(-4, -11, 59), [0, 1, 3], 3.17.ap_eq_axm 
(-3, -12, 67), [1, 0, 3], 3.17.ap_eq_axl 
(-5, -10, 53), [3, 2, 1], 3.17.ap_eq_axh 
(-7, -8, 47), [1, 0, 3], 3.17.ap_eq_axd 
(-6, -9, 49), [2, 3, 1], 3.17.ap_eq_axc 
(-4, -11, 60), [0, 1, 0], 3.17.ap_er_axq 
(-6, -9, 50), [2, 3, 2], 3.17.ap_er_axi 
(-4, -11, 61), [0, 1, 1], 3.17.ap_es_axu 
(-5, -10, 56), [3, 2, 0], 3.17.ap_et_axw 
(-4, -11, 63), [0, 1, 3], 3.17.ap_eu_ayc 
(-5, -10, 57), [3, 2, 1], 3.17.ap_eu_ayb 
(-6, -9, 53), [2, 3, 1], 3.17.ap_eu_aya 
(-8, -6, 19), [0, 2, 3], 3.17.ao_dg_ans 
(-8, -6, 20), [0, 2, 0], 3.17.ao_dh_aoa 
(-8, -6, 21), [0, 2, 1], 3.17.ao_di_aoi 
(-7, -7, 29), [1, 1, 1], 3.17.ao_dr_aqz 
(-7, -7, 31), [1, 1, 3], 3.17.ao_dt_arn 
(-8, -6, 33), [0, 2, 1], 3.17.ao_du_asa 
(-7, -7, 33), [1, 1, 1], 3.17.ao_dv_asb 
(-7, -7, 35), [1, 1, 3], 3.17.ao_dx_asp 
(-7, -7, 37), [1, 1, 1], 3.17.ao_dz_atd 
(-4, -10, 49), [0, 2, 1], 3.17.ao_ec_auq 
(-8, -6, 41), [0, 2, 1], 3.17.ao_ec_aum 
(-3, -11, 57), [1, 1, 1], 3.17.ao_ed_auz 
(-7, -7, 41), [1, 1, 1], 3.17.ao_ed_auf 
(-3, -11, 59), [1, 1, 3], 3.17.ao_ef_avf 
(-4, -10, 53), [0, 2, 1], 3.17.ao_eg_avg 
(-6, -8, 45), [2, 0, 1], 3.17.ao_eg_auw 
(-3, -11, 61), [1, 1, 1], 3.17.ao_eh_avl 
(-7, -7, 45), [1, 1, 1], 3.17.ao_eh_avh 
(-6, -8, 47), [2, 0, 3], 3.17.ao_ei_avi 
(-4, -10, 57), [0, 2, 1], 3.17.ao_ek_avw 
(-5, -9, 53), [3, 3, 1], 3.17.ao_el_avz 
(-8, -5, 8), [0, 3, 0], 3.17.an_cn_aja 
(-8, -5, 9), [0, 3, 1], 3.17.an_co_aji 
(-8, -5, 11), [0, 3, 3], 3.17.an_cq_ajy 
(-8, -5, 12), [0, 3, 0], 3.17.an_cr_akg 
(-8, -5, 13), [0, 3, 1], 3.17.an_cs_ako 
(-8, -5, 14), [0, 3, 2], 3.17.an_ct_akw 
(-7, -6, 19), [1, 2, 3], 3.17.an_da_amz 
(-8, -5, 23), [0, 3, 3], 3.17.an_dc_anq 
(-7, -6, 21), [1, 2, 1], 3.17.an_dc_ann 
(-7, -6, 23), [1, 2, 3], 3.17.an_de_aob 
(-7, -6, 24), [1, 2, 0], 3.17.an_df_aoi 
(-8, -5, 27), [0, 3, 3], 3.17.an_dg_aow 
(-7, -6, 25), [1, 2, 1], 3.17.an_dg_aop 
(-7, -6, 26), [1, 2, 2], 3.17.an_dh_aow 
(-7, -6, 28), [1, 2, 0], 3.17.an_dj_apk 
(-7, -6, 29), [1, 2, 1], 3.17.an_dk_apr 
(-7, -6, 30), [1, 2, 2], 3.17.an_dl_apy 
(-5, -8, 33), [3, 0, 1], 3.17.an_dm_aqv 
(-8, -5, 33), [0, 3, 1], 3.17.an_dm_aqs 
(-7, -6, 31), [1, 2, 3], 3.17.an_dm_aqf 
(-5, -8, 35), [3, 0, 3], 3.17.an_do_arf 
(-7, -6, 33), [1, 2, 1], 3.17.an_do_aqt 
(-1, -12, 65), [3, 0, 1], 3.17.an_dq_asf 
(-5, -8, 37), [3, 0, 1], 3.17.an_dq_arp 
(-7, -6, 35), [1, 2, 3], 3.17.an_dq_arh 
(-2, -11, 57), [2, 1, 1], 3.17.an_ds_asu 
(-3, -10, 49), [1, 2, 1], 3.17.an_ds_ast 
(-8, -5, 39), [0, 3, 3], 3.17.an_ds_aso 
(-1, -12, 67), [3, 0, 3], 3.17.an_ds_ash 
(-5, -8, 39), [3, 0, 3], 3.17.an_ds_arz 
(-7, -6, 37), [1, 2, 1], 3.17.an_ds_arv 
(-6, -7, 37), [2, 1, 1], 3.17.an_ds_ars 
(-6, -7, 38), [2, 1, 2], 3.17.an_dt_ary 
(-2, -11, 59), [2, 1, 3], 3.17.an_du_asy 
(-6, -7, 39), [2, 1, 3], 3.17.an_du_ase 
(-3, -10, 52), [1, 2, 0], 3.17.an_dv_atc 
(-7, -6, 40), [1, 2, 0], 3.17.an_dv_asq 
(-3, -10, 53), [1, 2, 1], 3.17.an_dw_atf 
(-7, -6, 41), [1, 2, 1], 3.17.an_dw_asx 
(-5, -8, 43), [3, 0, 3], 3.17.an_dw_ast 
(-6, -7, 41), [2, 1, 1], 3.17.an_dw_asq 
(-3, -10, 54), [1, 2, 2], 3.17.an_dx_ati 
(-6, -7, 42), [2, 1, 2], 3.17.an_dx_asw 
(-5, -8, 45), [3, 0, 1], 3.17.an_dy_atd 
(-6, -7, 43), [2, 1, 3], 3.17.an_dy_atc 
(-3, -10, 56), [1, 2, 0], 3.17.an_dz_ato 
(-3, -10, 57), [1, 2, 1], 3.17.an_ea_atr 
(-5, -8, 47), [3, 0, 3], 3.17.an_ea_atn 
(-5, -8, 48), [3, 0, 0], 3.17.an_eb_ats 
(-4, -9, 53), [0, 3, 1], 3.17.an_ec_aty 
(-8, -4, -1), [0, 0, 3], 3.17.am_bw_aey 
(-8, -4, 1), [0, 0, 1], 3.17.am_by_afo 
(-8, -4, 3), [0, 0, 3], 3.17.am_ca_age 
(-8, -4, 4), [0, 0, 0], 3.17.am_cb_agm 
(-8, -4, 11), [0, 0, 3], 3.17.am_ci_aiq 
(-7, -5, 19), [1, 3, 3], 3.17.am_ct_alr 
(-7, -5, 21), [1, 3, 1], 3.17.am_cv_amf 
(-7, -5, 23), [1, 3, 3], 3.17.am_cx_amt 
(-4, -8, 33), [0, 0, 1], 3.17.am_de_apo 
(-5, -7, 33), [3, 1, 1], 3.17.am_dh_apn 
(-2, -10, 49), [2, 2, 1], 3.17.am_di_aqw 
(-6, -6, 33), [2, 2, 1], 3.17.am_di_apm 
(-4, -8, 39), [0, 0, 3], 3.17.am_dk_aqm 
(-6, -6, 35), [2, 2, 3], 3.17.am_dk_apy 
(-3, -9, 45), [1, 3, 1], 3.17.am_dl_aqz 
(-3, -9, 49), [1, 3, 1], 3.17.am_dp_arl 
(-5, -7, 41), [3, 1, 1], 3.17.am_dp_arb 
(-5, -7, 43), [3, 1, 3], 3.17.am_dr_arl 
(-4, -8, 47), [0, 0, 3], 3.17.am_ds_ars 
(-3, -9, 53), [1, 3, 1], 3.17.am_dt_arx 
(-5, -7, 45), [3, 1, 1], 3.17.am_dt_arv 
(-8, -3, -9), [0, 1, 3], 3.17.al_bg_abe 
(-8, -3, -8), [0, 1, 0], 3.17.al_bh_abm 
(-8, -3, -7), [0, 1, 1], 3.17.al_bi_abu 
(-8, -3, -5), [0, 1, 3], 3.17.al_bk_ack 
(-8, -3, -4), [0, 1, 0], 3.17.al_bl_acs 
(-8, -3, -3), [0, 1, 1], 3.17.al_bm_ada 
(-7, -4, -1), [1, 0, 3], 3.17.al_bs_aez 
(-7, -4, 1), [1, 0, 1], 3.17.al_bu_afn 
(-7, -4, 3), [1, 0, 3], 3.17.al_bw_agb 
(-7, -4, 5), [1, 0, 1], 3.17.al_by_agp 
(-7, -4, 7), [1, 0, 3], 3.17.al_ca_ahd 
(-7, -4, 9), [1, 0, 1], 3.17.al_cc_ahr 
(-7, -4, 10), [1, 0, 2], 3.17.al_cd_ahy 
(-7, -4, 11), [1, 0, 3], 3.17.al_ce_aif 
