(-7, -13, 73), (1, 3, 1)
(-7, -12, 65), (1, 0, 1)
(-7, -11, 57), (1, 1, 1)
(-7, -11, 59), (1, 1, 3)
(-5, -13, 73), (3, 3, 1)
(-7, -11, 61), (1, 1, 1)
(-5, -12, 65), (3, 0, 1)
(-7, -10, 55), (1, 2, 3)
(-7, -9, 41), (1, 3, 1)
(-7, -9, 43), (1, 3, 3)
(-7, -9, 45), (1, 3, 1)
(-7, -9, 47), (1, 3, 3)
(-5, -11, 57), (3, 1, 1)
(-3, -13, 73), (1, 3, 1)
(-5, -11, 59), (3, 1, 3)
(-7, -9, 51), (1, 3, 3)
(-5, -11, 61), (3, 1, 1)
(-7, -8, 33), (1, 0, 1)
(-7, -8, 35), (1, 0, 3)
(-7, -8, 37), (1, 0, 1)
(-7, -8, 41), (1, 0, 1)
(-5, -10, 55), (3, 2, 3)
(-7, -7, 25), (1, 1, 1)
(-7, -7, 29), (1, 1, 1)
(-7, -7, 31), (1, 1, 3)
(-7, -7, 33), (1, 1, 1)
(-7, -7, 39), (1, 1, 3)
(-3, -11, 57), (1, 1, 1)
(-7, -7, 41), (1, 1, 1)
(-3, -11, 59), (1, 1, 3)
(-7, -7, 43), (1, 1, 3)
(-5, -9, 47), (3, 3, 3)
(-5, -9, 51), (3, 3, 3)
(-7, -5, 11), (1, 3, 3)
(-7, -5, 17), (1, 3, 1)
(-7, -5, 19), (1, 3, 3)
(-7, -5, 21), (1, 3, 1)
(-7, -5, 23), (1, 3, 3)
(-5, -7, 33), (3, 1, 1)
(-1, -11, 59), (3, 1, 3)
(-3, -9, 49), (1, 3, 1)
(-5, -7, 41), (3, 1, 1)
(-3, -9, 51), (1, 3, 3)
(-5, -7, 43), (3, 1, 3)
(-7, -4, 13), (1, 0, 1)
(-7, -3, -1), (1, 1, 3)
(-7, -3, 1), (1, 1, 1)
(-7, -3, 3), (1, 1, 3)
(-7, -3, 5), (1, 1, 1)
(-1, -9, 41), (3, 3, 1)
(-3, -7, 33), (1, 1, 1)
(-5, -5, 31), (3, 3, 3)
(-5, -5, 33), (3, 3, 1)
(-3, -7, 43), (1, 1, 3)
(-7, -1, -23), (1, 3, 1)
(-7, -1, -13), (1, 3, 3)
(-7, -1, -11), (1, 3, 1)
(-7, -1, -9), (1, 3, 3)
(-5, -3, 21), (3, 1, 1)
(-5, -3, 23), (3, 1, 3)
(-1, -7, 35), (3, 1, 3)
(-1, -7, 37), (3, 1, 1)
(-1, -7, 39), (3, 1, 3)
(-3, -5, 31), (1, 3, 3)
(-1, -7, 41), (3, 1, 1)
(-3, -5, 37), (1, 3, 1)
(-7, 0, -31), (1, 0, 1)
(-7, 0, -19), (1, 0, 1)
(-7, 1, -23), (1, 1, 1)
(-5, -1, 11), (3, 3, 3)
(1, -7, 25), (1, 1, 1)
(-5, -1, 13), (3, 3, 1)
(-5, -1, 15), (3, 3, 3)
(1, -7, 35), (1, 1, 3)
(-1, -5, 33), (3, 3, 1)
(-3, -3, 29), (1, 1, 1)
(-1, -5, 35), (3, 3, 3)
(-3, -3, 31), (1, 1, 3)
(-1, -5, 37), (3, 3, 1)
(-3, -3, 33), (1, 1, 1)
(-5, 0, -31), (3, 0, 1)
(-1, -4, 33), (3, 0, 1)
(-7, 3, -7), (1, 3, 1)
(-5, 1, 1), (3, 1, 1)
(-5, 1, 3), (3, 1, 3)
(1, -5, 25), (1, 3, 1)
(1, -5, 27), (1, 3, 3)
(-3, -1, 25), (1, 3, 1)
(-3, -1, 27), (1, 3, 3)
(-1, -3, 33), (3, 1, 1)
(-3, 0, -31), (1, 0, 1)
(-5, 2, -5), (3, 2, 3)
(-5, 2, -1), (3, 2, 3)
(-3, 0, 25), (1, 0, 1)
(-5, 3, -7), (3, 3, 1)
(3, -5, 9), (3, 3, 1)
(3, -5, 11), (3, 3, 3)
(3, -5, 13), (3, 3, 1)
(-3, 1, 19), (1, 1, 3)
(-3, 1, 21), (1, 1, 1)
(-3, 1, 25), (1, 1, 1)
(1, -3, 27), (1, 1, 3)
(1, -3, 29), (1, 1, 1)
(1, -3, 33), (1, 1, 1)
